; Candidate 11081
; ADRP+ADD at VM 0xfffffff008e4d410 (fileoff 0x1e49410): page=0x1fe587000 add_imm=0xeb9

0xfffffff008e4d390: db02154a  eor	w27, w22, w21
0xfffffff008e4d394: 6803174a  eor	w8, w27, w23
0xfffffff008e4d398: 08010012  and	w8, w8, #1
0xfffffff008e4d39c: 445b68f8  ldr	x4, [x26, w8, uxtw #3]
0xfffffff008e4d3a0: e00313aa  mov	x0, x19
0xfffffff008e4d3a4: e10315aa  mov	x1, x21
0xfffffff008e4d3a8: e20316aa  mov	x2, x22
0xfffffff008e4d3ac: e30317aa  mov	x3, x23
0xfffffff008e4d3b0: 13fbff97  bl	#0xfffffff008e4bffc
0xfffffff008e4d3b4: 60020035  cbnz	w0, #0xfffffff008e4d400
0xfffffff008e4d3b8: f7060011  add	w23, w23, #1
0xfffffff008e4d3bc: ff420071  cmp	w23, #0x10
0xfffffff008e4d3c0: a1feff54  b.ne	#0xfffffff008e4d394
0xfffffff008e4d3c4: d6060011  add	w22, w22, #1
0xfffffff008e4d3c8: df160071  cmp	w22, #5
0xfffffff008e4d3cc: 01feff54  b.ne	#0xfffffff008e4d38c
0xfffffff008e4d3d0: b5060011  add	w21, w21, #1
0xfffffff008e4d3d4: bf220071  cmp	w21, #8
0xfffffff008e4d3d8: 81fdff54  b.ne	#0xfffffff008e4d388
0xfffffff008e4d3dc: 31000014  b	#0xfffffff008e4d4a0
0xfffffff008e4d3e0: 95578052  mov	w21, #0x2bc
0xfffffff008e4d3e4: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008e4d3e8: 282cfff0  adrp	x8, #0xfffffff0073d4000
0xfffffff008e4d3ec: 086d3991  add	x8, x8, #0xe5b
0xfffffff008e4d3f0: e80300f9  str	x8, [sp]
0xfffffff008e4d3f4: 202cfff0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4d3f8: 00943b91  add	x0, x0, #0xee5
0xfffffff008e4d3fc: 42000014  b	#0xfffffff008e4d504
0xfffffff008e4d400: f80300aa  mov	x24, x0
0xfffffff008e4d404: 282cfff0  adrp	x8, #0xfffffff0073d4000
0xfffffff008e4d408: 086d3991  add	x8, x8, #0xe5b
0xfffffff008e4d40c: e86300a9  stp	x8, x24, [sp]
0xfffffff008e4d410: 202cfff0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4d414: 00e43a91  add	x0, x0, #0xeb9
0xfffffff008e4d418: 0227d497  bl	#0xfffffff008357020
0xfffffff008e4d41c: f50318aa  mov	x21, x24
0xfffffff008e4d420: 3a000014  b	#0xfffffff008e4d508
0xfffffff008e4d424: 95578052  mov	w21, #0x2bc
0xfffffff008e4d428: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008e4d42c: 282cfff0  adrp	x8, #0xfffffff0073d4000
0xfffffff008e4d430: 086d3991  add	x8, x8, #0xe5b
0xfffffff008e4d434: e20f01a9  stp	x2, x3, [sp, #0x10]
0xfffffff008e4d438: e80700a9  stp	x8, x1, [sp]
0xfffffff008e4d43c: 202cfff0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4d440: 00a83891  add	x0, x0, #0xe2a
0xfffffff008e4d444: 30000014  b	#0xfffffff008e4d504
0xfffffff008e4d448: f50300aa  mov	x21, x0
0xfffffff008e4d44c: 282cfff0  adrp	x8, #0xfffffff0073d4000
0xfffffff008e4d450: 086d3991  add	x8, x8, #0xe5b
0xfffffff008e4d454: e85700a9  stp	x8, x21, [sp]
0xfffffff008e4d458: 202cfff0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4d45c: 00e43a91  add	x0, x0, #0xeb9
0xfffffff008e4d460: 29000014  b	#0xfffffff008e4d504
0xfffffff008e4d464: e82246f9  ldr	x8, [x23, #0xc40]
0xfffffff008e4d468: 280100b4  cbz	x8, #0xfffffff008e4d48c
0xfffffff008e4d46c: 95578052  mov	w21, #0x2bc
0xfffffff008e4d470: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008e4d474: 282cfff0  adrp	x8, #0xfffffff0073d4000
0xfffffff008e4d478: 086d3991  add	x8, x8, #0xe5b
0xfffffff008e4d47c: e80300f9  str	x8, [sp]
0xfffffff008e4d480: 202cfff0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4d484: 00583491  add	x0, x0, #0xd16
0xfffffff008e4d488: 1f000014  b	#0xfffffff008e4d504
0xfffffff008e4d48c: e065ffd0  adrp	x0, #0xfffffff007b0b000
