; Candidate 698
; ADRP+ADD at VM 0xfffffff00802e8a8 (fileoff 0x102a8a8): page=0x1ff03d000 add_imm=0xe9a

0xfffffff00802e828: 0220e0f2  movk	x2, #0x100, lsl #48
0xfffffff00802e82c: e3ff9f52  mov	w3, #0xffff
0xfffffff00802e830: 040080d2  mov	x4, #0
0xfffffff00802e834: 0460f797  bl	#0xfffffff007e06844
0xfffffff00802e838: e0e7076f  movi	v0.2d, #0xffffffffffffffff
0xfffffff00802e83c: a04201fc  stur	d0, [x21, #0x14]
0xfffffff00802e840: a04e00a9  stp	x0, x19, [x21]
0xfffffff00802e844: 881001b0  adrp	x8, #0xfffffff00a23f000
0xfffffff00802e848: 09088052  mov	w9, #0x40
0xfffffff00802e84c: 09d10fb9  str	w9, [x8, #0xfd0]
0xfffffff00802e850: 00caffb0  adrp	x0, #0xfffffff00796f000
0xfffffff00802e854: 00201a91  add	x0, x0, #0x688
0xfffffff00802e858: 01a08052  mov	w1, #0x500
0xfffffff00802e85c: 02008052  mov	w2, #0
0xfffffff00802e860: 030080d2  mov	x3, #0
0xfffffff00802e864: 27dff597  bl	#0xfffffff007da6500
0xfffffff00802e868: 881001b0  adrp	x8, #0xfffffff00a23f000
0xfffffff00802e86c: 00ed07f9  str	x0, [x8, #0xfd8]
0xfffffff00802e870: e081ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802e874: 00583a91  add	x0, x0, #0xe96
0xfffffff00802e878: 0f000094  bl	#0xfffffff00802e8b4
0xfffffff00802e87c: 80ee07f9  str	x0, [x20, #0xfd8]
0xfffffff00802e880: c00000b4  cbz	x0, #0xfffffff00802e898
0xfffffff00802e884: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00802e888: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00802e88c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00802e890: ff030191  add	sp, sp, #0x40
0xfffffff00802e894: ff0f5fd6  retab	
0xfffffff00802e898: e881ffb0  adrp	x8, #0xfffffff00706b000
0xfffffff00802e89c: 08013b91  add	x8, x8, #0xec0
0xfffffff00802e8a0: 29108052  mov	w9, #0x81
0xfffffff00802e8a4: e82700a9  stp	x8, x9, [sp]
0xfffffff00802e8a8: e081ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802e8ac: 00683a91  add	x0, x0, #0xe9a
0xfffffff00802e8b0: 17971194  bl	#0xfffffff00849450c
0xfffffff00802e8b4: 7f2303d5  pacibsp	
0xfffffff00802e8b8: ffc304d1  sub	sp, sp, #0x130
0xfffffff00802e8bc: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff00802e8c0: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff00802e8c4: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff00802e8c8: fd830491  add	x29, sp, #0x120
0xfffffff00802e8cc: f40300aa  mov	x20, x0
0xfffffff00802e8d0: c80c01b0  adrp	x8, #0xfffffff00a1c7000
0xfffffff00802e8d4: 08010091  add	x8, x8, #0
0xfffffff00802e8d8: 080140f9  ldr	x8, [x8]
0xfffffff00802e8dc: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff00802e8e0: e8430091  add	x8, sp, #0x10
0xfffffff00802e8e4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00802e8e8: 000106ad  stp	q0, q0, [x8, #0xc0]
0xfffffff00802e8ec: 000105ad  stp	q0, q0, [x8, #0xa0]
0xfffffff00802e8f0: 000104ad  stp	q0, q0, [x8, #0x80]
0xfffffff00802e8f4: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff00802e8f8: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00802e8fc: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff00802e900: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff00802e904: 3fbbf497  bl	#0xfffffff007d5d600
0xfffffff00802e908: 02040091  add	x2, x0, #1
0xfffffff00802e90c: e0430091  add	x0, sp, #0x10
0xfffffff00802e910: e10314aa  mov	x1, x20
0xfffffff00802e914: 5f3c00f1  cmp	x2, #0xf
0xfffffff00802e918: 68000054  b.hi	#0xfffffff00802e924
0xfffffff00802e91c: 1d78f497  bl	#0xfffffff007d4c990
0xfffffff00802e920: 04000014  b	#0xfffffff00802e930
0xfffffff00802e924: e2018052  mov	w2, #0xf
