; Candidate 14807
; ADRP+ADD at VM 0xfffffff00994fd28 (fileoff 0x294bd28): page=0x1fdc95000 add_imm=0xe59

0xfffffff00994fca8: 01000014  b	#0xfffffff00994fcac
0xfffffff00994fcac: e80740f9  ldr	x8, [sp, #8]
0xfffffff00994fcb0: 08410491  add	x8, x8, #0x110
0xfffffff00994fcb4: a9435eb8  ldur	w9, [x29, #-0x1c]
0xfffffff00994fcb8: 0a1680d2  mov	x10, #0xb0
0xfffffff00994fcbc: 297d0a9b  mul	x9, x9, x10
0xfffffff00994fcc0: 0801098b  add	x8, x8, x9
0xfffffff00994fcc4: 084d40f9  ldr	x8, [x8, #0x98]
0xfffffff00994fcc8: 080100f1  subs	x8, x8, #0
0xfffffff00994fccc: e8079f1a  cset	w8, ne
0xfffffff00994fcd0: e80b0037  tbnz	w8, #0, #0xfffffff00994fe4c
0xfffffff00994fcd4: 01000014  b	#0xfffffff00994fcd8
0xfffffff00994fcd8: e01740b9  ldr	w0, [sp, #0x14]
0xfffffff00994fcdc: cff9aa97  bl	#0xfffffff00840e418
0xfffffff00994fce0: e80740f9  ldr	x8, [sp, #8]
0xfffffff00994fce4: e90308aa  mov	x9, x8
0xfffffff00994fce8: 29410491  add	x9, x9, #0x110
0xfffffff00994fcec: aa435eb8  ldur	w10, [x29, #-0x1c]
0xfffffff00994fcf0: eb030aaa  mov	x11, x10
0xfffffff00994fcf4: 0a1680d2  mov	x10, #0xb0
0xfffffff00994fcf8: 6b7d0a9b  mul	x11, x11, x10
0xfffffff00994fcfc: 29010b8b  add	x9, x9, x11
0xfffffff00994fd00: 204d00f9  str	x0, [x9, #0x98]
0xfffffff00994fd04: 08410491  add	x8, x8, #0x110
0xfffffff00994fd08: a9435eb8  ldur	w9, [x29, #-0x1c]
0xfffffff00994fd0c: 297d0a9b  mul	x9, x9, x10
0xfffffff00994fd10: 0801098b  add	x8, x8, x9
0xfffffff00994fd14: 084d40f9  ldr	x8, [x8, #0x98]
0xfffffff00994fd18: 080100f1  subs	x8, x8, #0
0xfffffff00994fd1c: e8079f1a  cset	w8, ne
0xfffffff00994fd20: 48010037  tbnz	w8, #0, #0xfffffff00994fd48
0xfffffff00994fd24: 01000014  b	#0xfffffff00994fd28
0xfffffff00994fd28: a0e4feb0  adrp	x0, #0xfffffff0075e4000
0xfffffff00994fd2c: 00643991  add	x0, x0, #0xe59
0xfffffff00994fd30: bc1ca897  bl	#0xfffffff008357020
0xfffffff00994fd34: 08008052  mov	w8, #0
0xfffffff00994fd38: 08010012  and	w8, w8, #1
0xfffffff00994fd3c: 08010012  and	w8, w8, #1
0xfffffff00994fd40: a8f31f38  sturb	w8, [x29, #-1]
0xfffffff00994fd44: 5b000014  b	#0xfffffff00994feb0
0xfffffff00994fd48: e80740f9  ldr	x8, [sp, #8]
0xfffffff00994fd4c: 08410491  add	x8, x8, #0x110
0xfffffff00994fd50: a9435eb8  ldur	w9, [x29, #-0x1c]
0xfffffff00994fd54: 0a1680d2  mov	x10, #0xb0
0xfffffff00994fd58: 297d0a9b  mul	x9, x9, x10
0xfffffff00994fd5c: 0801098b  add	x8, x8, x9
0xfffffff00994fd60: 004d40f9  ldr	x0, [x8, #0x98]
0xfffffff00994fd64: 100040f9  ldr	x16, [x0]
0xfffffff00994fd68: e80300aa  mov	x8, x0
0xfffffff00994fd6c: f10308aa  mov	x17, x8
0xfffffff00994fd70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00994fd74: 301ac1da  autda	x16, x17
0xfffffff00994fd78: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00994fd7c: e90310aa  mov	x9, x16
0xfffffff00994fd80: f10309aa  mov	x17, x9
0xfffffff00994fd84: d1ede2f2  movk	x17, #0x176e, lsl #48
0xfffffff00994fd88: 11093fd7  blraa	x8, x17
0xfffffff00994fd8c: e00f00f9  str	x0, [sp, #0x18]
0xfffffff00994fd90: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff00994fd94: 080100f1  subs	x8, x8, #0
0xfffffff00994fd98: e8079f1a  cset	w8, ne
0xfffffff00994fd9c: 48010037  tbnz	w8, #0, #0xfffffff00994fdc4
0xfffffff00994fda0: 01000014  b	#0xfffffff00994fda4
0xfffffff00994fda4: a0e4feb0  adrp	x0, #0xfffffff0075e4000
