; Candidate 13401
; ADRP+ADD at VM 0xfffffff0092cb580 (fileoff 0x22c7580): page=0x10b3000 add_imm=0xe70

0xfffffff0092cb500: e00317aa  mov	x0, x23
0xfffffff0092cb504: f10309aa  mov	x17, x9
0xfffffff0092cb508: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0092cb50c: 11093fd7  blraa	x8, x17
0xfffffff0092cb510: 0847ffd0  adrp	x8, #0xfffffff007bad000
0xfffffff0092cb514: 08811391  add	x8, x8, #0x4e0
0xfffffff0092cb518: 04011191  add	x4, x8, #0x440
0xfffffff0092cb51c: 102142f9  ldr	x16, [x8, #0x440]
0xfffffff0092cb520: e00316aa  mov	x0, x22
0xfffffff0092cb524: e10315aa  mov	x1, x21
0xfffffff0092cb528: e20314aa  mov	x2, x20
0xfffffff0092cb52c: e30313aa  mov	x3, x19
0xfffffff0092cb530: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0092cb534: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0092cb538: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0092cb53c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0092cb540: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff0092cb544: ff2303d5  autibsp	
0xfffffff0092cb548: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0092cb54c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0092cb554
0xfffffff0092cb550: 208e38d4  brk	#0xc471
0xfffffff0092cb554: f10304aa  mov	x17, x4
0xfffffff0092cb558: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff0092cb55c: 110a1fd7  braa	x16, x17
0xfffffff0092cb560: 5f2403d5  bti	c
0xfffffff0092cb564: 6464c017  b	#0xfffffff0082e46f4
0xfffffff0092cb568: 5f2403d5  bti	c
0xfffffff0092cb56c: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0092cb570: c0035fd6  ret	
0xfffffff0092cb574: 7f2303d5  pacibsp	
0xfffffff0092cb578: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092cb57c: fd030091  mov	x29, sp
0xfffffff0092cb580: 808500f0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092cb584: 00c03991  add	x0, x0, #0xe70
0xfffffff0092cb588: 8110fff0  adrp	x1, #0xfffffff0074de000
0xfffffff0092cb58c: 21683d91  add	x1, x1, #0xf5a
0xfffffff0092cb590: 828500f0  adrp	x2, #0xfffffff00a37e000
0xfffffff0092cb594: 42603a91  add	x2, x2, #0xe98
0xfffffff0092cb598: 032f8252  mov	w3, #0x1178
0xfffffff0092cb59c: 6761c097  bl	#0xfffffff0082e3b38
0xfffffff0092cb5a0: 1047ffd0  adrp	x16, #0xfffffff007bad000
0xfffffff0092cb5a4: 10221191  add	x16, x16, #0x448
0xfffffff0092cb5a8: 10420091  add	x16, x16, #0x10
0xfffffff0092cb5ac: f10300aa  mov	x17, x0
0xfffffff0092cb5b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cb5b4: 300ac1da  pacda	x16, x17
0xfffffff0092cb5b8: 100000f9  str	x16, [x0]
0xfffffff0092cb5bc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092cb5c0: ff0f5fd6  retab	
0xfffffff0092cb5c4: 5f2403d5  bti	c
0xfffffff0092cb5c8: 808500f0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092cb5cc: 00c03991  add	x0, x0, #0xe70
0xfffffff0092cb5d0: 4964c017  b	#0xfffffff0082e46f4
0xfffffff0092cb5d4: 7f2303d5  pacibsp	
0xfffffff0092cb5d8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092cb5dc: fd030091  mov	x29, sp
0xfffffff0092cb5e0: 8110fff0  adrp	x1, #0xfffffff0074de000
0xfffffff0092cb5e4: 210c3e91  add	x1, x1, #0xf83
0xfffffff0092cb5e8: 828500f0  adrp	x2, #0xfffffff00a37e000
0xfffffff0092cb5ec: 42203691  add	x2, x2, #0xd88
0xfffffff0092cb5f0: 032f8252  mov	w3, #0x1178
0xfffffff0092cb5f4: 5161c097  bl	#0xfffffff0082e3b38
0xfffffff0092cb5f8: 1047ffd0  adrp	x16, #0xfffffff007bad000
0xfffffff0092cb5fc: 10223891  add	x16, x16, #0xe08
