; Candidate 12285
; ADRP+ADD at VM 0xfffffff009082a8c (fileoff 0x207ea8c): page=0x1fe3d7000 add_imm=0xe24

0xfffffff009082a0c: ac4a45b9  ldr	w12, [x21, #0x548]
0xfffffff009082a10: ea330f29  stp	w10, w12, [sp, #0x78]
0xfffffff009082a14: aaaa42f9  ldr	x10, [x21, #0x550]
0xfffffff009082a18: ea2308a9  stp	x10, x8, [sp, #0x80]
0xfffffff009082a1c: 3f010071  cmp	w9, #0
0xfffffff009082a20: 68119f1a  csel	w8, w11, wzr, ne
0xfffffff009082a24: e89300b9  str	w8, [sp, #0x90]
0xfffffff009082a28: a01244fc  ldur	d0, [x21, #0x41]
0xfffffff009082a2c: e04309fc  stur	d0, [sp, #0x94]
0xfffffff009082a30: a8825239  ldrb	w8, [x21, #0x4a0]
0xfffffff009082a34: e8730239  strb	w8, [sp, #0x9c]
0xfffffff009082a38: a8865239  ldrb	w8, [x21, #0x4a1]
0xfffffff009082a3c: e8770239  strb	w8, [sp, #0x9d]
0xfffffff009082a40: a8264139  ldrb	w8, [x21, #0x49]
0xfffffff009082a44: e87b0239  strb	w8, [sp, #0x9e]
0xfffffff009082a48: e08742ad  ldp	q0, q1, [sp, #0x50]
0xfffffff009082a4c: 800601ad  stp	q0, q1, [x20, #0x20]
0xfffffff009082a50: e08743ad  ldp	q0, q1, [sp, #0x70]
0xfffffff009082a54: 800602ad  stp	q0, q1, [x20, #0x40]
0xfffffff009082a58: e08741ad  ldp	q0, q1, [sp, #0x30]
0xfffffff009082a5c: 800600ad  stp	q0, q1, [x20]
0xfffffff009082a60: e0f3c83c  ldur	q0, [sp, #0x8f]
0xfffffff009082a64: 80f2853c  stur	q0, [x20, #0x5f]
0xfffffff009082a68: e90d8052  mov	w9, #0x6f
0xfffffff009082a6c: 48018052  mov	w8, #0xa
0xfffffff009082a70: 690200b9  str	w9, [x19]
0xfffffff009082a74: 29034039  ldrb	w9, [x25]
0xfffffff009082a78: 1f01096b  cmp	w8, w9
0xfffffff009082a7c: e3000054  b.lo	#0xfffffff009082a98
0xfffffff009082a80: c87e4093  sxtw	x8, w22
0xfffffff009082a84: f85f00a9  stp	x24, x23, [sp]
0xfffffff009082a88: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009082a8c: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff009082a90: 00903891  add	x0, x0, #0xe24
0xfffffff009082a94: 6351cb97  bl	#0xfffffff008357020
0xfffffff009082a98: e00316aa  mov	x0, x22
0xfffffff009082a9c: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff009082aa0: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff009082aa4: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff009082aa8: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff009082aac: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff009082ab0: ffc30391  add	sp, sp, #0xf0
0xfffffff009082ab4: ff0f5fd6  retab	
0xfffffff009082ab8: 68548052  mov	w8, #0x2a3
0xfffffff009082abc: a91efff0  adrp	x9, #0xfffffff007459000
0xfffffff009082ac0: 29493f91  add	x9, x9, #0xfd2
0xfffffff009082ac4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009082ac8: a81efff0  adrp	x8, #0xfffffff007459000
0xfffffff009082acc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009082ad0: ca1eff90  adrp	x10, #0xfffffff00745a000
0xfffffff009082ad4: 4a9d1491  add	x10, x10, #0x527
0xfffffff009082ad8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009082adc: ea0300f9  str	x10, [sp]
0xfffffff009082ae0: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff009082ae4: 00d42c91  add	x0, x0, #0xb35
0xfffffff009082ae8: 4e51cb97  bl	#0xfffffff008357020
0xfffffff009082aec: 56008012  mov	w22, #-3
0xfffffff009082af0: 0f000014  b	#0xfffffff009082b2c
0xfffffff009082af4: 88548052  mov	w8, #0x2a4
0xfffffff009082af8: a91efff0  adrp	x9, #0xfffffff007459000
0xfffffff009082afc: 29493f91  add	x9, x9, #0xfd2
0xfffffff009082b00: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009082b04: a81efff0  adrp	x8, #0xfffffff007459000
0xfffffff009082b08: 08b92d91  add	x8, x8, #0xb6e
