; Candidate 9592
; ADRP+ADD at VM 0xfffffff008a7d1c4 (fileoff 0x1a791c4): page=0x1862000 add_imm=0xe18

0xfffffff008a7d144: 080240f9  ldr	x8, [x16]
0xfffffff008a7d148: e20310aa  mov	x2, x16
0xfffffff008a7d14c: f00308aa  mov	x16, x8
0xfffffff008a7d150: f10302aa  mov	x17, x2
0xfffffff008a7d154: 91acf5f2  movk	x17, #0xad64, lsl #48
0xfffffff008a7d158: 110a1fd7  braa	x16, x17
0xfffffff008a7d15c: 5f2403d5  bti	c
0xfffffff008a7d160: 659de117  b	#0xfffffff0082e46f4
0xfffffff008a7d164: 5f2403d5  bti	c
0xfffffff008a7d168: 004840f9  ldr	x0, [x0, #0x90]
0xfffffff008a7d16c: c0035fd6  ret	
0xfffffff008a7d170: 7f2303d5  pacibsp	
0xfffffff008a7d174: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7d178: fd030091  mov	x29, sp
0xfffffff008a7d17c: 00c300d0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7d180: 00603891  add	x0, x0, #0xe18
0xfffffff008a7d184: a141ffb0  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7d188: 21840f91  add	x1, x1, #0x3e1
0xfffffff008a7d18c: 227fffd0  adrp	x2, #0xfffffff007a63000
0xfffffff008a7d190: 423c41f9  ldr	x2, [x2, #0x278]
0xfffffff008a7d194: 033f8052  mov	w3, #0x1f8
0xfffffff008a7d198: 689ae197  bl	#0xfffffff0082e3b38
0xfffffff008a7d19c: 507fff90  adrp	x16, #0xfffffff007a65000
0xfffffff008a7d1a0: 10421291  add	x16, x16, #0x490
0xfffffff008a7d1a4: 10420091  add	x16, x16, #0x10
0xfffffff008a7d1a8: f10300aa  mov	x17, x0
0xfffffff008a7d1ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7d1b0: 300ac1da  pacda	x16, x17
0xfffffff008a7d1b4: 100000f9  str	x16, [x0]
0xfffffff008a7d1b8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a7d1bc: ff0f5fd6  retab	
0xfffffff008a7d1c0: 5f2403d5  bti	c
0xfffffff008a7d1c4: 00c300d0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7d1c8: 00603891  add	x0, x0, #0xe18
0xfffffff008a7d1cc: 4a9de117  b	#0xfffffff0082e46f4
0xfffffff008a7d1d0: 7f2303d5  pacibsp	
0xfffffff008a7d1d4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7d1d8: fd030091  mov	x29, sp
0xfffffff008a7d1dc: a141ffb0  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7d1e0: 21681191  add	x1, x1, #0x45a
0xfffffff008a7d1e4: 227fffd0  adrp	x2, #0xfffffff007a63000
0xfffffff008a7d1e8: 426041f9  ldr	x2, [x2, #0x2c0]
0xfffffff008a7d1ec: 03128052  mov	w3, #0x90
0xfffffff008a7d1f0: 529ae197  bl	#0xfffffff0082e3b38
0xfffffff008a7d1f4: 507fff90  adrp	x16, #0xfffffff007a65000
0xfffffff008a7d1f8: 10822a91  add	x16, x16, #0xaa0
0xfffffff008a7d1fc: 10420091  add	x16, x16, #0x10
0xfffffff008a7d200: f10300aa  mov	x17, x0
0xfffffff008a7d204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7d208: 300ac1da  pacda	x16, x17
0xfffffff008a7d20c: 100000f9  str	x16, [x0]
0xfffffff008a7d210: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a7d214: ff0f5fd6  retab	
0xfffffff008a7d218: 5f2403d5  bti	c
0xfffffff008a7d21c: 369de117  b	#0xfffffff0082e46f4
0xfffffff008a7d220: 7f2303d5  pacibsp	
0xfffffff008a7d224: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7d228: fd030091  mov	x29, sp
0xfffffff008a7d22c: 2f1be497  bl	#0xfffffff008383ee8
0xfffffff008a7d230: 507fff90  adrp	x16, #0xfffffff007a65000
0xfffffff008a7d234: 10a21491  add	x16, x16, #0x528
0xfffffff008a7d238: 10420091  add	x16, x16, #0x10
0xfffffff008a7d23c: f10300aa  mov	x17, x0
0xfffffff008a7d240: 31b4f9f2  movk	x17, #0xcda1, lsl #48
