; Candidate 16099
; ADRP+ADD at VM 0xfffffff009e1bd6c (fileoff 0x2e17d6c): page=0x1fd888000 add_imm=0xe00

0xfffffff009e1bcec: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009e1bcf0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009e1bcf4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009e1bcf8: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff009e1bcfc: ff030291  add	sp, sp, #0x80
0xfffffff009e1bd00: ff0f5fd6  retab	
0xfffffff009e1bd04: 00008052  mov	w0, #0
0xfffffff009e1bd08: f8ffff17  b	#0xfffffff009e1bce8
0xfffffff009e1bd0c: 00008052  mov	w0, #0
0xfffffff009e1bd10: 28008052  mov	w8, #1
0xfffffff009e1bd14: 88020039  strb	w8, [x20]
0xfffffff009e1bd18: f4ffff17  b	#0xfffffff009e1bce8
0xfffffff009e1bd1c: 7f2303d5  pacibsp	
0xfffffff009e1bd20: ff0303d1  sub	sp, sp, #0xc0
0xfffffff009e1bd24: e923066d  stp	d9, d8, [sp, #0x60]
0xfffffff009e1bd28: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff009e1bd2c: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff009e1bd30: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff009e1bd34: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff009e1bd38: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff009e1bd3c: fdc30291  add	x29, sp, #0xb0
0xfffffff009e1bd40: f60301aa  mov	x22, x1
0xfffffff009e1bd44: 014000f9  str	x1, [x0, #0x80]
0xfffffff009e1bd48: 020c00a9  stp	x2, x3, [x0]
0xfffffff009e1bd4c: 48104039  ldrb	w8, [x2, #4]
0xfffffff009e1bd50: 1ff50271  cmp	w8, #0xbd
0xfffffff009e1bd54: e1010054  b.ne	#0xfffffff009e1bd90
0xfffffff009e1bd58: f40300aa  mov	x20, x0
0xfffffff009e1bd5c: 4800c079  ldrsh	w8, [x2]
0xfffffff009e1bd60: 08880079  strh	w8, [x0, #0x44]
0xfffffff009e1bd64: 0804f837  tbnz	w8, #0x1f, #0xfffffff009e1bde4
0xfffffff009e1bd68: f60300f9  str	x22, [sp]
0xfffffff009e1bd6c: 40c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1bd70: 00003891  add	x0, x0, #0xe00
0xfffffff009e1bd74: 61f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1bd78: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1bd7c: 23d0feb0  adrp	x3, #0xfffffff007820000
0xfffffff009e1bd80: 63b40791  add	x3, x3, #0x1ed
0xfffffff009e1bd84: 02028052  mov	w2, #0x10
0xfffffff009e1bd88: ea5c9497  bl	#0xfffffff008333130
0xfffffff009e1bd8c: 0c000014  b	#0xfffffff009e1bdbc
0xfffffff009e1bd90: a9178052  mov	w9, #0xbd
0xfffffff009e1bd94: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e1bd98: f60300f9  str	x22, [sp]
0xfffffff009e1bd9c: 40c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1bda0: 00003891  add	x0, x0, #0xe00
0xfffffff009e1bda4: 61f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1bda8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1bdac: 23d0feb0  adrp	x3, #0xfffffff007820000
0xfffffff009e1bdb0: 63f40691  add	x3, x3, #0x1bd
0xfffffff009e1bdb4: 02028052  mov	w2, #0x10
0xfffffff009e1bdb8: de5c9497  bl	#0xfffffff008333130
0xfffffff009e1bdbc: d7028052  mov	w23, #0x16
0xfffffff009e1bdc0: e00317aa  mov	x0, x23
0xfffffff009e1bdc4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009e1bdc8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009e1bdcc: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009e1bdd0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009e1bdd4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff009e1bdd8: e923466d  ldp	d9, d8, [sp, #0x60]
0xfffffff009e1bddc: ff030391  add	sp, sp, #0xc0
0xfffffff009e1bde0: ff0f5fd6  retab	
0xfffffff009e1bde4: f30304aa  mov	x19, x4
0xfffffff009e1bde8: 48144039  ldrb	w8, [x2, #5]
