; Candidate 13377
; ADRP+ADD at VM 0xfffffff0092b3bb4 (fileoff 0x22afbb4): page=0x1fe226000 add_imm=0xebe

0xfffffff0092b3b34: ad8cc297  bl	#0xfffffff008356de8
0xfffffff0092b3b38: 7f5e00f9  str	xzr, [x19, #0xb8]
0xfffffff0092b3b3c: 740100b4  cbz	x20, #0xfffffff0092b3b68
0xfffffff0092b3b40: 900240f9  ldr	x16, [x20]
0xfffffff0092b3b44: f10314aa  mov	x17, x20
0xfffffff0092b3b48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092b3b4c: 301ac1da  autda	x16, x17
0xfffffff0092b3b50: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0092b3b54: e90310aa  mov	x9, x16
0xfffffff0092b3b58: e00314aa  mov	x0, x20
0xfffffff0092b3b5c: f10309aa  mov	x17, x9
0xfffffff0092b3b60: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0092b3b64: 11093fd7  blraa	x8, x17
0xfffffff0092b3b68: 00008052  mov	w0, #0
0xfffffff0092b3b6c: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0092b3b70: 8947ff90  adrp	x9, #0xfffffff007ba3000
0xfffffff0092b3b74: 295140f9  ldr	x9, [x9, #0xa0]
0xfffffff0092b3b78: 290140f9  ldr	x9, [x9]
0xfffffff0092b3b7c: 3f0108eb  cmp	x9, x8
0xfffffff0092b3b80: 61050054  b.ne	#0xfffffff0092b3c2c
0xfffffff0092b3b84: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0092b3b88: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0092b3b8c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0092b3b90: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0092b3b94: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0092b3b98: ff830291  add	sp, sp, #0xa0
0xfffffff0092b3b9c: ff0f5fd6  retab	
0xfffffff0092b3ba0: 2011fff0  adrp	x0, #0xfffffff0074da000
0xfffffff0092b3ba4: 00d00491  add	x0, x0, #0x134
0xfffffff0092b3ba8: 1e8dc297  bl	#0xfffffff008357020
0xfffffff0092b3bac: 140080d2  mov	x20, #0
0xfffffff0092b3bb0: 46feff17  b	#0xfffffff0092b34c8
0xfffffff0092b3bb4: 2011ffd0  adrp	x0, #0xfffffff0074d9000
0xfffffff0092b3bb8: 00f83a91  add	x0, x0, #0xebe
0xfffffff0092b3bbc: fbffff17  b	#0xfffffff0092b3ba8
0xfffffff0092b3bc0: 2011ffd0  adrp	x0, #0xfffffff0074d9000
0xfffffff0092b3bc4: 00b43c91  add	x0, x0, #0xf2d
0xfffffff0092b3bc8: f8ffff17  b	#0xfffffff0092b3ba8
0xfffffff0092b3bcc: 2011ffd0  adrp	x0, #0xfffffff0074d9000
0xfffffff0092b3bd0: 00bc3d91  add	x0, x0, #0xf6f
0xfffffff0092b3bd4: f5ffff17  b	#0xfffffff0092b3ba8
0xfffffff0092b3bd8: 2011ffd0  adrp	x0, #0xfffffff0074d9000
0xfffffff0092b3bdc: 00d03e91  add	x0, x0, #0xfb4
0xfffffff0092b3be0: f2ffff17  b	#0xfffffff0092b3ba8
0xfffffff0092b3be4: 2011ffd0  adrp	x0, #0xfffffff0074d9000
0xfffffff0092b3be8: 00fc3f91  add	x0, x0, #0xfff
0xfffffff0092b3bec: efffff17  b	#0xfffffff0092b3ba8
0xfffffff0092b3bf0: 2011fff0  adrp	x0, #0xfffffff0074da000
0xfffffff0092b3bf4: 00c80391  add	x0, x0, #0xf2
0xfffffff0092b3bf8: ecffff17  b	#0xfffffff0092b3ba8
0xfffffff0092b3bfc: 2011fff0  adrp	x0, #0xfffffff0074da000
0xfffffff0092b3c00: 00480691  add	x0, x0, #0x192
0xfffffff0092b3c04: e9ffff17  b	#0xfffffff0092b3ba8
0xfffffff0092b3c08: 2011fff0  adrp	x0, #0xfffffff0074da000
0xfffffff0092b3c0c: 00ec0691  add	x0, x0, #0x1bb
0xfffffff0092b3c10: 2dfeff17  b	#0xfffffff0092b34c4
0xfffffff0092b3c14: 2011fff0  adrp	x0, #0xfffffff0074da000
0xfffffff0092b3c18: 007c0791  add	x0, x0, #0x1df
0xfffffff0092b3c1c: 2afeff17  b	#0xfffffff0092b34c4
0xfffffff0092b3c20: 2011fff0  adrp	x0, #0xfffffff0074da000
0xfffffff0092b3c24: 00040891  add	x0, x0, #0x201
0xfffffff0092b3c28: 27feff17  b	#0xfffffff0092b34c4
0xfffffff0092b3c2c: 88a8aa97  bl	#0xfffffff007d5de4c
0xfffffff0092b3c30: 7f2303d5  pacibsp	
