; Candidate 14664
; ADRP+ADD at VM 0xfffffff009871dc4 (fileoff 0x286ddc4): page=0x1fdd58000 add_imm=0xce0

0xfffffff009871d44: 3f0108eb  cmp	x9, x8
0xfffffff009871d48: 41040054  b.ne	#0xfffffff009871dd0
0xfffffff009871d4c: e90313aa  mov	x9, x19
0xfffffff009871d50: 2b0d44f8  ldr	x11, [x9, #0x40]!
0xfffffff009871d54: 6c0140f9  ldr	x12, [x11]
0xfffffff009871d58: 9f0113eb  cmp	x12, x19
0xfffffff009871d5c: a1020054  b.ne	#0xfffffff009871db0
0xfffffff009871d60: 4b2100f9  str	x11, [x10, #0x40]
0xfffffff009871d64: 07000014  b	#0xfffffff009871d80
0xfffffff009871d68: e90313aa  mov	x9, x19
0xfffffff009871d6c: 2a0d44f8  ldr	x10, [x9, #0x40]!
0xfffffff009871d70: 4b0140f9  ldr	x11, [x10]
0xfffffff009871d74: 7f0113eb  cmp	x11, x19
0xfffffff009871d78: c1010054  b.ne	#0xfffffff009871db0
0xfffffff009871d7c: 8a2200f9  str	x10, [x20, #0x40]
0xfffffff009871d80: 080140f9  ldr	x8, [x8]
0xfffffff009871d84: 290140f9  ldr	x9, [x9]
0xfffffff009871d88: 280100f9  str	x8, [x9]
0xfffffff009871d8c: 803240f9  ldr	x0, [x20, #0x60]
0xfffffff009871d90: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009871d94: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009871d98: ff030191  add	sp, sp, #0x40
0xfffffff009871d9c: ff2303d5  autibsp	
0xfffffff009871da0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009871da4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009871dac
0xfffffff009871da8: 208e38d4  brk	#0xc471
0xfffffff009871dac: 64ea9417  b	#0xfffffff007dac73c
0xfffffff009871db0: 48bf8052  mov	w8, #0x5fa
0xfffffff009871db4: c9eafe90  adrp	x9, #0xfffffff0075c9000
0xfffffff009871db8: 29d93e91  add	x9, x9, #0xfb6
0xfffffff009871dbc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009871dc0: f32300a9  stp	x19, x8, [sp]
0xfffffff009871dc4: c0eafe90  adrp	x0, #0xfffffff0075c9000
0xfffffff009871dc8: 00803391  add	x0, x0, #0xce0
0xfffffff009871dcc: d089b097  bl	#0xfffffff00849450c
0xfffffff009871dd0: 48bf8052  mov	w8, #0x5fa
0xfffffff009871dd4: c9eafe90  adrp	x9, #0xfffffff0075c9000
0xfffffff009871dd8: 29d93e91  add	x9, x9, #0xfb6
0xfffffff009871ddc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009871de0: f32300a9  stp	x19, x8, [sp]
0xfffffff009871de4: c0eafe90  adrp	x0, #0xfffffff0075c9000
0xfffffff009871de8: 00703291  add	x0, x0, #0xc9c
0xfffffff009871dec: c889b097  bl	#0xfffffff00849450c
0xfffffff009871df0: 5f2403d5  bti	c
0xfffffff009871df4: 08404039  ldrb	w8, [x0, #0x10]
0xfffffff009871df8: 1f090271  cmp	w8, #0x82
0xfffffff009871dfc: 61000054  b.ne	#0xfffffff009871e08
0xfffffff009871e00: 001840f9  ldr	x0, [x0, #0x30]
0xfffffff009871e04: fcffff17  b	#0xfffffff009871df4
0xfffffff009871e08: 1f0d0072  tst	w8, #0xf
0xfffffff009871e0c: 60000054  b.eq	#0xfffffff009871e18
0xfffffff009871e10: 000080d2  mov	x0, #0
0xfffffff009871e14: c0035fd6  ret	
0xfffffff009871e18: 003c40f9  ldr	x0, [x0, #0x78]
0xfffffff009871e1c: c0035fd6  ret	
0xfffffff009871e20: 7f2303d5  pacibsp	
0xfffffff009871e24: ff0302d1  sub	sp, sp, #0x80
0xfffffff009871e28: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff009871e2c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff009871e30: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009871e34: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009871e38: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009871e3c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009871e40: fdc30191  add	x29, sp, #0x70
