; Candidate 6095
; ADRP+ADD at VM 0xfffffff008814224 (fileoff 0x1810224): page=0x1fe9d5000 add_imm=0xe80

0xfffffff0088141a4: 00b80a91  add	x0, x0, #0x2ae
0xfffffff0088141a8: f42300a9  stp	x20, x8, [sp]
0xfffffff0088141ac: ad8cd697  bl	#0xfffffff007db7460
0xfffffff0088141b0: 23000014  b	#0xfffffff00881423c
0xfffffff0088141b4: 607a78f8  ldr	x0, [x19, x24, lsl #3]
0xfffffff0088141b8: d1dd0194  bl	#0xfffffff00888b8fc
0xfffffff0088141bc: fc7f0294  bl	#0xfffffff0088b41ac
0xfffffff0088141c0: f40300aa  mov	x20, x0
0xfffffff0088141c4: 80008052  mov	w0, #4
0xfffffff0088141c8: a29d0194  bl	#0xfffffff00887b850
0xfffffff0088141cc: f50300aa  mov	x21, x0
0xfffffff0088141d0: 607a78f8  ldr	x0, [x19, x24, lsl #3]
0xfffffff0088141d4: b6035af8  ldur	x22, [x29, #-0x60]
0xfffffff0088141d8: d35a40b9  ldr	w19, [x22, #0x58]
0xfffffff0088141dc: c8dd0194  bl	#0xfffffff00888b8fc
0xfffffff0088141e0: e80e40b9  ldr	w8, [x23, #0xc]
0xfffffff0088141e4: e0a305a9  stp	x0, x8, [sp, #0x58]
0xfffffff0088141e8: e80319aa  mov	x8, x25
0xfffffff0088141ec: fbe304a9  stp	x27, x24, [sp, #0x48]
0xfffffff0088141f0: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088141f4: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff0088141f8: 08590c91  add	x8, x8, #0x316
0xfffffff0088141fc: 29918052  mov	w9, #0x489
0xfffffff008814200: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff008814204: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008814208: 08d90b91  add	x8, x8, #0x2f6
0xfffffff00881420c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008814210: 880e8052  mov	w8, #0x74
0xfffffff008814214: a351ff90  adrp	x3, #0xfffffff007248000
0xfffffff008814218: 636c0991  add	x3, x3, #0x25b
0xfffffff00881421c: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff008814220: f40300f9  str	x20, [sp]
0xfffffff008814224: a04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008814228: 00003a91  add	x0, x0, #0xe80
0xfffffff00881422c: a18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008814230: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008814234: 02008052  mov	w2, #0
0xfffffff008814238: be7bec97  bl	#0xfffffff008333130
0xfffffff00881423c: 407f8012  mov	w0, #-0x3fb
0xfffffff008814240: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff008814244: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff008814248: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff00881424c: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff008814250: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff008814254: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff008814258: ffc30391  add	sp, sp, #0xf0
0xfffffff00881425c: ff0f5fd6  retab	
0xfffffff008814260: 800e8052  mov	w0, #0x74
0xfffffff008814264: 81008052  mov	w1, #4
0xfffffff008814268: 5a9d0194  bl	#0xfffffff00887b7d0
0xfffffff00881426c: 80feff34  cbz	w0, #0xfffffff00881423c
0xfffffff008814270: 800e8052  mov	w0, #0x74
0xfffffff008814274: 699d0194  bl	#0xfffffff00887b818
0xfffffff008814278: f50300aa  mov	x21, x0
0xfffffff00881427c: cc7f0294  bl	#0xfffffff0088b41ac
0xfffffff008814280: f40300aa  mov	x20, x0
0xfffffff008814284: 80008052  mov	w0, #4
0xfffffff008814288: 729d0194  bl	#0xfffffff00887b850
0xfffffff00881428c: 35020034  cbz	w21, #0xfffffff0088142d0
0xfffffff008814290: aa035af8  ldur	x10, [x29, #-0x60]
0xfffffff008814294: 485940b9  ldr	w8, [x10, #0x58]
0xfffffff008814298: e90a40b9  ldr	w9, [x23, #8]
0xfffffff00881429c: f82704a9  stp	x24, x9, [sp, #0x40]
0xfffffff0088142a0: ea2303a9  stp	x10, x8, [sp, #0x30]
