; Candidate 6569
; ADRP+ADD at VM 0xfffffff0088336f4 (fileoff 0x182f6f4): page=0x1fe9b6000 add_imm=0xe80

0xfffffff008833674: 40020034  cbz	w0, #0xfffffff0088336bc
0xfffffff008833678: 200f8052  mov	w0, #0x79
0xfffffff00883367c: 67200194  bl	#0xfffffff00887b818
0xfffffff008833680: f50300aa  mov	x21, x0
0xfffffff008833684: ca020294  bl	#0xfffffff0088b41ac
0xfffffff008833688: f40300aa  mov	x20, x0
0xfffffff00883368c: c0008052  mov	w0, #6
0xfffffff008833690: 70200194  bl	#0xfffffff00887b850
0xfffffff008833694: d5010034  cbz	w21, #0xfffffff0088336cc
0xfffffff008833698: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00883369c: 08293e91  add	x8, x8, #0xf8a
0xfffffff0088336a0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088336a4: 280f8052  mov	w8, #0x79
0xfffffff0088336a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088336ac: f40300f9  str	x20, [sp]
0xfffffff0088336b0: 004fff90  adrp	x0, #0xfffffff007213000
0xfffffff0088336b4: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088336b8: 6a0fd697  bl	#0xfffffff007db7460
0xfffffff0088336bc: f30200b4  cbz	x19, #0xfffffff008833718
0xfffffff0088336c0: 14008052  mov	w20, #0
0xfffffff0088336c4: 7f1a00b9  str	wzr, [x19, #0x18]
0xfffffff0088336c8: 45000014  b	#0xfffffff0088337dc
0xfffffff0088336cc: b8020294  bl	#0xfffffff0088b41ac
0xfffffff0088336d0: f40300aa  mov	x20, x0
0xfffffff0088336d4: c0008052  mov	w0, #6
0xfffffff0088336d8: 5e200194  bl	#0xfffffff00887b850
0xfffffff0088336dc: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff0088336e0: 08293e91  add	x8, x8, #0xf8a
0xfffffff0088336e4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088336e8: 280f8052  mov	w8, #0x79
0xfffffff0088336ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088336f0: f40300f9  str	x20, [sp]
0xfffffff0088336f4: a04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088336f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088336fc: a18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008833700: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008833704: c350ffd0  adrp	x3, #0xfffffff00724d000
0xfffffff008833708: 63e02891  add	x3, x3, #0xa38
0xfffffff00883370c: 02008052  mov	w2, #0
0xfffffff008833710: 88feeb97  bl	#0xfffffff008333130
0xfffffff008833714: 73fdffb5  cbnz	x19, #0xfffffff0088336c0
0xfffffff008833718: 200f8052  mov	w0, #0x79
0xfffffff00883371c: 81008052  mov	w1, #4
0xfffffff008833720: 2c200194  bl	#0xfffffff00887b7d0
0xfffffff008833724: a0050034  cbz	w0, #0xfffffff0088337d8
0xfffffff008833728: 200f8052  mov	w0, #0x79
0xfffffff00883372c: 3b200194  bl	#0xfffffff00887b818
0xfffffff008833730: f50300aa  mov	x21, x0
0xfffffff008833734: 9e020294  bl	#0xfffffff0088b41ac
0xfffffff008833738: f40300aa  mov	x20, x0
0xfffffff00883373c: 80008052  mov	w0, #4
0xfffffff008833740: 44200194  bl	#0xfffffff00887b850
0xfffffff008833744: f5010034  cbz	w21, #0xfffffff008833780
0xfffffff008833748: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00883374c: 08313d91  add	x8, x8, #0xf4c
0xfffffff008833750: a90d8052  mov	w9, #0x6d
0xfffffff008833754: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff008833758: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00883375c: 08293e91  add	x8, x8, #0xf8a
0xfffffff008833760: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008833764: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008833768: 280f8052  mov	w8, #0x79
0xfffffff00883376c: 004fffd0  adrp	x0, #0xfffffff007215000
0xfffffff008833770: 00a81491  add	x0, x0, #0x52a
