; Candidate 7333
; ADRP+ADD at VM 0xfffffff00886847c (fileoff 0x186447c): page=0x1fe981000 add_imm=0xe80

0xfffffff0088683fc: 15020034  cbz	w21, #0xfffffff00886843c
0xfffffff008868400: a90358f8  ldur	x9, [x29, #-0x80]
0xfffffff008868404: 284140b9  ldr	w8, [x9, #0x40]
0xfffffff008868408: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff00886840c: 484dffd0  adrp	x8, #0xfffffff007212000
0xfffffff008868410: 08a92f91  add	x8, x8, #0xbea
0xfffffff008868414: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff008868418: e84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886841c: 08811191  add	x8, x8, #0x460
0xfffffff008868420: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008868424: 680c8052  mov	w8, #0x63
0xfffffff008868428: 404dffb0  adrp	x0, #0xfffffff007211000
0xfffffff00886842c: 00801c91  add	x0, x0, #0x720
0xfffffff008868430: f42300a9  stp	x20, x8, [sp]
0xfffffff008868434: 0b3cd597  bl	#0xfffffff007db7460
0xfffffff008868438: 19000014  b	#0xfffffff00886849c
0xfffffff00886843c: 5c2f0194  bl	#0xfffffff0088b41ac
0xfffffff008868440: f40300aa  mov	x20, x0
0xfffffff008868444: 00018052  mov	w0, #8
0xfffffff008868448: 024d0094  bl	#0xfffffff00887b850
0xfffffff00886844c: e8031caa  mov	x8, x28
0xfffffff008868450: aa0358f8  ldur	x10, [x29, #-0x80]
0xfffffff008868454: 494140b9  ldr	w9, [x10, #0x40]
0xfffffff008868458: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00886845c: 484dffd0  adrp	x8, #0xfffffff007212000
0xfffffff008868460: 08a92f91  add	x8, x8, #0xbea
0xfffffff008868464: e82b02a9  stp	x8, x10, [sp, #0x20]
0xfffffff008868468: e84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886846c: 08811191  add	x8, x8, #0x460
0xfffffff008868470: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008868474: 680c8052  mov	w8, #0x63
0xfffffff008868478: f42300a9  stp	x20, x8, [sp]
0xfffffff00886847c: 004cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008868480: 00003a91  add	x0, x0, #0xe80
0xfffffff008868484: 018dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008868488: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886848c: 634ffff0  adrp	x3, #0xfffffff007257000
0xfffffff008868490: 63643191  add	x3, x3, #0xc59
0xfffffff008868494: 02008052  mov	w2, #0
0xfffffff008868498: 262beb97  bl	#0xfffffff008333130
0xfffffff00886849c: e0031caa  mov	x0, x28
0xfffffff0088684a0: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff0088684a4: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff0088684a8: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff0088684ac: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff0088684b0: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff0088684b4: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0088684b8: ff430591  add	sp, sp, #0x150
0xfffffff0088684bc: ff0f5fd6  retab	
0xfffffff0088684c0: f5780194  bl	#0xfffffff0088c6894
0xfffffff0088684c4: 7f2303d5  pacibsp	
0xfffffff0088684c8: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088684cc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088684d0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088684d4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088684d8: fd830191  add	x29, sp, #0x60
0xfffffff0088684dc: f30300aa  mov	x19, x0
0xfffffff0088684e0: 600c8052  mov	w0, #0x63
0xfffffff0088684e4: 01018052  mov	w1, #8
0xfffffff0088684e8: ba4c0094  bl	#0xfffffff00887b7d0
0xfffffff0088684ec: a0050034  cbz	w0, #0xfffffff0088685a0
0xfffffff0088684f0: 600c8052  mov	w0, #0x63
0xfffffff0088684f4: c94c0094  bl	#0xfffffff00887b818
0xfffffff0088684f8: f50300aa  mov	x21, x0
