; Candidate 13207
; ADRP+ADD at VM 0xfffffff009222494 (fileoff 0x221e494): page=0x10f9000 add_imm=0xd78

0xfffffff009222414: 700240f9  ldr	x16, [x19]
0xfffffff009222418: f10313aa  mov	x17, x19
0xfffffff00922241c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009222420: 301ac1da  autda	x16, x17
0xfffffff009222424: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009222428: e90310aa  mov	x9, x16
0xfffffff00922242c: e00313aa  mov	x0, x19
0xfffffff009222430: f10309aa  mov	x17, x9
0xfffffff009222434: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009222438: 11093fd7  blraa	x8, x17
0xfffffff00922243c: e00313aa  mov	x0, x19
0xfffffff009222440: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009222444: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009222448: ff0f5fd6  retab	
0xfffffff00922244c: 7f2303d5  pacibsp	
0xfffffff009222450: ff4301d1  sub	sp, sp, #0x50
0xfffffff009222454: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009222458: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00922245c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009222460: fd030191  add	x29, sp, #0x40
0xfffffff009222464: c88700b0  adrp	x8, #0xfffffff00a31b000
0xfffffff009222468: 08dd46f9  ldr	x8, [x8, #0xdb8]
0xfffffff00922246c: e80000b4  cbz	x8, #0xfffffff009222488
0xfffffff009222470: 20008052  mov	w0, #1
0xfffffff009222474: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009222478: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00922247c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009222480: ff430191  add	sp, sp, #0x50
0xfffffff009222484: ff0f5fd6  retab	
0xfffffff009222488: 00008052  mov	w0, #0
0xfffffff00922248c: 0104a052  mov	w1, #0x200000
0xfffffff009222490: 41ffff97  bl	#0xfffffff009222194
0xfffffff009222494: c08700b0  adrp	x0, #0xfffffff00a31b000
0xfffffff009222498: 00e03591  add	x0, x0, #0xd78
0xfffffff00922249c: 100040f9  ldr	x16, [x0]
0xfffffff0092224a0: f10300aa  mov	x17, x0
0xfffffff0092224a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092224a8: 301ac1da  autda	x16, x17
0xfffffff0092224ac: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff0092224b0: e90310aa  mov	x9, x16
0xfffffff0092224b4: f10309aa  mov	x17, x9
0xfffffff0092224b8: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff0092224bc: 11093fd7  blraa	x8, x17
0xfffffff0092224c0: e00f00f9  str	x0, [sp, #0x18]
0xfffffff0092224c4: 400900b4  cbz	x0, #0xfffffff0092225ec
0xfffffff0092224c8: c28700b0  adrp	x2, #0xfffffff00a31b000
0xfffffff0092224cc: 42e03691  add	x2, x2, #0xdb8
0xfffffff0092224d0: e1630091  add	x1, sp, #0x18
0xfffffff0092224d4: 000080d2  mov	x0, #0
0xfffffff0092224d8: 6d03c397  bl	#0xfffffff0082e328c
0xfffffff0092224dc: 800c0034  cbz	w0, #0xfffffff00922266c
0xfffffff0092224e0: c88700b0  adrp	x8, #0xfffffff00a31b000
0xfffffff0092224e4: 08317839  ldrb	w8, [x8, #0xe0c]
0xfffffff0092224e8: 280c0034  cbz	w8, #0xfffffff00922266c
0xfffffff0092224ec: 4014fff0  adrp	x0, #0xfffffff0074ad000
0xfffffff0092224f0: 00600791  add	x0, x0, #0x1d8
0xfffffff0092224f4: 010080d2  mov	x1, #0
0xfffffff0092224f8: 1da1c597  bl	#0xfffffff00838a96c
0xfffffff0092224fc: f30300aa  mov	x19, x0
0xfffffff009222500: 01008092  mov	x1, #-1
0xfffffff009222504: 229ec597  bl	#0xfffffff008389d8c
0xfffffff009222508: 400100b4  cbz	x0, #0xfffffff009222530
0xfffffff00922250c: 100040f9  ldr	x16, [x0]
0xfffffff009222510: f10300aa  mov	x17, x0
