; Candidate 14976
; ADRP+ADD at VM 0xfffffff009a14114 (fileoff 0x2a10114): page=0x1fdbee000 add_imm=0xe17

0xfffffff009a14094: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff009a14098: e90310aa  mov	x9, x16
0xfffffff009a1409c: e00318aa  mov	x0, x24
0xfffffff009a140a0: f10309aa  mov	x17, x9
0xfffffff009a140a4: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff009a140a8: 11093fd7  blraa	x8, x17
0xfffffff009a140ac: 7f02006b  cmp	w19, w0
0xfffffff009a140b0: 03fbff54  b.lo	#0xfffffff009a14010
0xfffffff009a140b4: 75d30011  add	w21, w27, #0x34
0xfffffff009a140b8: 61000014  b	#0xfffffff009a1423c
0xfffffff009a140bc: 144d00d0  adrp	x20, #0xfffffff00a3b6000
0xfffffff009a140c0: 94422e91  add	x20, x20, #0xb90
0xfffffff009a140c4: 88024039  ldrb	w8, [x20]
0xfffffff009a140c8: c8020036  tbz	w8, #0, #0xfffffff009a14120
0xfffffff009a140cc: 42e69297  bl	#0xfffffff007ecd9d4
0xfffffff009a140d0: 80020035  cbnz	w0, #0xfffffff009a14120
0xfffffff009a140d4: 700240f9  ldr	x16, [x19]
0xfffffff009a140d8: f10313aa  mov	x17, x19
0xfffffff009a140dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a140e0: 301ac1da  autda	x16, x17
0xfffffff009a140e4: 113d80d2  mov	x17, #0x1e8
0xfffffff009a140e8: 1002118b  add	x16, x16, x17
0xfffffff009a140ec: 080240f9  ldr	x8, [x16]
0xfffffff009a140f0: e90310aa  mov	x9, x16
0xfffffff009a140f4: e00313aa  mov	x0, x19
0xfffffff009a140f8: 010080d2  mov	x1, #0
0xfffffff009a140fc: f10309aa  mov	x17, x9
0xfffffff009a14100: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a14104: 11093fd7  blraa	x8, x17
0xfffffff009a14108: 68dffed0  adrp	x8, #0xfffffff007602000
0xfffffff009a1410c: 081d3891  add	x8, x8, #0xe07
0xfffffff009a14110: e80300a9  stp	x8, x0, [sp]
0xfffffff009a14114: 60dffed0  adrp	x0, #0xfffffff007602000
0xfffffff009a14118: 005c3891  add	x0, x0, #0xe17
0xfffffff009a1411c: c10ba597  bl	#0xfffffff008357020
0xfffffff009a14120: 95578052  mov	w21, #0x2bc
0xfffffff009a14124: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff009a14128: 88024039  ldrb	w8, [x20]
0xfffffff009a1412c: 88080836  tbz	w8, #1, #0xfffffff009a1423c
0xfffffff009a14130: 700240f9  ldr	x16, [x19]
0xfffffff009a14134: f10313aa  mov	x17, x19
0xfffffff009a14138: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a1413c: 301ac1da  autda	x16, x17
0xfffffff009a14140: 113d80d2  mov	x17, #0x1e8
0xfffffff009a14144: 1002118b  add	x16, x16, x17
0xfffffff009a14148: 080240f9  ldr	x8, [x16]
0xfffffff009a1414c: e90310aa  mov	x9, x16
0xfffffff009a14150: e00313aa  mov	x0, x19
0xfffffff009a14154: 010080d2  mov	x1, #0
0xfffffff009a14158: f10309aa  mov	x17, x9
0xfffffff009a1415c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a14160: 11093fd7  blraa	x8, x17
0xfffffff009a14164: 68dffed0  adrp	x8, #0xfffffff007602000
0xfffffff009a14168: 081d3891  add	x8, x8, #0xe07
0xfffffff009a1416c: e80300a9  stp	x8, x0, [sp]
0xfffffff009a14170: 60dffed0  adrp	x0, #0xfffffff007602000
0xfffffff009a14174: 005c3891  add	x0, x0, #0xe17
0xfffffff009a14178: 30000014  b	#0xfffffff009a14238
0xfffffff009a1417c: 144d00d0  adrp	x20, #0xfffffff00a3b6000
0xfffffff009a14180: 94422e91  add	x20, x20, #0xb90
0xfffffff009a14184: 88024039  ldrb	w8, [x20]
0xfffffff009a14188: c8020036  tbz	w8, #0, #0xfffffff009a141e0
0xfffffff009a1418c: 12e69297  bl	#0xfffffff007ecd9d4
0xfffffff009a14190: 80020035  cbnz	w0, #0xfffffff009a141e0
