; Candidate 1133
; ADRP+ADD at VM 0xfffffff008227f10 (fileoff 0x1223f10): page=0x1fee63000 add_imm=0xe0c

0xfffffff008227e90: 681e4079  ldrh	w8, [x19, #0xe]
0xfffffff008227e94: 09218052  mov	w9, #0x108
0xfffffff008227e98: 3f01286a  bics	wzr, w9, w8
0xfffffff008227e9c: c1090054  b.ne	#0xfffffff008227fd4
0xfffffff008227ea0: 14008052  mov	w20, #0
0xfffffff008227ea4: 684e42b9  ldr	w8, [x19, #0x24c]
0xfffffff008227ea8: e8100034  cbz	w8, #0xfffffff0082280c4
0xfffffff008227eac: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008227eb0: 890100b4  cbz	x9, #0xfffffff008227ee0
0xfffffff008227eb4: 69024939  ldrb	w9, [x19, #0x240]
0xfffffff008227eb8: 49011037  tbnz	w9, #2, #0xfffffff008227ee0
0xfffffff008227ebc: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008227ec0: 082540f9  ldr	x8, [x8, #0x48]
0xfffffff008227ec4: 082540f9  ldr	x8, [x8, #0x48]
0xfffffff008227ec8: e00313aa  mov	x0, x19
0xfffffff008227ecc: 510f86d2  mov	x17, #0x307a
0xfffffff008227ed0: 11093fd7  blraa	x8, x17
0xfffffff008227ed4: 9f020071  cmp	w20, #0
0xfffffff008227ed8: 1400941a  csel	w20, w0, w20, eq
0xfffffff008227edc: 684e42b9  ldr	w8, [x19, #0x24c]
0xfffffff008227ee0: 1f010071  cmp	w8, #0
0xfffffff008227ee4: 8d140054  b.le	#0xfffffff008228174
0xfffffff008227ee8: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008227eec: 684242b9  ldr	w8, [x19, #0x240]
0xfffffff008227ef0: e90100b4  cbz	x9, #0xfffffff008227f2c
0xfffffff008227ef4: c801c037  tbnz	w8, #0x18, #0xfffffff008227f2c
0xfffffff008227ef8: 691e4079  ldrh	w9, [x19, #0xe]
0xfffffff008227efc: 89010036  tbz	w9, #0, #0xfffffff008227f2c
0xfffffff008227f00: 0873fff0  adrp	x8, #0xfffffff00708a000
0xfffffff008227f04: 08dd3491  add	x8, x8, #0xd37
0xfffffff008227f08: a9ba8052  mov	w9, #0x5d5
0xfffffff008227f0c: e82700a9  stp	x8, x9, [sp]
0xfffffff008227f10: 0073fff0  adrp	x0, #0xfffffff00708a000
0xfffffff008227f14: 00303891  add	x0, x0, #0xe0c
0xfffffff008227f18: 7db10994  bl	#0xfffffff00849450c
0xfffffff008227f1c: 14008052  mov	w20, #0
0xfffffff008227f20: 684242b9  ldr	w8, [x19, #0x240]
0xfffffff008227f24: 08011e32  orr	w8, w8, #4
0xfffffff008227f28: 684202b9  str	w8, [x19, #0x240]
0xfffffff008227f2c: 691e4079  ldrh	w9, [x19, #0xe]
0xfffffff008227f30: 29010032  orr	w9, w9, #1
0xfffffff008227f34: 691e0079  strh	w9, [x19, #0xe]
0xfffffff008227f38: 0801a036  tbz	w8, #0x14, #0xfffffff008227f58
0xfffffff008227f3c: 609a41f9  ldr	x0, [x19, #0x330]
0xfffffff008227f40: c00000b4  cbz	x0, #0xfffffff008227f58
0xfffffff008227f44: 150c40f9  ldr	x21, [x0, #0x18]
0xfffffff008227f48: 21008052  mov	w1, #1
0xfffffff008227f4c: 9cc6fd97  bl	#0xfffffff0081999bc
0xfffffff008227f50: e00315aa  mov	x0, x21
0xfffffff008227f54: 95ffffb5  cbnz	x21, #0xfffffff008227f44
0xfffffff008227f58: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008227f5c: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008227f60: 08210091  add	x8, x8, #8
0xfffffff008227f64: 09008012  mov	w9, #-1
0xfffffff008227f68: 080129b8  ldadd	w9, w8, [x8]
0xfffffff008227f6c: 684e42b9  ldr	w8, [x19, #0x24c]
0xfffffff008227f70: 1f010071  cmp	w8, #0
0xfffffff008227f74: cd0a0054  b.le	#0xfffffff0082280cc
0xfffffff008227f78: 08050051  sub	w8, w8, #1
0xfffffff008227f7c: 684e02b9  str	w8, [x19, #0x24c]
0xfffffff008227f80: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008227f84: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff008227f88: a80000b4  cbz	x8, #0xfffffff008227f9c
0xfffffff008227f8c: e00313aa  mov	x0, x19
