; Candidate 12412
; ADRP+ADD at VM 0xfffffff00909d5bc (fileoff 0x20995bc): page=0x1fe3bc000 add_imm=0xe24

0xfffffff00909d53c: 00c02a91  add	x0, x0, #0xab0
0xfffffff00909d540: e10314aa  mov	x1, x20
0xfffffff00909d544: e20313aa  mov	x2, x19
0xfffffff00909d548: f1048dd2  mov	x17, #0x6827
0xfffffff00909d54c: 11093fd7  blraa	x8, x17
0xfffffff00909d550: f50300aa  mov	x21, x0
0xfffffff00909d554: a0090035  cbnz	w0, #0xfffffff00909d688
0xfffffff00909d558: d40100b4  cbz	x20, #0xfffffff00909d590
0xfffffff00909d55c: 001effb0  adrp	x0, #0xfffffff00745e000
0xfffffff00909d560: 00fc2391  add	x0, x0, #0x8ff
0xfffffff00909d564: 231eff90  adrp	x3, #0xfffffff007461000
0xfffffff00909d568: 63b42c91  add	x3, x3, #0xb2d
0xfffffff00909d56c: 251effb0  adrp	x5, #0xfffffff007462000
0xfffffff00909d570: a5c81591  add	x5, x5, #0x572
0xfffffff00909d574: e10314aa  mov	x1, x20
0xfffffff00909d578: e20313aa  mov	x2, x19
0xfffffff00909d57c: 446a8052  mov	w4, #0x352
0xfffffff00909d580: 23fcff97  bl	#0xfffffff00909c60c
0xfffffff00909d584: e00314aa  mov	x0, x20
0xfffffff00909d588: e10313aa  mov	x1, x19
0xfffffff00909d58c: c9fbff97  bl	#0xfffffff00909c4b0
0xfffffff00909d590: bf020071  cmp	w21, #0
0xfffffff00909d594: c8088052  mov	w8, #0x46
0xfffffff00909d598: 49018052  mov	w9, #0xa
0xfffffff00909d59c: 2801881a  csel	w8, w9, w8, eq
0xfffffff00909d5a0: 09034039  ldrb	w9, [x24]
0xfffffff00909d5a4: 1f01096b  cmp	w8, w9
0xfffffff00909d5a8: 03010054  b.lo	#0xfffffff00909d5c8
0xfffffff00909d5ac: e80315aa  mov	x8, x21
0xfffffff00909d5b0: 087d4093  sxtw	x8, w8
0xfffffff00909d5b4: f75b00a9  stp	x23, x22, [sp]
0xfffffff00909d5b8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909d5bc: e01dff90  adrp	x0, #0xfffffff007459000
0xfffffff00909d5c0: 00903891  add	x0, x0, #0xe24
0xfffffff00909d5c4: 97e6ca97  bl	#0xfffffff008357020
0xfffffff00909d5c8: e00315aa  mov	x0, x21
0xfffffff00909d5cc: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00909d5d0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00909d5d4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00909d5d8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00909d5dc: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00909d5e0: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff00909d5e4: ff430291  add	sp, sp, #0x90
0xfffffff00909d5e8: ff0f5fd6  retab	
0xfffffff00909d5ec: 68688052  mov	w8, #0x343
0xfffffff00909d5f0: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909d5f4: e81dff90  adrp	x8, #0xfffffff007459000
0xfffffff00909d5f8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909d5fc: 291effb0  adrp	x9, #0xfffffff007462000
0xfffffff00909d600: 29391691  add	x9, x9, #0x58e
0xfffffff00909d604: 07000014  b	#0xfffffff00909d620
0xfffffff00909d608: 88688052  mov	w8, #0x344
0xfffffff00909d60c: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909d610: e81dff90  adrp	x8, #0xfffffff007459000
0xfffffff00909d614: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909d618: 291effb0  adrp	x9, #0xfffffff007462000
0xfffffff00909d61c: 29991691  add	x9, x9, #0x5a6
0xfffffff00909d620: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff00909d624: e97f00a9  stp	x9, xzr, [sp]
0xfffffff00909d628: e01dff90  adrp	x0, #0xfffffff007459000
0xfffffff00909d62c: 00d42c91  add	x0, x0, #0xb35
0xfffffff00909d630: 7ce6ca97  bl	#0xfffffff008357020
0xfffffff00909d634: 95008012  mov	w21, #-5
0xfffffff00909d638: f60317aa  mov	x22, x23
