; Candidate 5230
; ADRP+ADD at VM 0xfffffff0087e104c (fileoff 0x17dd04c): page=0x1fea08000 add_imm=0xe80

0xfffffff0087e0fcc: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087e0fd0: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087e0fd4: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e0fd8: 08b93091  add	x8, x8, #0xc2e
0xfffffff0087e0fdc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e0fe0: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e0fe4: 081d0291  add	x8, x8, #0x87
0xfffffff0087e0fe8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e0fec: 280a8052  mov	w8, #0x51
0xfffffff0087e0ff0: 8051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087e0ff4: 00043091  add	x0, x0, #0xc01
0xfffffff0087e0ff8: f72300a9  stp	x23, x8, [sp]
0xfffffff0087e0ffc: 1959d797  bl	#0xfffffff007db7460
0xfffffff0087e1000: 1b000014  b	#0xfffffff0087e106c
0xfffffff0087e1004: 6a4c0394  bl	#0xfffffff0088b41ac
0xfffffff0087e1008: f70300aa  mov	x23, x0
0xfffffff0087e100c: c0008052  mov	w0, #6
0xfffffff0087e1010: 106a0294  bl	#0xfffffff00887b850
0xfffffff0087e1014: e80316aa  mov	x8, x22
0xfffffff0087e1018: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087e101c: ea0315aa  mov	x10, x21
0xfffffff0087e1020: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0087e1024: e80314aa  mov	x8, x20
0xfffffff0087e1028: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0087e102c: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1030: 08b93091  add	x8, x8, #0xc2e
0xfffffff0087e1034: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e1038: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e103c: 081d0291  add	x8, x8, #0x87
0xfffffff0087e1040: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1044: 280a8052  mov	w8, #0x51
0xfffffff0087e1048: f72300a9  stp	x23, x8, [sp]
0xfffffff0087e104c: 4050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e1050: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e1054: 2191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e1058: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e105c: c352fff0  adrp	x3, #0xfffffff00723c000
0xfffffff0087e1060: 632c3e91  add	x3, x3, #0xf8b
0xfffffff0087e1064: 02008052  mov	w2, #0
0xfffffff0087e1068: 3248ed97  bl	#0xfffffff008333130
0xfffffff0087e106c: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087e1070: 480600b4  cbz	x8, #0xfffffff0087e1138
0xfffffff0087e1074: 68aa40f9  ldr	x8, [x19, #0x150]
0xfffffff0087e1078: 080600b4  cbz	x8, #0xfffffff0087e1138
0xfffffff0087e107c: 687a40f9  ldr	x8, [x19, #0xf0]
0xfffffff0087e1080: e80900b4  cbz	x8, #0xfffffff0087e11bc
0xfffffff0087e1084: 687e40f9  ldr	x8, [x19, #0xf8]
0xfffffff0087e1088: a80900b4  cbz	x8, #0xfffffff0087e11bc
0xfffffff0087e108c: 688240f9  ldr	x8, [x19, #0x100]
0xfffffff0087e1090: 680900b4  cbz	x8, #0xfffffff0087e11bc
0xfffffff0087e1094: e803152a  mov	w8, w21
0xfffffff0087e1098: c97e4093  sxtw	x9, w22
0xfffffff0087e109c: e83300f9  str	x8, [sp, #0x60]
0xfffffff0087e10a0: e9ff06a9  stp	x9, xzr, [sp, #0x68]
0xfffffff0087e10a4: 60220491  add	x0, x19, #0x108
0xfffffff0087e10a8: e2830191  add	x2, sp, #0x60
0xfffffff0087e10ac: e10314aa  mov	x1, x20
0xfffffff0087e10b0: 63008052  mov	w3, #3
0xfffffff0087e10b4: d784f097  bl	#0xfffffff008402410
0xfffffff0087e10b8: f70300aa  mov	x23, x0
0xfffffff0087e10bc: 00140034  cbz	w0, #0xfffffff0087e133c
0xfffffff0087e10c0: 200a8052  mov	w0, #0x51
0xfffffff0087e10c4: 81008052  mov	w1, #4
0xfffffff0087e10c8: c2690294  bl	#0xfffffff00887b7d0
