; Candidate 8800
; ADRP+ADD at VM 0xfffffff0088c5524 (fileoff 0x18c1524): page=0x1fe924000 add_imm=0xe80

0xfffffff0088c54a4: 1dabfd97  bl	#0xfffffff008830118
0xfffffff0088c54a8: e0040036  tbz	w0, #0, #0xfffffff0088c5544
0xfffffff0088c54ac: 60008052  mov	w0, #3
0xfffffff0088c54b0: dad8fe97  bl	#0xfffffff00887b818
0xfffffff0088c54b4: f40300aa  mov	x20, x0
0xfffffff0088c54b8: 3dbbff97  bl	#0xfffffff0088b41ac
0xfffffff0088c54bc: 0eabfd97  bl	#0xfffffff0088300f4
0xfffffff0088c54c0: d4010036  tbz	w20, #0, #0xfffffff0088c54f8
0xfffffff0088c54c4: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c54c8: 08b92391  add	x8, x8, #0x8ee
0xfffffff0088c54cc: 092e8052  mov	w9, #0x170
0xfffffff0088c54d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c54d4: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c54d8: 08352591  add	x8, x8, #0x94d
0xfffffff0088c54dc: e1031eaa  mov	x1, x30
0xfffffff0088c54e0: 01abfd97  bl	#0xfffffff0088300e4
0xfffffff0088c54e4: fe0301aa  mov	x30, x1
0xfffffff0088c54e8: 404afff0  adrp	x0, #0xfffffff007210000
0xfffffff0088c54ec: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c54f0: dcc7d397  bl	#0xfffffff007db7460
0xfffffff0088c54f4: 14000014  b	#0xfffffff0088c5544
0xfffffff0088c54f8: 2dbbff97  bl	#0xfffffff0088b41ac
0xfffffff0088c54fc: f3aafd97  bl	#0xfffffff0088300c8
0xfffffff0088c5500: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c5504: 08b92391  add	x8, x8, #0x8ee
0xfffffff0088c5508: 092e8052  mov	w9, #0x170
0xfffffff0088c550c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c5510: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c5514: 08352591  add	x8, x8, #0x94d
0xfffffff0088c5518: e1031eaa  mov	x1, x30
0xfffffff0088c551c: fcaafd97  bl	#0xfffffff00883010c
0xfffffff0088c5520: fe0301aa  mov	x30, x1
0xfffffff0088c5524: 2049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c5528: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c552c: 018afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c5530: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c5534: 234cfff0  adrp	x3, #0xfffffff00724c000
0xfffffff0088c5538: 63c83e91  add	x3, x3, #0xfb2
0xfffffff0088c553c: 02008052  mov	w2, #0
0xfffffff0088c5540: fcb6e997  bl	#0xfffffff008333130
0xfffffff0088c5544: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c5548: 08c91a91  add	x8, x8, #0x6b2
0xfffffff0088c554c: 092e8052  mov	w9, #0x170
0xfffffff0088c5550: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c5554: e04affb0  adrp	x0, #0xfffffff007222000
0xfffffff0088c5558: 00142491  add	x0, x0, #0x905
0xfffffff0088c555c: ec3bef97  bl	#0xfffffff00849450c
0xfffffff0088c5560: 7f2303d5  pacibsp	
0xfffffff0088c5564: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c5568: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c556c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c5570: fd030191  add	x29, sp, #0x40
0xfffffff0088c5574: 60008052  mov	w0, #3
0xfffffff0088c5578: a8d8fe97  bl	#0xfffffff00887b818
0xfffffff0088c557c: f40300aa  mov	x20, x0
0xfffffff0088c5580: 0bbbff97  bl	#0xfffffff0088b41ac
0xfffffff0088c5584: dcaafd97  bl	#0xfffffff0088300f4
0xfffffff0088c5588: 94010036  tbz	w20, #0, #0xfffffff0088c55b8
0xfffffff0088c558c: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c5590: 08c92591  add	x8, x8, #0x972
0xfffffff0088c5594: 69308052  mov	w9, #0x183
0xfffffff0088c5598: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c559c: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c55a0: 08812591  add	x8, x8, #0x960
