; Candidate 1397
; ADRP+ADD at VM 0xfffffff008398ac8 (fileoff 0x1394ac8): page=0x1ff5e6000 add_imm=0xdb0

0xfffffff008398a48: 085946f9  ldr	x8, [x8, #0xcb0]
0xfffffff008398a4c: 080208cb  sub	x8, x16, x8
0xfffffff008398a50: f043c1da  xpaci	x16
0xfffffff008398a54: 1f0209eb  cmp	x16, x9
0xfffffff008398a58: 00324afa  ccmp	x16, x10, #0, lo
0xfffffff008398a5c: 17219f9a  csel	x23, x8, xzr, hs
0xfffffff008398a60: 0a000014  b	#0xfffffff008398a88
0xfffffff008398a64: 170080d2  mov	x23, #0
0xfffffff008398a68: f743c1da  xpaci	x23
0xfffffff008398a6c: 8804c0d2  mov	x8, #0x2400000000
0xfffffff008398a70: e802088b  add	x8, x23, x8
0xfffffff008398a74: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff008398a78: 880000b5  cbnz	x8, #0xfffffff008398a88
0xfffffff008398a7c: a8aeffd0  adrp	x8, #0xfffffff00796e000
0xfffffff008398a80: 084540f9  ldr	x8, [x8, #0x88]
0xfffffff008398a84: 1701178b  add	x23, x8, x23
0xfffffff008398a88: f94740b9  ldr	w25, [sp, #0x44]
0xfffffff008398a8c: 08408052  mov	w8, #0x200
0xfffffff008398a90: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008398a94: 1f03086b  cmp	w24, w8
0xfffffff008398a98: e10d0054  b.ne	#0xfffffff008398c54
0xfffffff008398a9c: 3b68fff0  adrp	x27, #0xfffffff00709f000
0xfffffff008398aa0: 7b3b1b91  add	x27, x27, #0x6ce
0xfffffff008398aa4: f96f01a9  stp	x25, x27, [sp, #0x10]
0xfffffff008398aa8: fa5f00a9  stp	x26, x23, [sp]
0xfffffff008398aac: 2068fff0  adrp	x0, #0xfffffff00709f000
0xfffffff008398ab0: 00dc1191  add	x0, x0, #0x477
0xfffffff008398ab4: 5bf9fe97  bl	#0xfffffff008357020
0xfffffff008398ab8: 28afffd0  adrp	x8, #0xfffffff00797e000
0xfffffff008398abc: 08dd4db9  ldr	w8, [x8, #0xddc]
0xfffffff008398ac0: 1f491b72  tst	w8, #0xffffe0
0xfffffff008398ac4: c0000054  b.eq	#0xfffffff008398adc
0xfffffff008398ac8: 20afffd0  adrp	x0, #0xfffffff00797e000
0xfffffff008398acc: 00c03691  add	x0, x0, #0xdb0
0xfffffff008398ad0: 81008052  mov	w1, #4
0xfffffff008398ad4: bb37e897  bl	#0xfffffff007da69c0
0xfffffff008398ad8: 08000014  b	#0xfffffff008398af8
0xfffffff008398adc: a0acffb0  adrp	x0, #0xfffffff00792d000
0xfffffff008398ae0: 00c01c91  add	x0, x0, #0x730
0xfffffff008398ae4: 01048052  mov	w1, #0x20
0xfffffff008398ae8: 82008252  mov	w2, #0x1004
0xfffffff008398aec: 8200a072  movk	w2, #4, lsl #16
0xfffffff008398af0: 030080d2  mov	x3, #0
0xfffffff008398af4: 8336e897  bl	#0xfffffff007da6500
0xfffffff008398af8: e20300aa  mov	x2, x0
0xfffffff008398afc: 08f400d0  adrp	x8, #0xfffffff00a21a000
0xfffffff008398b00: 08c10191  add	x8, x8, #0x70
0xfffffff008398b04: 09048052  mov	w9, #0x20
0xfffffff008398b08: 080129f8  ldadd	x9, x8, [x8]
0xfffffff008398b0c: 28008052  mov	w8, #1
0xfffffff008398b10: 080800b9  str	w8, [x0, #8]
0xfffffff008398b14: d0acff90  adrp	x16, #0xfffffff007930000
0xfffffff008398b18: 10622691  add	x16, x16, #0x998
0xfffffff008398b1c: 10420091  add	x16, x16, #0x10
0xfffffff008398b20: f10300aa  mov	x17, x0
0xfffffff008398b24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008398b28: 300ac1da  pacda	x16, x17
0xfffffff008398b2c: 100000f9  str	x16, [x0]
0xfffffff008398b30: 09f40090  adrp	x9, #0xfffffff00a218000
0xfffffff008398b34: 29413591  add	x9, x9, #0xd50
0xfffffff008398b38: 2a910091  add	x10, x9, #0x24
0xfffffff008398b3c: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff008398b40: 6a000035  cbnz	w10, #0xfffffff008398b4c
0xfffffff008398b44: 290940f9  ldr	x9, [x9, #0x10]
