; Candidate 12594
; ADRP+ADD at VM 0xfffffff0090c2cec (fileoff 0x20becec): page=0x1fe397000 add_imm=0xe24

0xfffffff0090c2c6c: 361dfff0  adrp	x22, #0xfffffff007469000
0xfffffff0090c2c70: d6361a91  add	x22, x22, #0x68d
0xfffffff0090c2c74: 171dffb0  adrp	x23, #0xfffffff007463000
0xfffffff0090c2c78: f7d22991  add	x23, x23, #0xa74
0xfffffff0090c2c7c: 1f290071  cmp	w8, #0xa
0xfffffff0090c2c80: a8000054  b.hi	#0xfffffff0090c2c94
0xfffffff0090c2c84: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090c2c88: a01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090c2c8c: 00583191  add	x0, x0, #0xc56
0xfffffff0090c2c90: e450ca97  bl	#0xfffffff008357020
0xfffffff0090c2c94: 819200b0  adrp	x1, #0xfffffff00a313000
0xfffffff0090c2c98: 21403a91  add	x1, x1, #0xe90
0xfffffff0090c2c9c: d0ffff90  adrp	x16, #0xfffffff0090ba000
0xfffffff0090c2ca0: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090c2ca4: 519081d2  mov	x17, #0xc82
0xfffffff0090c2ca8: 3002c1da  pacia	x16, x17
0xfffffff0090c2cac: e00310aa  mov	x0, x16
0xfffffff0090c2cb0: e20315aa  mov	x2, x21
0xfffffff0090c2cb4: e30314aa  mov	x3, x20
0xfffffff0090c2cb8: e40313aa  mov	x4, x19
0xfffffff0090c2cbc: c0e1ff97  bl	#0xfffffff0090bb3bc
0xfffffff0090c2cc0: f30300aa  mov	x19, x0
0xfffffff0090c2cc4: 1f000071  cmp	w0, #0
0xfffffff0090c2cc8: c8088052  mov	w8, #0x46
0xfffffff0090c2ccc: 49018052  mov	w9, #0xa
0xfffffff0090c2cd0: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c2cd4: 09c34339  ldrb	w9, [x24, #0xf0]
0xfffffff0090c2cd8: 1f01096b  cmp	w8, w9
0xfffffff0090c2cdc: e3000054  b.lo	#0xfffffff0090c2cf8
0xfffffff0090c2ce0: 687e4093  sxtw	x8, w19
0xfffffff0090c2ce4: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090c2ce8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c2cec: a01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090c2cf0: 00903891  add	x0, x0, #0xe24
0xfffffff0090c2cf4: cb50ca97  bl	#0xfffffff008357020
0xfffffff0090c2cf8: e00313aa  mov	x0, x19
0xfffffff0090c2cfc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090c2d00: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090c2d04: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090c2d08: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0090c2d0c: ff830191  add	sp, sp, #0x60
0xfffffff0090c2d10: ff0f5fd6  retab	
0xfffffff0090c2d14: 7f2303d5  pacibsp	
0xfffffff0090c2d18: ffc301d1  sub	sp, sp, #0x70
0xfffffff0090c2d1c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0090c2d20: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0090c2d24: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0090c2d28: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0090c2d2c: fd830191  add	x29, sp, #0x60
0xfffffff0090c2d30: f40300aa  mov	x20, x0
0xfffffff0090c2d34: 779200f0  adrp	x23, #0xfffffff00a311000
0xfffffff0090c2d38: e8c24339  ldrb	w8, [x23, #0xf0]
0xfffffff0090c2d3c: 351dfff0  adrp	x21, #0xfffffff007469000
0xfffffff0090c2d40: b5ca1a91  add	x21, x21, #0x6b2
0xfffffff0090c2d44: 161dffb0  adrp	x22, #0xfffffff007463000
0xfffffff0090c2d48: d6d22991  add	x22, x22, #0xa74
0xfffffff0090c2d4c: 1f290071  cmp	w8, #0xa
0xfffffff0090c2d50: a8000054  b.hi	#0xfffffff0090c2d64
0xfffffff0090c2d54: f65700a9  stp	x22, x21, [sp]
0xfffffff0090c2d58: a01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090c2d5c: 00583191  add	x0, x0, #0xc56
0xfffffff0090c2d60: b050ca97  bl	#0xfffffff008357020
0xfffffff0090c2d64: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0090c2d68: 540400b4  cbz	x20, #0xfffffff0090c2df0
