; Candidate 10679
; ADRP+ADD at VM 0xfffffff008de2ddc (fileoff 0x1ddeddc): page=0x1fe5e2000 add_imm=0xd21

0xfffffff008de2d5c: 08493991  add	x8, x8, #0xe52
0xfffffff008de2d60: 0b2fffd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de2d64: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de2d68: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008de2d6c: eb0300f9  str	x11, [sp]
0xfffffff008de2d70: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2d74: 00543891  add	x0, x0, #0xe15
0xfffffff008de2d78: aad0d597  bl	#0xfffffff008357020
0xfffffff008de2d7c: ceffff17  b	#0xfffffff008de2cb4
0xfffffff008de2d80: 7f2303d5  pacibsp	
0xfffffff008de2d84: ff0302d1  sub	sp, sp, #0x80
0xfffffff008de2d88: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008de2d8c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008de2d90: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008de2d94: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008de2d98: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008de2d9c: fdc30191  add	x29, sp, #0x70
0xfffffff008de2da0: f30304aa  mov	x19, x4
0xfffffff008de2da4: f40303aa  mov	x20, x3
0xfffffff008de2da8: f60301aa  mov	x22, x1
0xfffffff008de2dac: f50300aa  mov	x21, x0
0xfffffff008de2db0: e22f00b9  str	w2, [sp, #0x2c]
0xfffffff008de2db4: f9a800b0  adrp	x25, #0xfffffff00a2ff000
0xfffffff008de2db8: 39432c91  add	x25, x25, #0xb10
0xfffffff008de2dbc: 28034039  ldrb	w8, [x25]
0xfffffff008de2dc0: 172fff90  adrp	x23, #0xfffffff0073c2000
0xfffffff008de2dc4: f7ae0291  add	x23, x23, #0xab
0xfffffff008de2dc8: f82efff0  adrp	x24, #0xfffffff0073c1000
0xfffffff008de2dcc: 189f0c91  add	x24, x24, #0x327
0xfffffff008de2dd0: 1f290071  cmp	w8, #0xa
0xfffffff008de2dd4: a8000054  b.hi	#0xfffffff008de2de8
0xfffffff008de2dd8: f85f00a9  stp	x24, x23, [sp]
0xfffffff008de2ddc: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2de0: 00843491  add	x0, x0, #0xd21
0xfffffff008de2de4: 8fd0d597  bl	#0xfffffff008357020
0xfffffff008de2de8: 350400b4  cbz	x21, #0xfffffff008de2e6c
0xfffffff008de2dec: 340500b4  cbz	x20, #0xfffffff008de2e90
0xfffffff008de2df0: 130500b4  cbz	x19, #0xfffffff008de2e90
0xfffffff008de2df4: e3b30091  add	x3, sp, #0x2c
0xfffffff008de2df8: e00316aa  mov	x0, x22
0xfffffff008de2dfc: 21038052  mov	w1, #0x19
0xfffffff008de2e00: 02008052  mov	w2, #0
0xfffffff008de2e04: 84008052  mov	w4, #4
0xfffffff008de2e08: e50314aa  mov	x5, x20
0xfffffff008de2e0c: e60313aa  mov	x6, x19
0xfffffff008de2e10: 519081d2  mov	x17, #0xc82
0xfffffff008de2e14: b10a3fd7  blraa	x21, x17
0xfffffff008de2e18: f30300aa  mov	x19, x0
0xfffffff008de2e1c: a0050035  cbnz	w0, #0xfffffff008de2ed0
0xfffffff008de2e20: 48018052  mov	w8, #0xa
0xfffffff008de2e24: 29034039  ldrb	w9, [x25]
0xfffffff008de2e28: 1f01096b  cmp	w8, w9
0xfffffff008de2e2c: 03010054  b.lo	#0xfffffff008de2e4c
0xfffffff008de2e30: e80313aa  mov	x8, x19
0xfffffff008de2e34: 087d4093  sxtw	x8, w8
0xfffffff008de2e38: f85f00a9  stp	x24, x23, [sp]
0xfffffff008de2e3c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de2e40: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2e44: 00503591  add	x0, x0, #0xd54
0xfffffff008de2e48: 76d0d597  bl	#0xfffffff008357020
0xfffffff008de2e4c: e00313aa  mov	x0, x19
0xfffffff008de2e50: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008de2e54: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008de2e58: f65745a9  ldp	x22, x21, [sp, #0x50]
