; Candidate 378
; ADRP+ADD at VM 0xfffffff007ecede8 (fileoff 0xecade8): page=0x1ff18a000 add_imm=0xe06

0xfffffff007eced68: 48d01bd5  msr	tpidr_el0, x8
0xfffffff007eced6c: 7fd01bd5  msr	tpidrro_el0, xzr
0xfffffff007eced70: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff007eced74: c91701b0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007eced78: 29010091  add	x9, x9, #0
0xfffffff007eced7c: 290140f9  ldr	x9, [x9]
0xfffffff007eced80: 3f0108eb  cmp	x9, x8
0xfffffff007eced84: 41080054  b.ne	#0xfffffff007ecee8c
0xfffffff007eced88: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff007eced8c: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff007eced90: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff007eced94: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff007eced98: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff007eced9c: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff007eceda0: ffc30491  add	sp, sp, #0x130
0xfffffff007eceda4: ff0f5fd6  retab	
0xfffffff007eceda8: 9f2403d5  bti	j
0xfffffff007ecedac: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff007ecedb0: 080140b9  ldr	w8, [x8]
0xfffffff007ecedb4: e4ffff17  b	#0xfffffff007eced44
0xfffffff007ecedb8: 9f2403d5  bti	j
0xfffffff007ecedbc: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff007ecedc0: 080140f9  ldr	x8, [x8]
0xfffffff007ecedc4: e0ffff17  b	#0xfffffff007eced44
0xfffffff007ecedc8: 9f2403d5  bti	j
0xfffffff007ecedcc: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff007ecedd0: 08014079  ldrh	w8, [x8]
0xfffffff007ecedd4: dcffff17  b	#0xfffffff007eced44
0xfffffff007ecedd8: 488cffd0  adrp	x8, #0xfffffff007058000
0xfffffff007eceddc: 08c12e91  add	x8, x8, #0xbb0
0xfffffff007ecede0: 29998052  mov	w9, #0x4c9
0xfffffff007ecede4: e82700a9  stp	x8, x9, [sp]
0xfffffff007ecede8: 408cffd0  adrp	x0, #0xfffffff007058000
0xfffffff007ecedec: 00183891  add	x0, x0, #0xe06
0xfffffff007ecedf0: c7151794  bl	#0xfffffff00849450c
0xfffffff007ecedf4: 48978052  mov	w8, #0x4ba
0xfffffff007ecedf8: 498cffd0  adrp	x9, #0xfffffff007058000
0xfffffff007ecedfc: 29c12e91  add	x9, x9, #0xbb0
0xfffffff007ecee00: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ecee04: 488cffd0  adrp	x8, #0xfffffff007058000
0xfffffff007ecee08: 08793191  add	x8, x8, #0xc5e
0xfffffff007ecee0c: 1c000014  b	#0xfffffff007ecee7c
0xfffffff007ecee10: 48978052  mov	w8, #0x4ba
0xfffffff007ecee14: 498cffd0  adrp	x9, #0xfffffff007058000
0xfffffff007ecee18: 29c12e91  add	x9, x9, #0xbb0
0xfffffff007ecee1c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ecee20: 488cffd0  adrp	x8, #0xfffffff007058000
0xfffffff007ecee24: 08b53191  add	x8, x8, #0xc6d
0xfffffff007ecee28: 15000014  b	#0xfffffff007ecee7c
0xfffffff007ecee2c: 48978052  mov	w8, #0x4ba
0xfffffff007ecee30: 498cffd0  adrp	x9, #0xfffffff007058000
0xfffffff007ecee34: 29c12e91  add	x9, x9, #0xbb0
0xfffffff007ecee38: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ecee3c: 488cffd0  adrp	x8, #0xfffffff007058000
0xfffffff007ecee40: 08e93191  add	x8, x8, #0xc7a
0xfffffff007ecee44: 0e000014  b	#0xfffffff007ecee7c
0xfffffff007ecee48: 48978052  mov	w8, #0x4ba
0xfffffff007ecee4c: 498cffd0  adrp	x9, #0xfffffff007058000
0xfffffff007ecee50: 29c12e91  add	x9, x9, #0xbb0
0xfffffff007ecee54: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ecee58: 488cffd0  adrp	x8, #0xfffffff007058000
0xfffffff007ecee5c: 08553291  add	x8, x8, #0xc95
0xfffffff007ecee60: 07000014  b	#0xfffffff007ecee7c
0xfffffff007ecee64: 48978052  mov	w8, #0x4ba
