; Candidate 5996
; ADRP+ADD at VM 0xfffffff00880dfa4 (fileoff 0x1809fa4): page=0x1fe9dc000 add_imm=0xe80

0xfffffff00880df24: 3db60194  bl	#0xfffffff00887b818
0xfffffff00880df28: f90300aa  mov	x25, x0
0xfffffff00880df2c: a0980294  bl	#0xfffffff0088b41ac
0xfffffff00880df30: f80300aa  mov	x24, x0
0xfffffff00880df34: e0008052  mov	w0, #7
0xfffffff00880df38: 46b60194  bl	#0xfffffff00887b850
0xfffffff00880df3c: b9010034  cbz	w25, #0xfffffff00880df70
0xfffffff00880df40: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff00880df44: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff00880df48: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880df4c: 087d3791  add	x8, x8, #0xddf
0xfffffff00880df50: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00880df54: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880df58: 880e8052  mov	w8, #0x74
0xfffffff00880df5c: 6050ffd0  adrp	x0, #0xfffffff00721b000
0xfffffff00880df60: 00643a91  add	x0, x0, #0xe99
0xfffffff00880df64: f82300a9  stp	x24, x8, [sp]
0xfffffff00880df68: 3ea5d697  bl	#0xfffffff007db7460
0xfffffff00880df6c: 16000014  b	#0xfffffff00880dfc4
0xfffffff00880df70: 8f980294  bl	#0xfffffff0088b41ac
0xfffffff00880df74: f80300aa  mov	x24, x0
0xfffffff00880df78: e0008052  mov	w0, #7
0xfffffff00880df7c: 35b60194  bl	#0xfffffff00887b850
0xfffffff00880df80: e80317aa  mov	x8, x23
0xfffffff00880df84: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff00880df88: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff00880df8c: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880df90: 087d3791  add	x8, x8, #0xddf
0xfffffff00880df94: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00880df98: 880e8052  mov	w8, #0x74
0xfffffff00880df9c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880dfa0: f80300f9  str	x24, [sp]
0xfffffff00880dfa4: e04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00880dfa8: 00003a91  add	x0, x0, #0xe80
0xfffffff00880dfac: c18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880dfb0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880dfb4: c351ffb0  adrp	x3, #0xfffffff007246000
0xfffffff00880dfb8: 63e03f91  add	x3, x3, #0xff8
0xfffffff00880dfbc: 02008052  mov	w2, #0
0xfffffff00880dfc0: 5c94ec97  bl	#0xfffffff008333130
0xfffffff00880dfc4: e00317aa  mov	x0, x23
0xfffffff00880dfc8: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00880dfcc: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00880dfd0: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00880dfd4: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00880dfd8: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00880dfdc: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00880dfe0: ff830391  add	sp, sp, #0xe0
0xfffffff00880dfe4: ff0f5fd6  retab	
0xfffffff00880dfe8: 7f2303d5  pacibsp	
0xfffffff00880dfec: ff0303d1  sub	sp, sp, #0xc0
0xfffffff00880dff0: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff00880dff4: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff00880dff8: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff00880dffc: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff00880e000: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff00880e004: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff00880e008: fdc30291  add	x29, sp, #0xb0
0xfffffff00880e00c: f80305aa  mov	x24, x5
0xfffffff00880e010: f70304aa  mov	x23, x4
0xfffffff00880e014: f60303aa  mov	x22, x3
0xfffffff00880e018: f50302aa  mov	x21, x2
0xfffffff00880e01c: f40301aa  mov	x20, x1
0xfffffff00880e020: f30300aa  mov	x19, x0
