; Candidate 7045
; ADRP+ADD at VM 0xfffffff008852fe0 (fileoff 0x184efe0): page=0x1fe997000 add_imm=0xe80

0xfffffff008852f60: 80108052  mov	w0, #0x84
0xfffffff008852f64: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008852f68: 01018052  mov	w1, #8
0xfffffff008852f6c: 050080d2  mov	x5, #0
0xfffffff008852f70: e5abe497  bl	#0xfffffff00817df04
0xfffffff008852f74: ccfeff17  b	#0xfffffff008852aa4
0xfffffff008852f78: 8d840194  bl	#0xfffffff0088b41ac
0xfffffff008852f7c: f90300aa  mov	x25, x0
0xfffffff008852f80: 80008052  mov	w0, #4
0xfffffff008852f84: 33a20094  bl	#0xfffffff00887b850
0xfffffff008852f88: e80318aa  mov	x8, x24
0xfffffff008852f8c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008852f90: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008852f94: 8b5b40b9  ldr	w11, [x28, #0x58]
0xfffffff008852f98: f5a306a9  stp	x21, x8, [sp, #0x68]
0xfffffff008852f9c: fcaf05a9  stp	x28, x11, [sp, #0x58]
0xfffffff008852fa0: f4ab04a9  stp	x20, x10, [sp, #0x48]
0xfffffff008852fa4: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff008852fa8: e84dffd0  adrp	x8, #0xfffffff007210000
0xfffffff008852fac: 08b92791  add	x8, x8, #0x9ee
0xfffffff008852fb0: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008852fb4: 68828052  mov	w8, #0x413
0xfffffff008852fb8: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff008852fbc: 29e91c91  add	x9, x9, #0x73a
0xfffffff008852fc0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008852fc4: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff008852fc8: 08811191  add	x8, x8, #0x460
0xfffffff008852fcc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008852fd0: e80d8052  mov	w8, #0x6f
0xfffffff008852fd4: 0350ffb0  adrp	x3, #0xfffffff007253000
0xfffffff008852fd8: 63241091  add	x3, x3, #0x409
0xfffffff008852fdc: f92300a9  stp	x25, x8, [sp]
0xfffffff008852fe0: a04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008852fe4: 00003a91  add	x0, x0, #0xe80
0xfffffff008852fe8: a18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008852fec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008852ff0: 02008052  mov	w2, #0
0xfffffff008852ff4: 4f80eb97  bl	#0xfffffff008333130
0xfffffff008852ff8: a6feff17  b	#0xfffffff008852a90
0xfffffff008852ffc: 6c840194  bl	#0xfffffff0088b41ac
0xfffffff008853000: f90300aa  mov	x25, x0
0xfffffff008853004: 80008052  mov	w0, #4
0xfffffff008853008: 12a20094  bl	#0xfffffff00887b850
0xfffffff00885300c: e80318aa  mov	x8, x24
0xfffffff008853010: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008853014: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008853018: 8b5b40b9  ldr	w11, [x28, #0x58]
0xfffffff00885301c: 0c018052  mov	w12, #8
0xfffffff008853020: ec2307a9  stp	x12, x8, [sp, #0x70]
0xfffffff008853024: eb5706a9  stp	x11, x21, [sp, #0x60]
0xfffffff008853028: ea7305a9  stp	x10, x28, [sp, #0x50]
0xfffffff00885302c: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff008853030: e84dffb0  adrp	x8, #0xfffffff007210000
0xfffffff008853034: 08b92791  add	x8, x8, #0x9ee
0xfffffff008853038: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885303c: c8838052  mov	w8, #0x41e
0xfffffff008853040: 894efff0  adrp	x9, #0xfffffff007226000
0xfffffff008853044: 29e91c91  add	x9, x9, #0x73a
0xfffffff008853048: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885304c: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853050: 08811191  add	x8, x8, #0x460
0xfffffff008853054: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008853058: e80d8052  mov	w8, #0x6f
0xfffffff00885305c: 0350ff90  adrp	x3, #0xfffffff007253000
