; Candidate 13614
; ADRP+ADD at VM 0xfffffff0093afebc (fileoff 0x23abebc): page=0x1fe153000 add_imm=0xd20

0xfffffff0093afe3c: 00040034  cbz	w0, #0xfffffff0093afebc
0xfffffff0093afe40: e1524039  ldrb	w1, [x23, #0x14]
0xfffffff0093afe44: e00313aa  mov	x0, x19
0xfffffff0093afe48: 15060094  bl	#0xfffffff0093b169c
0xfffffff0093afe4c: a00400b4  cbz	x0, #0xfffffff0093afee0
0xfffffff0093afe50: f80300aa  mov	x24, x0
0xfffffff0093afe54: 900240f9  ldr	x16, [x20]
0xfffffff0093afe58: f10314aa  mov	x17, x20
0xfffffff0093afe5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093afe60: 301ac1da  autda	x16, x17
0xfffffff0093afe64: 112080d2  mov	x17, #0x100
0xfffffff0093afe68: 1002118b  add	x16, x16, x17
0xfffffff0093afe6c: 080240f9  ldr	x8, [x16]
0xfffffff0093afe70: e90310aa  mov	x9, x16
0xfffffff0093afe74: a10aff90  adrp	x1, #0xfffffff007503000
0xfffffff0093afe78: 21c43491  add	x1, x1, #0xd31
0xfffffff0093afe7c: e00314aa  mov	x0, x20
0xfffffff0093afe80: e20318aa  mov	x2, x24
0xfffffff0093afe84: f10309aa  mov	x17, x9
0xfffffff0093afe88: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0093afe8c: 11093fd7  blraa	x8, x17
0xfffffff0093afe90: 100340f9  ldr	x16, [x24]
0xfffffff0093afe94: f10318aa  mov	x17, x24
0xfffffff0093afe98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093afe9c: 301ac1da  autda	x16, x17
0xfffffff0093afea0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093afea4: e90310aa  mov	x9, x16
0xfffffff0093afea8: e00318aa  mov	x0, x24
0xfffffff0093afeac: f10309aa  mov	x17, x9
0xfffffff0093afeb0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093afeb4: 11093fd7  blraa	x8, x17
0xfffffff0093afeb8: 14000014  b	#0xfffffff0093aff08
0xfffffff0093afebc: 800afff0  adrp	x0, #0xfffffff007502000
0xfffffff0093afec0: 00803491  add	x0, x0, #0xd20
0xfffffff0093afec4: c140fff0  adrp	x1, #0xfffffff007bca000
0xfffffff0093afec8: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093afecc: a30affb0  adrp	x3, #0xfffffff007504000
0xfffffff0093afed0: 636c3491  add	x3, x3, #0xd1b
0xfffffff0093afed4: 02028052  mov	w2, #0x10
0xfffffff0093afed8: 960cbe97  bl	#0xfffffff008333130
0xfffffff0093afedc: d8010014  b	#0xfffffff0093b063c
0xfffffff0093afee0: e8524039  ldrb	w8, [x23, #0x14]
0xfffffff0093afee4: e80300f9  str	x8, [sp]
0xfffffff0093afee8: 800afff0  adrp	x0, #0xfffffff007502000
0xfffffff0093afeec: 00803491  add	x0, x0, #0xd20
0xfffffff0093afef0: c140fff0  adrp	x1, #0xfffffff007bca000
0xfffffff0093afef4: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093afef8: a30affb0  adrp	x3, #0xfffffff007504000
0xfffffff0093afefc: 63c82a91  add	x3, x3, #0xab2
0xfffffff0093aff00: 02028052  mov	w2, #0x10
0xfffffff0093aff04: 8b0cbe97  bl	#0xfffffff008333130
0xfffffff0093aff08: e1564039  ldrb	w1, [x23, #0x15]
0xfffffff0093aff0c: e00313aa  mov	x0, x19
0xfffffff0093aff10: e3050094  bl	#0xfffffff0093b169c
0xfffffff0093aff14: 800300b4  cbz	x0, #0xfffffff0093aff84
0xfffffff0093aff18: f80300aa  mov	x24, x0
0xfffffff0093aff1c: 900240f9  ldr	x16, [x20]
0xfffffff0093aff20: f10314aa  mov	x17, x20
0xfffffff0093aff24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093aff28: 301ac1da  autda	x16, x17
0xfffffff0093aff2c: 112080d2  mov	x17, #0x100
0xfffffff0093aff30: 1002118b  add	x16, x16, x17
0xfffffff0093aff34: 080240f9  ldr	x8, [x16]
0xfffffff0093aff38: e90310aa  mov	x9, x16
