; Candidate 14720
; ADRP+ADD at VM 0xfffffff0098b5be4 (fileoff 0x28b1be4): page=0xadf000 add_imm=0xce8

0xfffffff0098b5b64: a90000f9  str	x9, [x5]
0xfffffff0098b5b68: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff0098b5b6c: c90000f9  str	x9, [x6]
0xfffffff0098b5b70: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff0098b5b74: e80000f9  str	x8, [x7]
0xfffffff0098b5b78: c0035fd6  ret	
0xfffffff0098b5b7c: 5f2403d5  bti	c
0xfffffff0098b5b80: ddbaa817  b	#0xfffffff0082e46f4
0xfffffff0098b5b84: 5f2403d5  bti	c
0xfffffff0098b5b88: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0098b5b8c: c0035fd6  ret	
0xfffffff0098b5b90: 7f2303d5  pacibsp	
0xfffffff0098b5b94: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b5b98: fd030091  mov	x29, sp
0xfffffff0098b5b9c: e05600f0  adrp	x0, #0xfffffff00a394000
0xfffffff0098b5ba0: 00a03391  add	x0, x0, #0xce8
0xfffffff0098b5ba4: 21e9fef0  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b5ba8: 21200891  add	x1, x1, #0x208
0xfffffff0098b5bac: c21dffb0  adrp	x2, #0xfffffff007c6e000
0xfffffff0098b5bb0: 42f042f9  ldr	x2, [x2, #0x5e0]
0xfffffff0098b5bb4: 03198052  mov	w3, #0xc8
0xfffffff0098b5bb8: e0b7a897  bl	#0xfffffff0082e3b38
0xfffffff0098b5bbc: d01dffb0  adrp	x16, #0xfffffff007c6e000
0xfffffff0098b5bc0: 10023291  add	x16, x16, #0xc80
0xfffffff0098b5bc4: 10420091  add	x16, x16, #0x10
0xfffffff0098b5bc8: f10300aa  mov	x17, x0
0xfffffff0098b5bcc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b5bd0: 300ac1da  pacda	x16, x17
0xfffffff0098b5bd4: 100000f9  str	x16, [x0]
0xfffffff0098b5bd8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098b5bdc: ff0f5fd6  retab	
0xfffffff0098b5be0: 5f2403d5  bti	c
0xfffffff0098b5be4: e05600f0  adrp	x0, #0xfffffff00a394000
0xfffffff0098b5be8: 00a03391  add	x0, x0, #0xce8
0xfffffff0098b5bec: c2baa817  b	#0xfffffff0082e46f4
0xfffffff0098b5bf0: 7f2303d5  pacibsp	
0xfffffff0098b5bf4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b5bf8: fd030091  mov	x29, sp
0xfffffff0098b5bfc: 21e9fef0  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b5c00: 21f00991  add	x1, x1, #0x27c
0xfffffff0098b5c04: c21dffb0  adrp	x2, #0xfffffff007c6e000
0xfffffff0098b5c08: 420843f9  ldr	x2, [x2, #0x610]
0xfffffff0098b5c0c: 03088052  mov	w3, #0x40
0xfffffff0098b5c10: cab7a897  bl	#0xfffffff0082e3b38
0xfffffff0098b5c14: d01dffb0  adrp	x16, #0xfffffff007c6e000
0xfffffff0098b5c18: 10c23691  add	x16, x16, #0xdb0
0xfffffff0098b5c1c: 10420091  add	x16, x16, #0x10
0xfffffff0098b5c20: f10300aa  mov	x17, x0
0xfffffff0098b5c24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b5c28: 300ac1da  pacda	x16, x17
0xfffffff0098b5c2c: 100000f9  str	x16, [x0]
0xfffffff0098b5c30: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098b5c34: ff0f5fd6  retab	
0xfffffff0098b5c38: 5f2403d5  bti	c
0xfffffff0098b5c3c: aebaa817  b	#0xfffffff0082e46f4
0xfffffff0098b5c40: 7f2303d5  pacibsp	
0xfffffff0098b5c44: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b5c48: fd030091  mov	x29, sp
0xfffffff0098b5c4c: c8c6a897  bl	#0xfffffff0082e776c
0xfffffff0098b5c50: d01dffb0  adrp	x16, #0xfffffff007c6e000
0xfffffff0098b5c54: 10623491  add	x16, x16, #0xd18
0xfffffff0098b5c58: 10420091  add	x16, x16, #0x10
0xfffffff0098b5c5c: f10300aa  mov	x17, x0
0xfffffff0098b5c60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
