; Candidate 237
; ADRP+ADD at VM 0xfffffff007e3b0b8 (fileoff 0xe370b8): page=0x1ff211000 add_imm=0xd86

0xfffffff007e3b038: 00983491  add	x0, x0, #0xd26
0xfffffff007e3b03c: 34651994  bl	#0xfffffff00849450c
0xfffffff007e3b040: e01d01b0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007e3b044: 00001591  add	x0, x0, #0x540
0xfffffff007e3b048: e18b40f9  ldr	x1, [sp, #0x110]
0xfffffff007e3b04c: 02008052  mov	w2, #0
0xfffffff007e3b050: aac2fd97  bl	#0xfffffff007dabaf8
0xfffffff007e3b054: 682640b9  ldr	w8, [x19, #0x24]
0xfffffff007e3b058: 28f8e736  tbz	w8, #0x1c, #0xfffffff007e3af5c
0xfffffff007e3b05c: c6ffff17  b	#0xfffffff007e3af74
0xfffffff007e3b060: 8890ffb0  adrp	x8, #0xfffffff00704c000
0xfffffff007e3b064: 08892a91  add	x8, x8, #0xaa2
0xfffffff007e3b068: 09d88252  mov	w9, #0x16c0
0xfffffff007e3b06c: e82700a9  stp	x8, x9, [sp]
0xfffffff007e3b070: 8090ffb0  adrp	x0, #0xfffffff00704c000
0xfffffff007e3b074: 00103791  add	x0, x0, #0xdc4
0xfffffff007e3b078: 25651994  bl	#0xfffffff00849450c
0xfffffff007e3b07c: c8cd8252  mov	w8, #0x166e
0xfffffff007e3b080: a7ffff17  b	#0xfffffff007e3af1c
0xfffffff007e3b084: 08d18252  mov	w8, #0x1688
0xfffffff007e3b088: 8990ffb0  adrp	x9, #0xfffffff00704c000
0xfffffff007e3b08c: 29892a91  add	x9, x9, #0xaa2
0xfffffff007e3b090: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e3b094: f50300f9  str	x21, [sp]
0xfffffff007e3b098: d5ffff17  b	#0xfffffff007e3afec
0xfffffff007e3b09c: a84240b9  ldr	w8, [x21, #0x40]
0xfffffff007e3b0a0: 8990ffb0  adrp	x9, #0xfffffff00704c000
0xfffffff007e3b0a4: 29892a91  add	x9, x9, #0xaa2
0xfffffff007e3b0a8: aad38252  mov	w10, #0x169d
0xfffffff007e3b0ac: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff007e3b0b0: f46b02a9  stp	x20, x26, [sp, #0x20]
0xfffffff007e3b0b4: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff007e3b0b8: 8090ffb0  adrp	x0, #0xfffffff00704c000
0xfffffff007e3b0bc: 00183691  add	x0, x0, #0xd86
0xfffffff007e3b0c0: e8a740f9  ldr	x8, [sp, #0x148]
0xfffffff007e3b0c4: f72300a9  stp	x23, x8, [sp]
0xfffffff007e3b0c8: 11651994  bl	#0xfffffff00849450c
0xfffffff007e3b0cc: 7f2303d5  pacibsp	
0xfffffff007e3b0d0: ff8302d1  sub	sp, sp, #0xa0
0xfffffff007e3b0d4: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff007e3b0d8: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff007e3b0dc: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff007e3b0e0: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff007e3b0e4: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff007e3b0e8: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff007e3b0ec: fd430291  add	x29, sp, #0x90
0xfffffff007e3b0f0: fc0307aa  mov	x28, x7
0xfffffff007e3b0f4: fb0306aa  mov	x27, x6
0xfffffff007e3b0f8: fa0304aa  mov	x26, x4
0xfffffff007e3b0fc: e80303aa  mov	x8, x3
0xfffffff007e3b100: f70302aa  mov	x23, x2
0xfffffff007e3b104: f80301aa  mov	x24, x1
0xfffffff007e3b108: f60300aa  mov	x22, x0
0xfffffff007e3b10c: e53f00b9  str	w5, [sp, #0x3c]
0xfffffff007e3b110: ffef0039  strb	wzr, [sp, #0x3b]
0xfffffff007e3b114: 09d5ffd0  adrp	x9, #0xfffffff0078dd000
0xfffffff007e3b118: 29d945f9  ldr	x9, [x9, #0xbb0]
0xfffffff007e3b11c: ea1d01b0  adrp	x10, #0xfffffff00a1f8000
0xfffffff007e3b120: 4ac540f9  ldr	x10, [x10, #0x188]
0xfffffff007e3b124: 3f0100eb  cmp	x9, x0
0xfffffff007e3b128: 409140fa  ccmp	x10, x0, #0, ls
0xfffffff007e3b12c: 88080054  b.hi	#0xfffffff007e3b23c
0xfffffff007e3b130: c93240b9  ldr	w9, [x22, #0x30]
0xfffffff007e3b134: 3f090031  cmn	w9, #2
