; Candidate 11479
; ADRP+ADD at VM 0xfffffff008f585c8 (fileoff 0x1f545c8): page=0x1fe4c7000 add_imm=0xdc6

0xfffffff008f58548: 7c2dce97  bl	#0xfffffff0082e3b38
0xfffffff008f5854c: 505effd0  adrp	x16, #0xfffffff007b22000
0xfffffff008f58550: 10e23091  add	x16, x16, #0xc38
0xfffffff008f58554: 10420091  add	x16, x16, #0x10
0xfffffff008f58558: f10300aa  mov	x17, x0
0xfffffff008f5855c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f58560: 300ac1da  pacda	x16, x17
0xfffffff008f58564: 100000f9  str	x16, [x0]
0xfffffff008f58568: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f5856c: ff0f5fd6  retab	
0xfffffff008f58570: 5f2403d5  bti	c
0xfffffff008f58574: a09d0090  adrp	x0, #0xfffffff00a30c000
0xfffffff008f58578: 00e01091  add	x0, x0, #0x438
0xfffffff008f5857c: 5e30ce17  b	#0xfffffff0082e46f4
0xfffffff008f58580: 7f2303d5  pacibsp	
0xfffffff008f58584: ff0301d1  sub	sp, sp, #0x40
0xfffffff008f58588: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008f5858c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008f58590: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008f58594: fdc30091  add	x29, sp, #0x30
0xfffffff008f58598: 2026ff90  adrp	x0, #0xfffffff00741c000
0xfffffff008f5859c: 00680e91  add	x0, x0, #0x39a
0xfffffff008f585a0: 010080d2  mov	x1, #0
0xfffffff008f585a4: bbc6d097  bl	#0xfffffff00838a090
0xfffffff008f585a8: c00500b4  cbz	x0, #0xfffffff008f58660
0xfffffff008f585ac: f30300aa  mov	x19, x0
0xfffffff008f585b0: 01008092  mov	x1, #-1
0xfffffff008f585b4: f6c5d097  bl	#0xfffffff008389d8c
0xfffffff008f585b8: f40300aa  mov	x20, x0
0xfffffff008f585bc: 2826fff0  adrp	x8, #0xfffffff00741f000
0xfffffff008f585c0: 08853791  add	x8, x8, #0xde1
0xfffffff008f585c4: e80300f9  str	x8, [sp]
0xfffffff008f585c8: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f585cc: 00183791  add	x0, x0, #0xdc6
0xfffffff008f585d0: 94facf97  bl	#0xfffffff008357020
0xfffffff008f585d4: a89d0090  adrp	x8, #0xfffffff00a30c000
0xfffffff008f585d8: 08a10e91  add	x8, x8, #0x3a8
0xfffffff008f585dc: 080140f9  ldr	x8, [x8]
0xfffffff008f585e0: 1f0114eb  cmp	x8, x20
0xfffffff008f585e4: 41040054  b.ne	#0xfffffff008f5866c
0xfffffff008f585e8: e00314aa  mov	x0, x20
0xfffffff008f585ec: 19e8ff97  bl	#0xfffffff008f52650
0xfffffff008f585f0: f50300aa  mov	x21, x0
0xfffffff008f585f4: 700240f9  ldr	x16, [x19]
0xfffffff008f585f8: f10313aa  mov	x17, x19
0xfffffff008f585fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f58600: 301ac1da  autda	x16, x17
0xfffffff008f58604: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008f58608: e90310aa  mov	x9, x16
0xfffffff008f5860c: e00313aa  mov	x0, x19
0xfffffff008f58610: f10309aa  mov	x17, x9
0xfffffff008f58614: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008f58618: 11093fd7  blraa	x8, x17
0xfffffff008f5861c: 740100b4  cbz	x20, #0xfffffff008f58648
0xfffffff008f58620: 900240f9  ldr	x16, [x20]
0xfffffff008f58624: f10314aa  mov	x17, x20
0xfffffff008f58628: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f5862c: 301ac1da  autda	x16, x17
0xfffffff008f58630: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008f58634: e90310aa  mov	x9, x16
0xfffffff008f58638: e00314aa  mov	x0, x20
0xfffffff008f5863c: f10309aa  mov	x17, x9
0xfffffff008f58640: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008f58644: 11093fd7  blraa	x8, x17
