; Candidate 7787
; ADRP+ADD at VM 0xfffffff00887f5c0 (fileoff 0x187b5c0): page=0x1fe96a000 add_imm=0xe80

0xfffffff00887f540: 01018052  mov	w1, #8
0xfffffff00887f544: a3f0ff97  bl	#0xfffffff00887b7d0
0xfffffff00887f548: c0040034  cbz	w0, #0xfffffff00887f5e0
0xfffffff00887f54c: 600d8052  mov	w0, #0x6b
0xfffffff00887f550: b2f0ff97  bl	#0xfffffff00887b818
0xfffffff00887f554: f60300aa  mov	x22, x0
0xfffffff00887f558: 15d30094  bl	#0xfffffff0088b41ac
0xfffffff00887f55c: f50300aa  mov	x21, x0
0xfffffff00887f560: 00018052  mov	w0, #8
0xfffffff00887f564: bbf0ff97  bl	#0xfffffff00887b850
0xfffffff00887f568: 76010034  cbz	w22, #0xfffffff00887f594
0xfffffff00887f56c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00887f570: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f574: 08011f91  add	x8, x8, #0x7c0
0xfffffff00887f578: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887f57c: 680d8052  mov	w8, #0x6b
0xfffffff00887f580: f52300a9  stp	x21, x8, [sp]
0xfffffff00887f584: a04cffd0  adrp	x0, #0xfffffff007215000
0xfffffff00887f588: 00a81591  add	x0, x0, #0x56a
0xfffffff00887f58c: b5dfd497  bl	#0xfffffff007db7460
0xfffffff00887f590: 14000014  b	#0xfffffff00887f5e0
0xfffffff00887f594: 06d30094  bl	#0xfffffff0088b41ac
0xfffffff00887f598: f50300aa  mov	x21, x0
0xfffffff00887f59c: 00018052  mov	w0, #8
0xfffffff00887f5a0: acf0ff97  bl	#0xfffffff00887b850
0xfffffff00887f5a4: e80314aa  mov	x8, x20
0xfffffff00887f5a8: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff00887f5ac: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f5b0: 08011f91  add	x8, x8, #0x7c0
0xfffffff00887f5b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887f5b8: 680d8052  mov	w8, #0x6b
0xfffffff00887f5bc: f52300a9  stp	x21, x8, [sp]
0xfffffff00887f5c0: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887f5c4: 00003a91  add	x0, x0, #0xe80
0xfffffff00887f5c8: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887f5cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887f5d0: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887f5d4: 637c1a91  add	x3, x3, #0x69f
0xfffffff00887f5d8: 02008052  mov	w2, #0
0xfffffff00887f5dc: d5ceea97  bl	#0xfffffff008333130
0xfffffff00887f5e0: e00314aa  mov	x0, x20
0xfffffff00887f5e4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00887f5e8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00887f5ec: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00887f5f0: ffc30191  add	sp, sp, #0x70
0xfffffff00887f5f4: ff0f5fd6  retab	
0xfffffff00887f5f8: 7f2303d5  pacibsp	
0xfffffff00887f5fc: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00887f600: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00887f604: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00887f608: fd830091  add	x29, sp, #0x20
0xfffffff00887f60c: f30301aa  mov	x19, x1
0xfffffff00887f610: f40300aa  mov	x20, x0
0xfffffff00887f614: 5dc2fe97  bl	#0xfffffff00882ff88
0xfffffff00887f618: f50300aa  mov	x21, x0
0xfffffff00887f61c: e00314aa  mov	x0, x20
0xfffffff00887f620: 6fc2fe97  bl	#0xfffffff00882ffdc
0xfffffff00887f624: bf0200eb  cmp	x21, x0
0xfffffff00887f628: e0000054  b.eq	#0xfffffff00887f644
0xfffffff00887f62c: a81640f9  ldr	x8, [x21, #0x28]
0xfffffff00887f630: 1f0113eb  cmp	x8, x19
0xfffffff00887f634: a0000054  b.eq	#0xfffffff00887f648
0xfffffff00887f638: e00315aa  mov	x0, x21
0xfffffff00887f63c: 26c0fe97  bl	#0xfffffff00882f6d4
