; Candidate 12378
; ADRP+ADD at VM 0xfffffff0090976a8 (fileoff 0x20936a8): page=0x1fe3c2000 add_imm=0xe24

0xfffffff009097628: 534c0094  bl	#0xfffffff0090aa774
0xfffffff00909762c: c8024039  ldrb	w8, [x22]
0xfffffff009097630: 1fa10071  cmp	w8, #0x28
0xfffffff009097634: 08020054  b.hi	#0xfffffff009097674
0xfffffff009097638: 081efff0  adrp	x8, #0xfffffff00745a000
0xfffffff00909763c: 08891691  add	x8, x8, #0x5a2
0xfffffff009097640: 091efff0  adrp	x9, #0xfffffff00745a000
0xfffffff009097644: 299d2191  add	x9, x9, #0x867
0xfffffff009097648: ff020071  cmp	w23, #0
0xfffffff00909764c: 2811889a  csel	x8, x9, x8, ne
0xfffffff009097650: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097654: 29d50791  add	x9, x9, #0x1f5
0xfffffff009097658: 2a1effd0  adrp	x10, #0xfffffff00745d000
0xfffffff00909765c: 4a413c91  add	x10, x10, #0xf10
0xfffffff009097660: ea2700a9  stp	x10, x9, [sp]
0xfffffff009097664: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff009097668: 401effb0  adrp	x0, #0xfffffff007460000
0xfffffff00909766c: 00980891  add	x0, x0, #0x226
0xfffffff009097670: 6cfeca97  bl	#0xfffffff008357020
0xfffffff009097674: 14008052  mov	w20, #0
0xfffffff009097678: 77020039  strb	w23, [x19]
0xfffffff00909767c: 48018052  mov	w8, #0xa
0xfffffff009097680: c9024039  ldrb	w9, [x22]
0xfffffff009097684: 1f01096b  cmp	w8, w9
0xfffffff009097688: 63010054  b.lo	#0xfffffff0090976b4
0xfffffff00909768c: 887e4093  sxtw	x8, w20
0xfffffff009097690: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097694: 29d50791  add	x9, x9, #0x1f5
0xfffffff009097698: 2a1effd0  adrp	x10, #0xfffffff00745d000
0xfffffff00909769c: 4a413c91  add	x10, x10, #0xf10
0xfffffff0090976a0: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090976a4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090976a8: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff0090976ac: 00903891  add	x0, x0, #0xe24
0xfffffff0090976b0: 5cfeca97  bl	#0xfffffff008357020
0xfffffff0090976b4: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0090976b8: 8955ffd0  adrp	x9, #0xfffffff007b49000
0xfffffff0090976bc: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090976c0: 290140f9  ldr	x9, [x9]
0xfffffff0090976c4: 3f0108eb  cmp	x9, x8
0xfffffff0090976c8: 21030054  b.ne	#0xfffffff00909772c
0xfffffff0090976cc: e00314aa  mov	x0, x20
0xfffffff0090976d0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0090976d4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0090976d8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0090976dc: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0090976e0: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0090976e4: ffc30291  add	sp, sp, #0xb0
0xfffffff0090976e8: ff0f5fd6  retab	
0xfffffff0090976ec: 88078052  mov	w8, #0x3c
0xfffffff0090976f0: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff0090976f4: 298d0391  add	x9, x9, #0xe3
0xfffffff0090976f8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090976fc: 081effd0  adrp	x8, #0xfffffff007459000
0xfffffff009097700: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009097704: 4a1effb0  adrp	x10, #0xfffffff007460000
0xfffffff009097708: 4a550891  add	x10, x10, #0x215
0xfffffff00909770c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009097710: ea0300f9  str	x10, [sp]
0xfffffff009097714: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097718: 00d42c91  add	x0, x0, #0xb35
0xfffffff00909771c: 41feca97  bl	#0xfffffff008357020
0xfffffff009097720: 54008012  mov	w20, #-3
0xfffffff009097724: c8088052  mov	w8, #0x46
