; Candidate 4967
; ADRP+ADD at VM 0xfffffff0087cf7d8 (fileoff 0x17cb7d8): page=0x1fea1a000 add_imm=0xe80

0xfffffff0087cf758: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cf75c: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cf760: 08712591  add	x8, x8, #0x95c
0xfffffff0087cf764: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cf768: 080a8052  mov	w8, #0x50
0xfffffff0087cf76c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cf770: c050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cf774: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cf778: c191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cf77c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cf780: 4353fff0  adrp	x3, #0xfffffff00723a000
0xfffffff0087cf784: 63141991  add	x3, x3, #0x645
0xfffffff0087cf788: 02008052  mov	w2, #0
0xfffffff0087cf78c: 698eed97  bl	#0xfffffff008333130
0xfffffff0087cf790: 1a000014  b	#0xfffffff0087cf7f8
0xfffffff0087cf794: 86920394  bl	#0xfffffff0088b41ac
0xfffffff0087cf798: f50300aa  mov	x21, x0
0xfffffff0087cf79c: 80008052  mov	w0, #4
0xfffffff0087cf7a0: 2cb00294  bl	#0xfffffff00887b850
0xfffffff0087cf7a4: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087cf7a8: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cf7ac: 0aa12b91  add	x10, x8, #0xae8
0xfffffff0087cf7b0: a80a8052  mov	w8, #0x55
0xfffffff0087cf7b4: 0952ffb0  adrp	x9, #0xfffffff007210000
0xfffffff0087cf7b8: 29a52791  add	x9, x9, #0x9e9
0xfffffff0087cf7bc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087cf7c0: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cf7c4: 08712591  add	x8, x8, #0x95c
0xfffffff0087cf7c8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cf7cc: 080a8052  mov	w8, #0x50
0xfffffff0087cf7d0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cf7d4: f50300f9  str	x21, [sp]
0xfffffff0087cf7d8: c050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cf7dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cf7e0: c191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cf7e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cf7e8: 4353fff0  adrp	x3, #0xfffffff00723a000
0xfffffff0087cf7ec: 63901a91  add	x3, x3, #0x6a4
0xfffffff0087cf7f0: 02008052  mov	w2, #0
0xfffffff0087cf7f4: 4f8eed97  bl	#0xfffffff008333130
0xfffffff0087cf7f8: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff0087cf7fc: a00000b4  cbz	x0, #0xfffffff0087cf810
0xfffffff0087cf800: ab1fee97  bl	#0xfffffff0083576ac
0xfffffff0087cf804: 15008052  mov	w21, #0
0xfffffff0087cf808: 7f4600f9  str	xzr, [x19, #0x88]
0xfffffff0087cf80c: 76ffff17  b	#0xfffffff0087cf5e4
0xfffffff0087cf810: 15008052  mov	w21, #0
0xfffffff0087cf814: 74ffff17  b	#0xfffffff0087cf5e4
0xfffffff0087cf818: 7f2303d5  pacibsp	
0xfffffff0087cf81c: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087cf820: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087cf824: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087cf828: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087cf82c: fd430191  add	x29, sp, #0x50
0xfffffff0087cf830: f30300aa  mov	x19, x0
0xfffffff0087cf834: 000a8052  mov	w0, #0x50
0xfffffff0087cf838: e1008052  mov	w1, #7
0xfffffff0087cf83c: e5af0294  bl	#0xfffffff00887b7d0
0xfffffff0087cf840: 20050034  cbz	w0, #0xfffffff0087cf8e4
0xfffffff0087cf844: 000a8052  mov	w0, #0x50
0xfffffff0087cf848: f4af0294  bl	#0xfffffff00887b818
0xfffffff0087cf84c: f50300aa  mov	x21, x0
0xfffffff0087cf850: 57920394  bl	#0xfffffff0088b41ac
0xfffffff0087cf854: f40300aa  mov	x20, x0
