; Candidate 10116
; ADRP+ADD at VM 0xfffffff008ca8bfc (fileoff 0x1ca4bfc): page=0x1fe6aa000 add_imm=0xe2e

0xfffffff008ca8b7c: 1fe72a94  bl	#0xfffffff0097627f8
0xfffffff008ca8b80: 16008052  mov	w22, #0
0xfffffff008ca8b84: 00010037  tbnz	w0, #0, #0xfffffff008ca8ba4
0xfffffff008ca8b88: 4035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008ca8b8c: 00243691  add	x0, x0, #0xd89
0xfffffff008ca8b90: 96578052  mov	w22, #0x2bc
0xfffffff008ca8b94: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008ca8b98: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008ca8b9c: e80300f9  str	x8, [sp]
0xfffffff008ca8ba0: 20b9da97  bl	#0xfffffff008357020
0xfffffff008ca8ba4: 75030034  cbz	w21, #0xfffffff008ca8c10
0xfffffff008ca8ba8: 88e247f9  ldr	x8, [x20, #0xfc0]
0xfffffff008ca8bac: 480200b4  cbz	x8, #0xfffffff008ca8bf4
0xfffffff008ca8bb0: 700240f9  ldr	x16, [x19]
0xfffffff008ca8bb4: f10313aa  mov	x17, x19
0xfffffff008ca8bb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca8bbc: 301ac1da  autda	x16, x17
0xfffffff008ca8bc0: 11b480d2  mov	x17, #0x5a0
0xfffffff008ca8bc4: 1002118b  add	x16, x16, x17
0xfffffff008ca8bc8: 080240f9  ldr	x8, [x16]
0xfffffff008ca8bcc: e90310aa  mov	x9, x16
0xfffffff008ca8bd0: e00313aa  mov	x0, x19
0xfffffff008ca8bd4: 41008052  mov	w1, #2
0xfffffff008ca8bd8: f10309aa  mov	x17, x9
0xfffffff008ca8bdc: 5110ecf2  movk	x17, #0x6082, lsl #48
0xfffffff008ca8be0: 11093fd7  blraa	x8, x17
0xfffffff008ca8be4: 80e247f9  ldr	x0, [x20, #0xfc0]
0xfffffff008ca8be8: e10313aa  mov	x1, x19
0xfffffff008ca8bec: 7f742894  bl	#0xfffffff0096c5de8
0xfffffff008ca8bf0: 08000014  b	#0xfffffff008ca8c10
0xfffffff008ca8bf4: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008ca8bf8: e80300f9  str	x8, [sp]
0xfffffff008ca8bfc: 4035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008ca8c00: 00b83891  add	x0, x0, #0xe2e
0xfffffff008ca8c04: 07b9da97  bl	#0xfffffff008357020
0xfffffff008ca8c08: 96578052  mov	w22, #0x2bc
0xfffffff008ca8c0c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008ca8c10: e00316aa  mov	x0, x22
0xfffffff008ca8c14: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ca8c18: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008ca8c1c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008ca8c20: ff030191  add	sp, sp, #0x40
0xfffffff008ca8c24: ff0f5fd6  retab	
0xfffffff008ca8c28: 7f2303d5  pacibsp	
0xfffffff008ca8c2c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008ca8c30: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ca8c34: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ca8c38: fd830091  add	x29, sp, #0x20
0xfffffff008ca8c3c: f30300aa  mov	x19, x0
0xfffffff008ca8c40: 08e047f9  ldr	x8, [x0, #0xfc0]
0xfffffff008ca8c44: 480100b4  cbz	x8, #0xfffffff008ca8c6c
0xfffffff008ca8c48: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca8c4c: c8002036  tbz	w8, #4, #0xfffffff008ca8c64
0xfffffff008ca8c50: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008ca8c54: e80300f9  str	x8, [sp]
0xfffffff008ca8c58: 6035ffd0  adrp	x0, #0xfffffff007356000
0xfffffff008ca8c5c: 00d40491  add	x0, x0, #0x135
0xfffffff008ca8c60: f0b8da97  bl	#0xfffffff008357020
0xfffffff008ca8c64: 00008052  mov	w0, #0
0xfffffff008ca8c68: 07000014  b	#0xfffffff008ca8c84
0xfffffff008ca8c6c: e4932994  bl	#0xfffffff00970dbfc
0xfffffff008ca8c70: 60e207f9  str	x0, [x19, #0xfc0]
0xfffffff008ca8c74: 1f0000f1  cmp	x0, #0
0xfffffff008ca8c78: 88578052  mov	w8, #0x2bc
