; Candidate 442
; ADRP+ADD at VM 0xfffffff007f0c888 (fileoff 0xf08888): page=0x2330000 add_imm=0xdd8

0xfffffff007f0c808: 41010054  b.ne	#0xfffffff007f0c830
0xfffffff007f0c80c: e00319aa  mov	x0, x25
0xfffffff007f0c810: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff007f0c814: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff007f0c818: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff007f0c81c: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff007f0c820: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff007f0c824: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff007f0c828: ff430491  add	sp, sp, #0x110
0xfffffff007f0c82c: ff0f5fd6  retab	
0xfffffff007f0c830: e00315aa  mov	x0, x21
0xfffffff007f0c834: e10314aa  mov	x1, x20
0xfffffff007f0c838: cb7ffa97  bl	#0xfffffff007dac764
0xfffffff007f0c83c: 19008052  mov	w25, #0
0xfffffff007f0c840: f3ffff17  b	#0xfffffff007f0c80c
0xfffffff007f0c844: e00315aa  mov	x0, x21
0xfffffff007f0c848: e10318aa  mov	x1, x24
0xfffffff007f0c84c: 02008052  mov	w2, #0
0xfffffff007f0c850: aa7cfa97  bl	#0xfffffff007dabaf8
0xfffffff007f0c854: c1fcff17  b	#0xfffffff007f0bb58
0xfffffff007f0c858: e00315aa  mov	x0, x21
0xfffffff007f0c85c: e10318aa  mov	x1, x24
0xfffffff007f0c860: c17ffa97  bl	#0xfffffff007dac764
0xfffffff007f0c864: cbfcff17  b	#0xfffffff007f0bb90
0xfffffff007f0c868: 68c98252  mov	w8, #0x164b
0xfffffff007f0c86c: 898affb0  adrp	x9, #0xfffffff00705d000
0xfffffff007f0c870: 29410791  add	x9, x9, #0x1d0
0xfffffff007f0c874: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f0c878: e00300f9  str	x0, [sp]
0xfffffff007f0c87c: 808affd0  adrp	x0, #0xfffffff00705e000
0xfffffff007f0c880: 00e00191  add	x0, x0, #0x78
0xfffffff007f0c884: 221f1694  bl	#0xfffffff00849450c
0xfffffff007f0c888: 80190190  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0c88c: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0c890: e10319aa  mov	x1, x25
0xfffffff007f0c894: b47ffa97  bl	#0xfffffff007dac764
0xfffffff007f0c898: 8dfeff17  b	#0xfffffff007f0c2cc
0xfffffff007f0c89c: e00316aa  mov	x0, x22
0xfffffff007f0c8a0: e10319aa  mov	x1, x25
0xfffffff007f0c8a4: b07ffa97  bl	#0xfffffff007dac764
0xfffffff007f0c8a8: 94feff17  b	#0xfffffff007f0c2f8
0xfffffff007f0c8ac: 80190190  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0c8b0: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0c8b4: e10319aa  mov	x1, x25
0xfffffff007f0c8b8: ab7ffa97  bl	#0xfffffff007dac764
0xfffffff007f0c8bc: 98feff17  b	#0xfffffff007f0c31c
0xfffffff007f0c8c0: 801501b0  adrp	x0, #0xfffffff00a1bd000
0xfffffff007f0c8c4: 00a01d91  add	x0, x0, #0x768
0xfffffff007f0c8c8: 514e1694  bl	#0xfffffff0084a020c
0xfffffff007f0c8cc: 02000014  b	#0xfffffff007f0c8d4
0xfffffff007f0c8d0: 01000014  b	#0xfffffff007f0c8d4
0xfffffff007f0c8d4: a8e64079  ldrh	w8, [x21, #0x72]
0xfffffff007f0c8d8: a9e24079  ldrh	w9, [x21, #0x70]
0xfffffff007f0c8dc: aa5640b9  ldr	w10, [x21, #0x54]
0xfffffff007f0c8e0: cbeb8252  mov	w11, #0x175e
0xfffffff007f0c8e4: 8c8affb0  adrp	x12, #0xfffffff00705d000
0xfffffff007f0c8e8: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f0c8ec: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f0c8f0: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f0c8f4: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f0c8f8: 8a8affb0  adrp	x10, #0xfffffff00705d000
0xfffffff007f0c8fc: 4a511991  add	x10, x10, #0x654
0xfffffff007f0c900: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f0c904: 808affb0  adrp	x0, #0xfffffff00705d000
