; Candidate 11326
; ADRP+ADD at VM 0xfffffff008ef1ccc (fileoff 0x1eedccc): page=0x1fe519000 add_imm=0xe8d

0xfffffff008ef1c4c: f80300b9  str	w24, [sp]
0xfffffff008ef1c50: c828ffb0  adrp	x8, #0xfffffff00740a000
0xfffffff008ef1c54: 080d1f91  add	x8, x8, #0x7c3
0xfffffff008ef1c58: 49048052  mov	w9, #0x22
0xfffffff008ef1c5c: 74ffff17  b	#0xfffffff008ef1a2c
0xfffffff008ef1c60: e8030091  mov	x8, sp
0xfffffff008ef1c64: e1830191  add	x1, sp, #0x60
0xfffffff008ef1c68: e00315aa  mov	x0, x21
0xfffffff008ef1c6c: e20314aa  mov	x2, x20
0xfffffff008ef1c70: a1000094  bl	#0xfffffff008ef1ef4
0xfffffff008ef1c74: 6fffff17  b	#0xfffffff008ef1a30
0xfffffff008ef1c78: e8030091  mov	x8, sp
0xfffffff008ef1c7c: e1830191  add	x1, sp, #0x60
0xfffffff008ef1c80: e00315aa  mov	x0, x21
0xfffffff008ef1c84: e20314aa  mov	x2, x20
0xfffffff008ef1c88: 2d010094  bl	#0xfffffff008ef213c
0xfffffff008ef1c8c: 69ffff17  b	#0xfffffff008ef1a30
0xfffffff008ef1c90: e8030091  mov	x8, sp
0xfffffff008ef1c94: e1830191  add	x1, sp, #0x60
0xfffffff008ef1c98: e00315aa  mov	x0, x21
0xfffffff008ef1c9c: e20314aa  mov	x2, x20
0xfffffff008ef1ca0: b9010094  bl	#0xfffffff008ef2384
0xfffffff008ef1ca4: 63ffff17  b	#0xfffffff008ef1a30
0xfffffff008ef1ca8: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef1cac: 00c03d91  add	x0, x0, #0xf70
0xfffffff008ef1cb0: 99feff97  bl	#0xfffffff008ef1714
0xfffffff008ef1cb4: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef1cb8: 00742d91  add	x0, x0, #0xb5d
0xfffffff008ef1cbc: 96feff97  bl	#0xfffffff008ef1714
0xfffffff008ef1cc0: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef1cc4: 00b03b91  add	x0, x0, #0xeec
0xfffffff008ef1cc8: 93feff97  bl	#0xfffffff008ef1714
0xfffffff008ef1ccc: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef1cd0: 00343a91  add	x0, x0, #0xe8d
0xfffffff008ef1cd4: 90feff97  bl	#0xfffffff008ef1714
0xfffffff008ef1cd8: 8028fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ef1cdc: 00000891  add	x0, x0, #0x200
0xfffffff008ef1ce0: 8dfeff97  bl	#0xfffffff008ef1714
0xfffffff008ef1ce4: 7f2303d5  pacibsp	
0xfffffff008ef1ce8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008ef1cec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ef1cf0: fd430091  add	x29, sp, #0x10
0xfffffff008ef1cf4: f30300aa  mov	x19, x0
0xfffffff008ef1cf8: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff008ef1cfc: 01018052  mov	w1, #8
0xfffffff008ef1d00: ba3ad197  bl	#0xfffffff0083407e8
0xfffffff008ef1d04: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008ef1d08: 01018052  mov	w1, #8
0xfffffff008ef1d0c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ef1d10: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008ef1d14: ff2303d5  autibsp	
0xfffffff008ef1d18: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef1d1c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef1d24
0xfffffff008ef1d20: 208e38d4  brk	#0xc471
0xfffffff008ef1d24: b13ad117  b	#0xfffffff0083407e8
0xfffffff008ef1d28: 7f2303d5  pacibsp	
0xfffffff008ef1d2c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008ef1d30: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ef1d34: fd430091  add	x29, sp, #0x10
0xfffffff008ef1d38: f30301aa  mov	x19, x1
0xfffffff008ef1d3c: f40300aa  mov	x20, x0
0xfffffff008ef1d40: 00800091  add	x0, x0, #0x20
0xfffffff008ef1d44: 211040f9  ldr	x1, [x1, #0x20]
0xfffffff008ef1d48: 02018052  mov	w2, #8
