; Candidate 5774
; ADRP+ADD at VM 0xfffffff0088038d0 (fileoff 0x17ff8d0): page=0x1fe9e6000 add_imm=0xe80

0xfffffff008803850: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff008803854: f32702a9  stp	x19, x9, [sp, #0x20]
0xfffffff008803858: e8c30191  add	x8, sp, #0x70
0xfffffff00880385c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008803860: e80314aa  mov	x8, x20
0xfffffff008803864: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff008803868: 63243791  add	x3, x3, #0xdc9
0xfffffff00880386c: f72300a9  stp	x23, x8, [sp]
0xfffffff008803870: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008803874: 00003a91  add	x0, x0, #0xe80
0xfffffff008803878: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880387c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008803880: 02008052  mov	w2, #0
0xfffffff008803884: 2bbeec97  bl	#0xfffffff008333130
0xfffffff008803888: 18000014  b	#0xfffffff0088038e8
0xfffffff00880388c: 480740f9  ldr	x8, [x26, #8]
0xfffffff008803890: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008803894: 4b2b4029  ldp	w11, w10, [x26]
0xfffffff008803898: 4c1340b9  ldr	w12, [x26, #0x10]
0xfffffff00880389c: 4d6b46b9  ldr	w13, [x26, #0x668]
0xfffffff0088038a0: 4e6f46b9  ldr	w14, [x26, #0x66c]
0xfffffff0088038a4: 4f7346b9  ldr	w15, [x26, #0x670]
0xfffffff0088038a8: 507746b9  ldr	w16, [x26, #0x674]
0xfffffff0088038ac: efc304a9  stp	x15, x16, [sp, #0x48]
0xfffffff0088038b0: edbb03a9  stp	x13, x14, [sp, #0x38]
0xfffffff0088038b4: e8b302a9  stp	x8, x12, [sp, #0x28]
0xfffffff0088038b8: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0088038bc: f3a700a9  stp	x19, x9, [sp, #8]
0xfffffff0088038c0: e8c30191  add	x8, sp, #0x70
0xfffffff0088038c4: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff0088038c8: 634c3591  add	x3, x3, #0xd53
0xfffffff0088038cc: e80300f9  str	x8, [sp]
0xfffffff0088038d0: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088038d4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088038d8: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088038dc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088038e0: 02008052  mov	w2, #0
0xfffffff0088038e4: 13beec97  bl	#0xfffffff008333130
0xfffffff0088038e8: e00314aa  mov	x0, x20
0xfffffff0088038ec: e10315aa  mov	x1, x21
0xfffffff0088038f0: b8df0194  bl	#0xfffffff00887b7d0
0xfffffff0088038f4: 60080034  cbz	w0, #0xfffffff008803a00
0xfffffff0088038f8: e00314aa  mov	x0, x20
0xfffffff0088038fc: c7df0194  bl	#0xfffffff00887b818
0xfffffff008803900: 7602f837  tbnz	w22, #0x1f, #0xfffffff00880394c
0xfffffff008803904: d7021b12  and	w23, w22, #0x20
0xfffffff008803908: 18000052  eor	w24, w0, #1
0xfffffff00880390c: 28c20294  bl	#0xfffffff0088b41ac
0xfffffff008803910: f60300aa  mov	x22, x0
0xfffffff008803914: e00315aa  mov	x0, x21
0xfffffff008803918: cedf0194  bl	#0xfffffff00887b850
0xfffffff00880391c: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff008803920: e8020037  tbnz	w8, #0, #0xfffffff00880397c
0xfffffff008803924: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008803928: 292740b9  ldr	w9, [x25, #0x24]
0xfffffff00880392c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008803930: e8c30191  add	x8, sp, #0x70
0xfffffff008803934: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008803938: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880393c: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff008803940: 00883f91  add	x0, x0, #0xfe2
0xfffffff008803944: f65300a9  stp	x22, x20, [sp]
0xfffffff008803948: 0b000014  b	#0xfffffff008803974
0xfffffff00880394c: 00040034  cbz	w0, #0xfffffff0088039cc
