; Candidate 13797
; ADRP+ADD at VM 0xfffffff00958d5bc (fileoff 0x25895bc): page=0xdfb000 add_imm=0xd48

0xfffffff00958d53c: ff4307d1  sub	sp, sp, #0x1d0
0xfffffff00958d540: fc6f17a9  stp	x28, x27, [sp, #0x170]
0xfffffff00958d544: fa6718a9  stp	x26, x25, [sp, #0x180]
0xfffffff00958d548: f85f19a9  stp	x24, x23, [sp, #0x190]
0xfffffff00958d54c: f6571aa9  stp	x22, x21, [sp, #0x1a0]
0xfffffff00958d550: f44f1ba9  stp	x20, x19, [sp, #0x1b0]
0xfffffff00958d554: fd7b1ca9  stp	x29, x30, [sp, #0x1c0]
0xfffffff00958d558: fd030791  add	x29, sp, #0x1c0
0xfffffff00958d55c: f50302aa  mov	x21, x2
0xfffffff00958d560: f40301aa  mov	x20, x1
0xfffffff00958d564: f30300aa  mov	x19, x0
0xfffffff00958d568: e832ff90  adrp	x8, #0xfffffff007be9000
0xfffffff00958d56c: 080546f9  ldr	x8, [x8, #0xc08]
0xfffffff00958d570: 080140f9  ldr	x8, [x8]
0xfffffff00958d574: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff00958d578: f9030291  add	x25, sp, #0x80
0xfffffff00958d57c: 3f4f00f9  str	xzr, [x25, #0x98]
0xfffffff00958d580: 3f3b00f9  str	xzr, [x25, #0x70]
0xfffffff00958d584: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00958d588: 208302ad  stp	q0, q0, [x25, #0x50]
0xfffffff00958d58c: 208301ad  stp	q0, q0, [x25, #0x30]
0xfffffff00958d590: 200b803d  str	q0, [x25, #0x20]
0xfffffff00958d594: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00958d598: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff00958d59c: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff00958d5a0: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff00958d5a4: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00958d5a8: 3f0000f9  str	xzr, [x1]
0xfffffff00958d5ac: ca53b597  bl	#0xfffffff0082e24d4
0xfffffff00958d5b0: 3f7f08a9  stp	xzr, xzr, [x25, #0x80]
0xfffffff00958d5b4: 48008052  mov	w8, #2
0xfffffff00958d5b8: a84314b8  stur	w8, [x29, #-0xbc]
0xfffffff00958d5bc: c06f00f0  adrp	x0, #0xfffffff00a388000
0xfffffff00958d5c0: 00203591  add	x0, x0, #0xd48
0xfffffff00958d5c4: 204b00f9  str	x0, [x25, #0x90]
0xfffffff00958d5c8: 0e409f97  bl	#0xfffffff007d5d600
0xfffffff00958d5cc: a0231478  sturh	w0, [x29, #-0xbe]
0xfffffff00958d5d0: e00313aa  mov	x0, x19
0xfffffff00958d5d4: 21008052  mov	w1, #1
0xfffffff00958d5d8: 22008052  mov	w2, #1
0xfffffff00958d5dc: f9670094  bl	#0xfffffff0095a75c0
0xfffffff00958d5e0: f60300aa  mov	x22, x0
0xfffffff00958d5e4: a10303d1  sub	x1, x29, #0xc0
0xfffffff00958d5e8: a40303d1  sub	x4, x29, #0xc0
0xfffffff00958d5ec: e5030291  add	x5, sp, #0x80
0xfffffff00958d5f0: e6830091  add	x6, sp, #0x20
0xfffffff00958d5f4: e00313aa  mov	x0, x19
0xfffffff00958d5f8: 02008052  mov	w2, #0
0xfffffff00958d5fc: 03008052  mov	w3, #0
0xfffffff00958d600: 070080d2  mov	x7, #0
0xfffffff00958d604: 52f2ff97  bl	#0xfffffff009589f4c
0xfffffff00958d608: f70300aa  mov	x23, x0
0xfffffff00958d60c: e00313aa  mov	x0, x19
0xfffffff00958d610: e10316aa  mov	x1, x22
0xfffffff00958d614: 6f680094  bl	#0xfffffff0095a77d0
0xfffffff00958d618: 97020034  cbz	w23, #0xfffffff00958d668
0xfffffff00958d61c: f70300f9  str	x23, [sp]
0xfffffff00958d620: 80fefef0  adrp	x0, #0xfffffff007560000
0xfffffff00958d624: 002c2091  add	x0, x0, #0x80b
0xfffffff00958d628: 8ea7a097  bl	#0xfffffff007db7460
0xfffffff00958d62c: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff00958d630: e932ff90  adrp	x9, #0xfffffff007be9000
0xfffffff00958d634: 290546f9  ldr	x9, [x9, #0xc08]
0xfffffff00958d638: 290140f9  ldr	x9, [x9]
