; Candidate 2070
; ADRP+ADD at VM 0xfffffff0085529a0 (fileoff 0x154e9a0): page=0x1feb8f000 add_imm=0xe02

0xfffffff008552920: 01678052  mov	w1, #0x338
0xfffffff008552924: 4553f697  bl	#0xfffffff0082e7638
0xfffffff008552928: f30300aa  mov	x19, x0
0xfffffff00855292c: 34ec0090  adrp	x20, #0xfffffff00a2d6000
0xfffffff008552930: 94621791  add	x20, x20, #0x5d8
0xfffffff008552934: e10314aa  mov	x1, x20
0xfffffff008552938: aec24c94  bl	#0xfffffff0098833f0
0xfffffff00855293c: 70a2ffb0  adrp	x16, #0xfffffff00799f000
0xfffffff008552940: 10e22791  add	x16, x16, #0x9f8
0xfffffff008552944: 10420091  add	x16, x16, #0x10
0xfffffff008552948: f10300aa  mov	x17, x0
0xfffffff00855294c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008552950: 300ac1da  pacda	x16, x17
0xfffffff008552954: 100000f9  str	x16, [x0]
0xfffffff008552958: e00314aa  mov	x0, x20
0xfffffff00855295c: f649f697  bl	#0xfffffff0082e5134
0xfffffff008552960: e00313aa  mov	x0, x19
0xfffffff008552964: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008552968: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00855296c: ff0f5fd6  retab	
0xfffffff008552970: 5f2403d5  bti	c
0xfffffff008552974: 6047f617  b	#0xfffffff0082e46f4
0xfffffff008552978: 5f2403d5  bti	c
0xfffffff00855297c: 5e47f617  b	#0xfffffff0082e46f4
0xfffffff008552980: 7f2303d5  pacibsp	
0xfffffff008552984: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008552988: fd030091  mov	x29, sp
0xfffffff00855298c: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008552990: 00603791  add	x0, x0, #0xdd8
0xfffffff008552994: 295af797  bl	#0xfffffff008329238
0xfffffff008552998: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855299c: 00d502f9  str	x0, [x8, #0x5a8]
0xfffffff0085529a0: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085529a4: 00083891  add	x0, x0, #0xe02
0xfffffff0085529a8: 245af797  bl	#0xfffffff008329238
0xfffffff0085529ac: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085529b0: 00d902f9  str	x0, [x8, #0x5b0]
0xfffffff0085529b4: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085529b8: 00883891  add	x0, x0, #0xe22
0xfffffff0085529bc: 1f5af797  bl	#0xfffffff008329238
0xfffffff0085529c0: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085529c4: 00dd02f9  str	x0, [x8, #0x5b8]
0xfffffff0085529c8: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085529cc: 00e43891  add	x0, x0, #0xe39
0xfffffff0085529d0: 1a5af797  bl	#0xfffffff008329238
0xfffffff0085529d4: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085529d8: 00e102f9  str	x0, [x8, #0x5c0]
0xfffffff0085529dc: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085529e0: 004c3991  add	x0, x0, #0xe53
0xfffffff0085529e4: 155af797  bl	#0xfffffff008329238
0xfffffff0085529e8: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085529ec: 00e502f9  str	x0, [x8, #0x5c8]
0xfffffff0085529f0: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085529f4: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085529f8: 105af797  bl	#0xfffffff008329238
0xfffffff0085529fc: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552a00: 00e902f9  str	x0, [x8, #0x5d0]
0xfffffff008552a04: 20ec0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff008552a08: 00601791  add	x0, x0, #0x5d8
0xfffffff008552a0c: 615cffd0  adrp	x1, #0xfffffff0070e0000
0xfffffff008552a10: 217c2891  add	x1, x1, #0xa1f
0xfffffff008552a14: 22ec0090  adrp	x2, #0xfffffff00a2d6000
0xfffffff008552a18: 42001891  add	x2, x2, #0x600
0xfffffff008552a1c: 03678052  mov	w3, #0x338
