; Candidate 5842
; ADRP+ADD at VM 0xfffffff0088083b0 (fileoff 0x18043b0): page=0x1fe9e1000 add_imm=0xe80

0xfffffff008808330: 80f9ff34  cbz	w0, #0xfffffff008808260
0xfffffff008808334: 800e8052  mov	w0, #0x74
0xfffffff008808338: 38cd0194  bl	#0xfffffff00887b818
0xfffffff00880833c: f40300aa  mov	x20, x0
0xfffffff008808340: 9baf0294  bl	#0xfffffff0088b41ac
0xfffffff008808344: f30300aa  mov	x19, x0
0xfffffff008808348: 80008052  mov	w0, #4
0xfffffff00880834c: 41cd0194  bl	#0xfffffff00887b850
0xfffffff008808350: 14070034  cbz	w20, #0xfffffff008808430
0xfffffff008808354: c87ab578  ldrsh	x8, [x22, x21, lsl #1]
0xfffffff008808358: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff00880835c: 28008052  mov	w8, #1
0xfffffff008808360: e86303a9  stp	x8, x24, [sp, #0x30]
0xfffffff008808364: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808368: 082d1e91  add	x8, x8, #0x78b
0xfffffff00880836c: 895b8052  mov	w9, #0x2dc
0xfffffff008808370: 6bffff17  b	#0xfffffff00880811c
0xfffffff008808374: 8eaf0294  bl	#0xfffffff0088b41ac
0xfffffff008808378: f30300aa  mov	x19, x0
0xfffffff00880837c: 80008052  mov	w0, #4
0xfffffff008808380: 34cd0194  bl	#0xfffffff00887b850
0xfffffff008808384: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff008808388: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff00880838c: 08d11a91  add	x8, x8, #0x6b4
0xfffffff008808390: 095a8052  mov	w9, #0x2d0
0xfffffff008808394: e8e702a9  stp	x8, x25, [sp, #0x28]
0xfffffff008808398: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff00880839c: 08711a91  add	x8, x8, #0x69c
0xfffffff0088083a0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088083a4: 880e8052  mov	w8, #0x74
0xfffffff0088083a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088083ac: f30300f9  str	x19, [sp]
0xfffffff0088083b0: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088083b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088083b8: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088083bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088083c0: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff0088083c4: 63b41a91  add	x3, x3, #0x6ad
0xfffffff0088083c8: 02008052  mov	w2, #0
0xfffffff0088083cc: 59abec97  bl	#0xfffffff008333130
0xfffffff0088083d0: a4ffff17  b	#0xfffffff008808260
0xfffffff0088083d4: 76af0294  bl	#0xfffffff0088b41ac
0xfffffff0088083d8: f30300aa  mov	x19, x0
0xfffffff0088083dc: 80008052  mov	w0, #4
0xfffffff0088083e0: 1ccd0194  bl	#0xfffffff00887b850
0xfffffff0088083e4: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff0088083e8: 08351c91  add	x8, x8, #0x70d
0xfffffff0088083ec: 695a8052  mov	w9, #0x2d3
0xfffffff0088083f0: e8df02a9  stp	x8, x23, [sp, #0x28]
0xfffffff0088083f4: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff0088083f8: 08711a91  add	x8, x8, #0x69c
0xfffffff0088083fc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008808400: 880e8052  mov	w8, #0x74
0xfffffff008808404: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008808408: f30300f9  str	x19, [sp]
0xfffffff00880840c: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008808410: 00003a91  add	x0, x0, #0xe80
0xfffffff008808414: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008808418: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880841c: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008808420: 63001c91  add	x3, x3, #0x700
0xfffffff008808424: 02008052  mov	w2, #0
0xfffffff008808428: 42abec97  bl	#0xfffffff008333130
0xfffffff00880842c: 8dffff17  b	#0xfffffff008808260
