; Candidate 7087
; ADRP+ADD at VM 0xfffffff008856730 (fileoff 0x1852730): page=0x1fe993000 add_imm=0xe80

0xfffffff0088566b0: f60300f9  str	x22, [sp]
0xfffffff0088566b4: 804cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088566b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088566bc: 818dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088566c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088566c4: 02008052  mov	w2, #0
0xfffffff0088566c8: 9a72eb97  bl	#0xfffffff008333130
0xfffffff0088566cc: 16008052  mov	w22, #0
0xfffffff0088566d0: dbfeff17  b	#0xfffffff00885623c
0xfffffff0088566d4: b6760194  bl	#0xfffffff0088b41ac
0xfffffff0088566d8: f70300aa  mov	x23, x0
0xfffffff0088566dc: 80008052  mov	w0, #4
0xfffffff0088566e0: 5c940094  bl	#0xfffffff00887b850
0xfffffff0088566e4: e80316aa  mov	x8, x22
0xfffffff0088566e8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088566ec: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff0088566f0: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff0088566f4: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff0088566f8: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff0088566fc: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008856700: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008856704: a8ed8052  mov	w8, #0x76d
0xfffffff008856708: 894eff90  adrp	x9, #0xfffffff007226000
0xfffffff00885670c: 29d92891  add	x9, x9, #0xa36
0xfffffff008856710: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008856714: 884effb0  adrp	x8, #0xfffffff007227000
0xfffffff008856718: 08811191  add	x8, x8, #0x460
0xfffffff00885671c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008856720: 880c8052  mov	w8, #0x64
0xfffffff008856724: e34fffb0  adrp	x3, #0xfffffff007253000
0xfffffff008856728: 63f43491  add	x3, x3, #0xd3d
0xfffffff00885672c: f72300a9  stp	x23, x8, [sp]
0xfffffff008856730: 804cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008856734: 00003a91  add	x0, x0, #0xe80
0xfffffff008856738: 818dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885673c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008856740: 02008052  mov	w2, #0
0xfffffff008856744: 7b72eb97  bl	#0xfffffff008333130
0xfffffff008856748: e00314aa  mov	x0, x20
0xfffffff00885674c: e10315aa  mov	x1, x21
0xfffffff008856750: df021031  cmn	w22, #0x400
0xfffffff008856754: a1000054  b.ne	#0xfffffff008856768
0xfffffff008856758: 02008052  mov	w2, #0
0xfffffff00885675c: 588afe97  bl	#0xfffffff0087f90bc
0xfffffff008856760: f67f8012  mov	w22, #-0x400
0xfffffff008856764: b6feff17  b	#0xfffffff00885623c
0xfffffff008856768: 02008012  mov	w2, #-1
0xfffffff00885676c: 548afe97  bl	#0xfffffff0087f90bc
0xfffffff008856770: b3feff17  b	#0xfffffff00885623c
0xfffffff008856774: 7f2303d5  pacibsp	
0xfffffff008856778: ff4303d1  sub	sp, sp, #0xd0
0xfffffff00885677c: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008856780: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff008856784: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008856788: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff00885678c: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008856790: fd030391  add	x29, sp, #0xc0
0xfffffff008856794: f50302aa  mov	x21, x2
0xfffffff008856798: f40301aa  mov	x20, x1
0xfffffff00885679c: f30300aa  mov	x19, x0
0xfffffff0088567a0: 800c8052  mov	w0, #0x64
0xfffffff0088567a4: e1008052  mov	w1, #7
0xfffffff0088567a8: 0a940094  bl	#0xfffffff00887b7d0
0xfffffff0088567ac: e0020034  cbz	w0, #0xfffffff008856808
