; Candidate 946
; ADRP+ADD at VM 0xfffffff008113a9c (fileoff 0x110fa9c): page=0x20ab000 add_imm=0xe70

0xfffffff008113a1c: 01030054  b.ne	#0xfffffff008113a7c
0xfffffff008113a20: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff008113a24: c6f60094  bl	#0xfffffff00815153c
0xfffffff008113a28: 15008052  mov	w21, #0
0xfffffff008113a2c: e00b40f9  ldr	x0, [sp, #0x10]
0xfffffff008113a30: 600000b4  cbz	x0, #0xfffffff008113a3c
0xfffffff008113a34: 01008052  mov	w1, #0
0xfffffff008113a38: 015ff997  bl	#0xfffffff007f6b63c
0xfffffff008113a3c: e00315aa  mov	x0, x21
0xfffffff008113a40: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff008113a44: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff008113a48: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff008113a4c: ff430591  add	sp, sp, #0x150
0xfffffff008113a50: ff0f5fd6  retab	
0xfffffff008113a54: e10313aa  mov	x1, x19
0xfffffff008113a58: 02008052  mov	w2, #0
0xfffffff008113a5c: 2760f297  bl	#0xfffffff007dabaf8
0xfffffff008113a60: 7dffff17  b	#0xfffffff008113854
0xfffffff008113a64: c00701b0  adrp	x0, #0xfffffff00a20c000
0xfffffff008113a68: 00a02691  add	x0, x0, #0x9a8
0xfffffff008113a6c: e10313aa  mov	x1, x19
0xfffffff008113a70: 02008052  mov	w2, #0
0xfffffff008113a74: 2160f297  bl	#0xfffffff007dabaf8
0xfffffff008113a78: e4ffff17  b	#0xfffffff008113a08
0xfffffff008113a7c: c00701b0  adrp	x0, #0xfffffff00a20c000
0xfffffff008113a80: 00a02691  add	x0, x0, #0x9a8
0xfffffff008113a84: e10313aa  mov	x1, x19
0xfffffff008113a88: 3763f297  bl	#0xfffffff007dac764
0xfffffff008113a8c: e5ffff17  b	#0xfffffff008113a20
0xfffffff008113a90: e10313aa  mov	x1, x19
0xfffffff008113a94: 3463f297  bl	#0xfffffff007dac764
0xfffffff008113a98: d5ffff17  b	#0xfffffff0081139ec
0xfffffff008113a9c: 400501f0  adrp	x0, #0xfffffff00a1be000
0xfffffff008113aa0: 00c03991  add	x0, x0, #0xe70
0xfffffff008113aa4: da310e94  bl	#0xfffffff0084a020c
0xfffffff008113aa8: e10313aa  mov	x1, x19
0xfffffff008113aac: 02008052  mov	w2, #0
0xfffffff008113ab0: 1260f297  bl	#0xfffffff007dabaf8
0xfffffff008113ab4: 88ffff17  b	#0xfffffff0081138d4
0xfffffff008113ab8: 607bff90  adrp	x0, #0xfffffff00707f000
0xfffffff008113abc: 00cc0791  add	x0, x0, #0x1f3
0xfffffff008113ac0: 217bfff0  adrp	x1, #0xfffffff00707a000
0xfffffff008113ac4: 213c3a91  add	x1, x1, #0xe8f
0xfffffff008113ac8: 42e88052  mov	w2, #0x742
0xfffffff008113acc: 522f0e94  bl	#0xfffffff00849f814
0xfffffff008113ad0: e10313aa  mov	x1, x19
0xfffffff008113ad4: 2463f297  bl	#0xfffffff007dac764
0xfffffff008113ad8: beffff17  b	#0xfffffff0081139d0
0xfffffff008113adc: 407bff90  adrp	x0, #0xfffffff00707b000
0xfffffff008113ae0: 000c0991  add	x0, x0, #0x243
0xfffffff008113ae4: 217bfff0  adrp	x1, #0xfffffff00707a000
0xfffffff008113ae8: 213c3a91  add	x1, x1, #0xe8f
0xfffffff008113aec: 02e88052  mov	w2, #0x740
0xfffffff008113af0: 492f0e94  bl	#0xfffffff00849f814
0xfffffff008113af4: e10313aa  mov	x1, x19
0xfffffff008113af8: 1b63f297  bl	#0xfffffff007dac764
0xfffffff008113afc: 9dffff17  b	#0xfffffff008113970
0xfffffff008113b00: e10313aa  mov	x1, x19
0xfffffff008113b04: 1863f297  bl	#0xfffffff007dac764
0xfffffff008113b08: a1ffff17  b	#0xfffffff00811398c
0xfffffff008113b0c: 7f2303d5  pacibsp	
0xfffffff008113b10: ffc304d1  sub	sp, sp, #0x130
0xfffffff008113b14: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff008113b18: f44f11a9  stp	x20, x19, [sp, #0x110]
