; Candidate 6357
; ADRP+ADD at VM 0xfffffff008826c38 (fileoff 0x1822c38): page=0x1fe9c3000 add_imm=0xe80

0xfffffff008826bb8: 20050034  cbz	w0, #0xfffffff008826c5c
0xfffffff008826bbc: e803164b  neg	w8, w22
0xfffffff008826bc0: e8042837  tbnz	w8, #5, #0xfffffff008826c5c
0xfffffff008826bc4: 6092c13d  ldr	q0, [x19, #0x640]
0xfffffff008826bc8: 682a43f9  ldr	x8, [x19, #0x650]
0xfffffff008826bcc: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008826bd0: 6a3e46b9  ldr	w10, [x19, #0x63c]
0xfffffff008826bd4: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008826bd8: e00b803d  str	q0, [sp, #0x20]
0xfffffff008826bdc: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008826be0: e8830191  add	x8, sp, #0x60
0xfffffff008826be4: e84f00a9  stp	x8, x19, [sp]
0xfffffff008826be8: c04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff008826bec: 00701891  add	x0, x0, #0x61c
0xfffffff008826bf0: 1c42d697  bl	#0xfffffff007db7460
0xfffffff008826bf4: 2b000014  b	#0xfffffff008826ca0
0xfffffff008826bf8: 6d350294  bl	#0xfffffff0088b41ac
0xfffffff008826bfc: f70300aa  mov	x23, x0
0xfffffff008826c00: e00315aa  mov	x0, x21
0xfffffff008826c04: 13530194  bl	#0xfffffff00887b850
0xfffffff008826c08: 6092c13d  ldr	q0, [x19, #0x640]
0xfffffff008826c0c: 682a43f9  ldr	x8, [x19, #0x650]
0xfffffff008826c10: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008826c14: 6a3e46b9  ldr	w10, [x19, #0x63c]
0xfffffff008826c18: e82700f9  str	x8, [sp, #0x48]
0xfffffff008826c1c: e083833c  stur	q0, [sp, #0x38]
0xfffffff008826c20: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff008826c24: e8830191  add	x8, sp, #0x60
0xfffffff008826c28: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008826c2c: e80314aa  mov	x8, x20
0xfffffff008826c30: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008826c34: f70300f9  str	x23, [sp]
0xfffffff008826c38: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008826c3c: 00003a91  add	x0, x0, #0xe80
0xfffffff008826c40: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008826c44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008826c48: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff008826c4c: 63b01391  add	x3, x3, #0x4ec
0xfffffff008826c50: 02008052  mov	w2, #0
0xfffffff008826c54: 3731ec97  bl	#0xfffffff008333130
0xfffffff008826c58: 12000014  b	#0xfffffff008826ca0
0xfffffff008826c5c: 6092c13d  ldr	q0, [x19, #0x640]
0xfffffff008826c60: 682a43f9  ldr	x8, [x19, #0x650]
0xfffffff008826c64: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008826c68: 6a3e46b9  ldr	w10, [x19, #0x63c]
0xfffffff008826c6c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008826c70: e00b803d  str	q0, [sp, #0x20]
0xfffffff008826c74: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008826c78: e8830191  add	x8, sp, #0x60
0xfffffff008826c7c: e84f00a9  stp	x8, x19, [sp]
0xfffffff008826c80: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008826c84: 00003a91  add	x0, x0, #0xe80
0xfffffff008826c88: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008826c8c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008826c90: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff008826c94: 63801291  add	x3, x3, #0x4a0
0xfffffff008826c98: 02008052  mov	w2, #0
0xfffffff008826c9c: 2531ec97  bl	#0xfffffff008333130
0xfffffff008826ca0: e00314aa  mov	x0, x20
0xfffffff008826ca4: e10315aa  mov	x1, x21
0xfffffff008826ca8: ca520194  bl	#0xfffffff00887b7d0
0xfffffff008826cac: a00d0034  cbz	w0, #0xfffffff008826e60
0xfffffff008826cb0: e00314aa  mov	x0, x20
0xfffffff008826cb4: d9520194  bl	#0xfffffff00887b818
