; Candidate 7900
; ADRP+ADD at VM 0xfffffff008886984 (fileoff 0x1882984): page=0x1fe963000 add_imm=0xe80

0xfffffff008886904: 0e000014  b	#0xfffffff00888693c
0xfffffff008886908: c0040034  cbz	w0, #0xfffffff0088869a0
0xfffffff00888690c: e803164b  neg	w8, w22
0xfffffff008886910: 88042837  tbnz	w8, #5, #0xfffffff0088869a0
0xfffffff008886914: 68264029  ldp	w8, w9, [x19]
0xfffffff008886918: 6a2e4129  ldp	w10, w11, [x19, #8]
0xfffffff00888691c: 6c364229  ldp	w12, w13, [x19, #0x10]
0xfffffff008886920: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff008886924: e92f02a9  stp	x9, x11, [sp, #0x20]
0xfffffff008886928: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff00888692c: e8830191  add	x8, sp, #0x60
0xfffffff008886930: 204dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff008886934: 00f42091  add	x0, x0, #0x83d
0xfffffff008886938: e84f00a9  stp	x8, x19, [sp]
0xfffffff00888693c: c9c2d497  bl	#0xfffffff007db7460
0xfffffff008886940: 28000014  b	#0xfffffff0088869e0
0xfffffff008886944: 1ab60094  bl	#0xfffffff0088b41ac
0xfffffff008886948: f60300aa  mov	x22, x0
0xfffffff00888694c: e00315aa  mov	x0, x21
0xfffffff008886950: c0d3ff97  bl	#0xfffffff00887b850
0xfffffff008886954: 68264029  ldp	w8, w9, [x19]
0xfffffff008886958: 6a2e4129  ldp	w10, w11, [x19, #8]
0xfffffff00888695c: 6c364229  ldp	w12, w13, [x19, #0x10]
0xfffffff008886960: ecb704a9  stp	x12, x13, [sp, #0x48]
0xfffffff008886964: e9af03a9  stp	x9, x11, [sp, #0x38]
0xfffffff008886968: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888696c: e8830191  add	x8, sp, #0x60
0xfffffff008886970: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008886974: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff008886978: 63802291  add	x3, x3, #0x8a0
0xfffffff00888697c: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff008886980: f60300f9  str	x22, [sp]
0xfffffff008886984: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008886988: 00003a91  add	x0, x0, #0xe80
0xfffffff00888698c: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008886990: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008886994: 02008052  mov	w2, #0
0xfffffff008886998: e6b1ea97  bl	#0xfffffff008333130
0xfffffff00888699c: 11000014  b	#0xfffffff0088869e0
0xfffffff0088869a0: 68264029  ldp	w8, w9, [x19]
0xfffffff0088869a4: 6a2e4129  ldp	w10, w11, [x19, #8]
0xfffffff0088869a8: 6c364229  ldp	w12, w13, [x19, #0x10]
0xfffffff0088869ac: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff0088869b0: e92f02a9  stp	x9, x11, [sp, #0x20]
0xfffffff0088869b4: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff0088869b8: e8830191  add	x8, sp, #0x60
0xfffffff0088869bc: e84f00a9  stp	x8, x19, [sp]
0xfffffff0088869c0: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088869c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088869c8: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088869cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088869d0: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff0088869d4: 63a82091  add	x3, x3, #0x82a
0xfffffff0088869d8: 02008052  mov	w2, #0
0xfffffff0088869dc: d5b1ea97  bl	#0xfffffff008333130
0xfffffff0088869e0: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff0088869e4: 098cffd0  adrp	x9, #0xfffffff007a08000
0xfffffff0088869e8: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0088869ec: 290140f9  ldr	x9, [x9]
0xfffffff0088869f0: 3f0108eb  cmp	x9, x8
0xfffffff0088869f4: 01010054  b.ne	#0xfffffff008886a14
0xfffffff0088869f8: 00008052  mov	w0, #0
0xfffffff0088869fc: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008886a00: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
