; Candidate 15018
; ADRP+ADD at VM 0xfffffff009a3133c (fileoff 0x2a2d33c): page=0x1fdbd9000 add_imm=0xcdb

0xfffffff009a312bc: f1031caa  mov	x17, x28
0xfffffff009a312c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a312c4: 301ac1da  autda	x16, x17
0xfffffff009a312c8: 113d80d2  mov	x17, #0x1e8
0xfffffff009a312cc: 1002118b  add	x16, x16, x17
0xfffffff009a312d0: 080240f9  ldr	x8, [x16]
0xfffffff009a312d4: e90310aa  mov	x9, x16
0xfffffff009a312d8: e0031caa  mov	x0, x28
0xfffffff009a312dc: f10309aa  mov	x17, x9
0xfffffff009a312e0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a312e4: 11093fd7  blraa	x8, x17
0xfffffff009a312e8: fb8300a9  stp	x27, x0, [sp, #8]
0xfffffff009a312ec: f30300f9  str	x19, [sp]
0xfffffff009a312f0: c0defeb0  adrp	x0, #0xfffffff00760a000
0xfffffff009a312f4: 00a03091  add	x0, x0, #0xc28
0xfffffff009a312f8: 96f8a897  bl	#0xfffffff00846f550
0xfffffff009a312fc: 140080d2  mov	x20, #0
0xfffffff009a31300: b00240f9  ldr	x16, [x21]
0xfffffff009a31304: f10315aa  mov	x17, x21
0xfffffff009a31308: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a3130c: 301ac1da  autda	x16, x17
0xfffffff009a31310: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009a31314: e90310aa  mov	x9, x16
0xfffffff009a31318: e00315aa  mov	x0, x21
0xfffffff009a3131c: f10309aa  mov	x17, x9
0xfffffff009a31320: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009a31324: 11093fd7  blraa	x8, x17
0xfffffff009a31328: 284c00d0  adrp	x8, #0xfffffff00a3b7000
0xfffffff009a3132c: 08811591  add	x8, x8, #0x560
0xfffffff009a31330: 08014039  ldrb	w8, [x8]
0xfffffff009a31334: a8000036  tbz	w8, #0, #0xfffffff009a31348
0xfffffff009a31338: f35300a9  stp	x19, x20, [sp]
0xfffffff009a3133c: c0defeb0  adrp	x0, #0xfffffff00760a000
0xfffffff009a31340: 006c3391  add	x0, x0, #0xcdb
0xfffffff009a31344: 83f8a897  bl	#0xfffffff00846f550
0xfffffff009a31348: e00314aa  mov	x0, x20
0xfffffff009a3134c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009a31350: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009a31354: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009a31358: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009a3135c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff009a31360: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff009a31364: ff030291  add	sp, sp, #0x80
0xfffffff009a31368: ff0f5fd6  retab	
0xfffffff009a3136c: 5f2403d5  bti	c
0xfffffff009a31370: c0035fd6  ret	
0xfffffff009a31374: 7f2303d5  pacibsp	
0xfffffff009a31378: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009a3137c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009a31380: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009a31384: fd830091  add	x29, sp, #0x20
0xfffffff009a31388: f30302aa  mov	x19, x2
0xfffffff009a3138c: f40301aa  mov	x20, x1
0xfffffff009a31390: f50300aa  mov	x21, x0
0xfffffff009a31394: 202c40f9  ldr	x0, [x1, #0x58]
0xfffffff009a31398: 100040f9  ldr	x16, [x0]
0xfffffff009a3139c: f10300aa  mov	x17, x0
0xfffffff009a313a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a313a4: 301ac1da  autda	x16, x17
0xfffffff009a313a8: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009a313ac: e90310aa  mov	x9, x16
0xfffffff009a313b0: f10309aa  mov	x17, x9
0xfffffff009a313b4: 910cf4f2  movk	x17, #0xa064, lsl #48
0xfffffff009a313b8: 11093fd7  blraa	x8, x17
