; Candidate 4855
; ADRP+ADD at VM 0xfffffff0087c9e04 (fileoff 0x17c5e04): page=0x1fea20000 add_imm=0xe80

0xfffffff0087c9d84: 39000014  b	#0xfffffff0087c9e68
0xfffffff0087c9d88: 60008052  mov	w0, #3
0xfffffff0087c9d8c: 81008052  mov	w1, #4
0xfffffff0087c9d90: 90c60294  bl	#0xfffffff00887b7d0
0xfffffff0087c9d94: c0070034  cbz	w0, #0xfffffff0087c9e8c
0xfffffff0087c9d98: 60008052  mov	w0, #3
0xfffffff0087c9d9c: 9fc60294  bl	#0xfffffff00887b818
0xfffffff0087c9da0: f40300aa  mov	x20, x0
0xfffffff0087c9da4: 02a90394  bl	#0xfffffff0088b41ac
0xfffffff0087c9da8: f30300aa  mov	x19, x0
0xfffffff0087c9dac: 80008052  mov	w0, #4
0xfffffff0087c9db0: a8c60294  bl	#0xfffffff00887b850
0xfffffff0087c9db4: f40a0034  cbz	w20, #0xfffffff0087c9f10
0xfffffff0087c9db8: 2852ffb0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c9dbc: 08d93591  add	x8, x8, #0xd76
0xfffffff0087c9dc0: 69658052  mov	w9, #0x32b
0xfffffff0087c9dc4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c9dc8: 2852ffb0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c9dcc: 08f53191  add	x8, x8, #0xc7d
0xfffffff0087c9dd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c9dd4: 68008052  mov	w8, #3
0xfffffff0087c9dd8: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c9ddc: 2052ffb0  adrp	x0, #0xfffffff00720e000
0xfffffff0087c9de0: 00383491  add	x0, x0, #0xd0e
0xfffffff0087c9de4: 29000014  b	#0xfffffff0087c9e88
0xfffffff0087c9de8: f1a80394  bl	#0xfffffff0088b41ac
0xfffffff0087c9dec: f40300aa  mov	x20, x0
0xfffffff0087c9df0: e0008052  mov	w0, #7
0xfffffff0087c9df4: 97c60294  bl	#0xfffffff00887b850
0xfffffff0087c9df8: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff0087c9dfc: a80f8052  mov	w8, #0x7d
0xfffffff0087c9e00: f42300a9  stp	x20, x8, [sp]
0xfffffff0087c9e04: 0051ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c9e08: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c9e0c: e191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c9e10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c9e14: 6353fff0  adrp	x3, #0xfffffff007238000
0xfffffff0087c9e18: 63901191  add	x3, x3, #0x464
0xfffffff0087c9e1c: 02008052  mov	w2, #0
0xfffffff0087c9e20: c4a4ed97  bl	#0xfffffff008333130
0xfffffff0087c9e24: 730640f9  ldr	x19, [x19, #8]
0xfffffff0087c9e28: 530300b5  cbnz	x19, #0xfffffff0087c9e90
0xfffffff0087c9e2c: 60008052  mov	w0, #3
0xfffffff0087c9e30: 81008052  mov	w1, #4
0xfffffff0087c9e34: 67c60294  bl	#0xfffffff00887b7d0
0xfffffff0087c9e38: a0020034  cbz	w0, #0xfffffff0087c9e8c
0xfffffff0087c9e3c: 60008052  mov	w0, #3
0xfffffff0087c9e40: 76c60294  bl	#0xfffffff00887b818
0xfffffff0087c9e44: f40300aa  mov	x20, x0
0xfffffff0087c9e48: d9a80394  bl	#0xfffffff0088b41ac
0xfffffff0087c9e4c: f30300aa  mov	x19, x0
0xfffffff0087c9e50: 80008052  mov	w0, #4
0xfffffff0087c9e54: 7fc60294  bl	#0xfffffff00887b850
0xfffffff0087c9e58: b4080034  cbz	w20, #0xfffffff0087c9f6c
0xfffffff0087c9e5c: 2852ffb0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c9e60: 08a12a91  add	x8, x8, #0xaa8
0xfffffff0087c9e64: 09668052  mov	w9, #0x330
0xfffffff0087c9e68: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c9e6c: 2852ffb0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c9e70: 08f53191  add	x8, x8, #0xc7d
0xfffffff0087c9e74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c9e78: 68008052  mov	w8, #3
0xfffffff0087c9e7c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c9e80: 2052ffb0  adrp	x0, #0xfffffff00720e000
