; Candidate 9380
; ADRP+ADD at VM 0xfffffff008a35934 (fileoff 0x1a31934): page=0x1fe864000 add_imm=0xe40

0xfffffff008a358b4: e90310aa  mov	x9, x16
0xfffffff008a358b8: e00313aa  mov	x0, x19
0xfffffff008a358bc: e10314aa  mov	x1, x20
0xfffffff008a358c0: f10309aa  mov	x17, x9
0xfffffff008a358c4: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a358c8: 11093fd7  blraa	x8, x17
0xfffffff008a358cc: e00313aa  mov	x0, x19
0xfffffff008a358d0: da8cf097  bl	#0xfffffff008658c38
0xfffffff008a358d4: f50300aa  mov	x21, x0
0xfffffff008a358d8: 700240f9  ldr	x16, [x19]
0xfffffff008a358dc: f10313aa  mov	x17, x19
0xfffffff008a358e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a358e4: 301ac1da  autda	x16, x17
0xfffffff008a358e8: f10310aa  mov	x17, x16
0xfffffff008a358ec: f147c1da  xpacd	x17
0xfffffff008a358f0: 1f0211eb  cmp	x16, x17
0xfffffff008a358f4: 40000054  b.eq	#0xfffffff008a358fc
0xfffffff008a358f8: 408e38d4  brk	#0xc472
0xfffffff008a358fc: 08c21191  add	x8, x16, #0x470
0xfffffff008a35900: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a35904: e00313aa  mov	x0, x19
0xfffffff008a35908: e10314aa  mov	x1, x20
0xfffffff008a3590c: f10308aa  mov	x17, x8
0xfffffff008a35910: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a35914: 31093fd7  blraa	x9, x17
0xfffffff008a35918: f70314aa  mov	x23, x20
0xfffffff008a3591c: e05f02a9  stp	x0, x23, [sp, #0x20]
0xfffffff008a35920: d8748052  mov	w24, #0x3a6
0xfffffff008a35924: f85b01a9  stp	x24, x22, [sp, #0x10]
0xfffffff008a35928: 5943ffb0  adrp	x25, #0xfffffff00729e000
0xfffffff008a3592c: 397b0391  add	x25, x25, #0xde
0xfffffff008a35930: f56700a9  stp	x21, x25, [sp]
0xfffffff008a35934: 2043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a35938: 00003991  add	x0, x0, #0xe40
0xfffffff008a3593c: a180ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a35940: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a35944: 6343ff90  adrp	x3, #0xfffffff0072a1000
0xfffffff008a35948: 63b40891  add	x3, x3, #0x22d
0xfffffff008a3594c: 02028052  mov	w2, #0x10
0xfffffff008a35950: f8f5e397  bl	#0xfffffff008333130
0xfffffff008a35954: e00313aa  mov	x0, x19
0xfffffff008a35958: b88cf097  bl	#0xfffffff008658c38
0xfffffff008a3595c: f50300aa  mov	x21, x0
0xfffffff008a35960: 700240f9  ldr	x16, [x19]
0xfffffff008a35964: f10313aa  mov	x17, x19
0xfffffff008a35968: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3596c: 301ac1da  autda	x16, x17
0xfffffff008a35970: f10310aa  mov	x17, x16
0xfffffff008a35974: f147c1da  xpacd	x17
0xfffffff008a35978: 1f0211eb  cmp	x16, x17
0xfffffff008a3597c: 40000054  b.eq	#0xfffffff008a35984
0xfffffff008a35980: 408e38d4  brk	#0xc472
0xfffffff008a35984: 08c21191  add	x8, x16, #0x470
0xfffffff008a35988: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a3598c: e00313aa  mov	x0, x19
0xfffffff008a35990: e10314aa  mov	x1, x20
0xfffffff008a35994: f10308aa  mov	x17, x8
0xfffffff008a35998: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a3599c: 31093fd7  blraa	x9, x17
0xfffffff008a359a0: e05f02a9  stp	x0, x23, [sp, #0x20]
0xfffffff008a359a4: f85b01a9  stp	x24, x22, [sp, #0x10]
0xfffffff008a359a8: f56700a9  stp	x21, x25, [sp]
0xfffffff008a359ac: 4043ff90  adrp	x0, #0xfffffff00729d000
0xfffffff008a359b0: 005c1c91  add	x0, x0, #0x717
