; Candidate 4200
; ADRP+ADD at VM 0xfffffff0087962f4 (fileoff 0x17922f4): page=0x1fe99b000 add_imm=0xd90

0xfffffff008796274: 01028052  mov	w1, #0x10
0xfffffff008796278: f10309aa  mov	x17, x9
0xfffffff00879627c: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008796280: 11093fd7  blraa	x8, x17
0xfffffff008796284: 40010034  cbz	w0, #0xfffffff0087962ac
0xfffffff008796288: e00300f9  str	x0, [sp]
0xfffffff00879628c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796290: 00403691  add	x0, x0, #0xd90
0xfffffff008796294: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796298: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879629c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff0087962a0: 63a81691  add	x3, x3, #0x5aa
0xfffffff0087962a4: 02008052  mov	w2, #0
0xfffffff0087962a8: a273ee97  bl	#0xfffffff008333130
0xfffffff0087962ac: 88718552  mov	w8, #0x2b8c
0xfffffff0087962b0: 6202088b  add	x2, x19, x8
0xfffffff0087962b4: 7f8e2bb9  str	wzr, [x19, #0x2b8c]
0xfffffff0087962b8: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff0087962bc: 100040f9  ldr	x16, [x0]
0xfffffff0087962c0: f10300aa  mov	x17, x0
0xfffffff0087962c4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087962c8: 301ac1da  autda	x16, x17
0xfffffff0087962cc: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff0087962d0: e90310aa  mov	x9, x16
0xfffffff0087962d4: 21028052  mov	w1, #0x11
0xfffffff0087962d8: f10309aa  mov	x17, x9
0xfffffff0087962dc: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff0087962e0: 11093fd7  blraa	x8, x17
0xfffffff0087962e4: f40300aa  mov	x20, x0
0xfffffff0087962e8: 80f7ff34  cbz	w0, #0xfffffff0087961d8
0xfffffff0087962ec: e80314aa  mov	x8, x20
0xfffffff0087962f0: e80300f9  str	x8, [sp]
0xfffffff0087962f4: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087962f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087962fc: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796300: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796304: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796308: 63f41791  add	x3, x3, #0x5fd
0xfffffff00879630c: 02008052  mov	w2, #0
0xfffffff008796310: 8873ee97  bl	#0xfffffff008333130
0xfffffff008796314: b1ffff17  b	#0xfffffff0087961d8
0xfffffff008796318: 94220011  add	w20, w20, #8
0xfffffff00879631c: afffff17  b	#0xfffffff0087961d8
0xfffffff008796320: cb1ed797  bl	#0xfffffff007d5de4c
0xfffffff008796324: 0c000000  udf	#0xc
0xfffffff008796328: 8c000000  udf	#0x8c
0xfffffff00879632c: 0c000000  udf	#0xc
0xfffffff008796330: 0c000000  udf	#0xc
0xfffffff008796334: 18000000  udf	#0x18
0xfffffff008796338: 80000000  udf	#0x80
0xfffffff00879633c: 7f2303d5  pacibsp	
0xfffffff008796340: ff8301d1  sub	sp, sp, #0x60
0xfffffff008796344: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008796348: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00879634c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008796350: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008796354: fd430191  add	x29, sp, #0x50
0xfffffff008796358: 280440f9  ldr	x8, [x1, #8]
0xfffffff00879635c: 280600b4  cbz	x8, #0xfffffff008796420
0xfffffff008796360: f30302aa  mov	x19, x2
0xfffffff008796364: f60301aa  mov	x22, x1
0xfffffff008796368: f40300aa  mov	x20, x0
0xfffffff00879636c: 37a04039  ldrb	w23, [x1, #0x28]
0xfffffff008796370: 38a44039  ldrb	w24, [x1, #0x29]
