; Candidate 10279
; ADRP+ADD at VM 0xfffffff008cd167c (fileoff 0x1ccd67c): page=0x1fe695000 add_imm=0xe74

0xfffffff008cd15fc: e0220035  cbnz	w0, #0xfffffff008cd1a58
0xfffffff008cd1600: 88224239  ldrb	w8, [x20, #0x88]
0xfffffff008cd1604: a8052836  tbz	w8, #5, #0xfffffff008cd16b8
0xfffffff008cd1608: 900240f9  ldr	x16, [x20]
0xfffffff008cd160c: f10314aa  mov	x17, x20
0xfffffff008cd1610: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cd1614: 301ac1da  autda	x16, x17
0xfffffff008cd1618: 113d80d2  mov	x17, #0x1e8
0xfffffff008cd161c: 1002118b  add	x16, x16, x17
0xfffffff008cd1620: 080240f9  ldr	x8, [x16]
0xfffffff008cd1624: e90310aa  mov	x9, x16
0xfffffff008cd1628: e00314aa  mov	x0, x20
0xfffffff008cd162c: 010080d2  mov	x1, #0
0xfffffff008cd1630: f10309aa  mov	x17, x9
0xfffffff008cd1634: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008cd1638: 11093fd7  blraa	x8, x17
0xfffffff008cd163c: f70300aa  mov	x23, x0
0xfffffff008cd1640: f30100b4  cbz	x19, #0xfffffff008cd167c
0xfffffff008cd1644: 700240f9  ldr	x16, [x19]
0xfffffff008cd1648: f10313aa  mov	x17, x19
0xfffffff008cd164c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cd1650: 301ac1da  autda	x16, x17
0xfffffff008cd1654: 113d80d2  mov	x17, #0x1e8
0xfffffff008cd1658: 1002118b  add	x16, x16, x17
0xfffffff008cd165c: 080240f9  ldr	x8, [x16]
0xfffffff008cd1660: e90310aa  mov	x9, x16
0xfffffff008cd1664: e00313aa  mov	x0, x19
0xfffffff008cd1668: 010080d2  mov	x1, #0
0xfffffff008cd166c: f10309aa  mov	x17, x9
0xfffffff008cd1670: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008cd1674: 11093fd7  blraa	x8, x17
0xfffffff008cd1678: 03000014  b	#0xfffffff008cd1684
0xfffffff008cd167c: a034ffb0  adrp	x0, #0xfffffff007366000
0xfffffff008cd1680: 00d03991  add	x0, x0, #0xe74
0xfffffff008cd1684: f5db03a9  stp	x21, x22, [sp, #0x38]
0xfffffff008cd1688: f38302a9  stp	x19, x0, [sp, #0x28]
0xfffffff008cd168c: a81f8052  mov	w8, #0xfd
0xfffffff008cd1690: a934ffb0  adrp	x9, #0xfffffff007366000
0xfffffff008cd1694: 29453891  add	x9, x9, #0xe11
0xfffffff008cd1698: aa34ffb0  adrp	x10, #0xfffffff007366000
0xfffffff008cd169c: 4a213191  add	x10, x10, #0xc48
0xfffffff008cd16a0: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff008cd16a4: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff008cd16a8: a034ffb0  adrp	x0, #0xfffffff007366000
0xfffffff008cd16ac: 00bc3891  add	x0, x0, #0xe2f
0xfffffff008cd16b0: f70300f9  str	x23, [sp]
0xfffffff008cd16b4: 5b16da97  bl	#0xfffffff008357020
0xfffffff008cd16b8: b60700b4  cbz	x22, #0xfffffff008cd17ac
0xfffffff008cd16bc: 900240f9  ldr	x16, [x20]
0xfffffff008cd16c0: f10314aa  mov	x17, x20
0xfffffff008cd16c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cd16c8: 301ac1da  autda	x16, x17
0xfffffff008cd16cc: 11ab80d2  mov	x17, #0x558
0xfffffff008cd16d0: 1002118b  add	x16, x16, x17
0xfffffff008cd16d4: 080240f9  ldr	x8, [x16]
0xfffffff008cd16d8: e90310aa  mov	x9, x16
0xfffffff008cd16dc: e00314aa  mov	x0, x20
0xfffffff008cd16e0: e10316aa  mov	x1, x22
0xfffffff008cd16e4: f10309aa  mov	x17, x9
0xfffffff008cd16e8: 91cbeaf2  movk	x17, #0x565c, lsl #48
0xfffffff008cd16ec: 11093fd7  blraa	x8, x17
0xfffffff008cd16f0: 60040034  cbz	w0, #0xfffffff008cd177c
0xfffffff008cd16f4: f70300aa  mov	x23, x0
0xfffffff008cd16f8: 806a40f9  ldr	x0, [x20, #0xd0]
