; Candidate 16809
; ADRP+ADD at VM 0xfffffff009f6ed58 (fileoff 0x2f6ad58): page=0x1fddd5000 add_imm=0xd58

0xfffffff009f6ecd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f6ecdc: 301ac1da  autda	x16, x17
0xfffffff009f6ece0: 116d80d2  mov	x17, #0x368
0xfffffff009f6ece4: 1002118b  add	x16, x16, x17
0xfffffff009f6ece8: 080240f9  ldr	x8, [x16]
0xfffffff009f6ecec: e90310aa  mov	x9, x16
0xfffffff009f6ecf0: e00313aa  mov	x0, x19
0xfffffff009f6ecf4: f10309aa  mov	x17, x9
0xfffffff009f6ecf8: 1163eef2  movk	x17, #0x7318, lsl #48
0xfffffff009f6ecfc: 11093fd7  blraa	x8, x17
0xfffffff009f6ed00: 00008052  mov	w0, #0
0xfffffff009f6ed04: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f6ed08: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f6ed0c: ff0f5fd6  retab	
0xfffffff009f6ed10: 7f2303d5  pacibsp	
0xfffffff009f6ed14: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009f6ed18: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009f6ed1c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009f6ed20: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009f6ed24: fdc30091  add	x29, sp, #0x30
0xfffffff009f6ed28: f50304aa  mov	x21, x4
0xfffffff009f6ed2c: f60303aa  mov	x22, x3
0xfffffff009f6ed30: f70302aa  mov	x23, x2
0xfffffff009f6ed34: f40301aa  mov	x20, x1
0xfffffff009f6ed38: f30300aa  mov	x19, x0
0xfffffff009f6ed3c: 05bfff97  bl	#0xfffffff009f5e950
0xfffffff009f6ed40: c0000037  tbnz	w0, #0, #0xfffffff009f6ed58
0xfffffff009f6ed44: c1c7fed0  adrp	x1, #0xfffffff007868000
0xfffffff009f6ed48: 21a43291  add	x1, x1, #0xca9
0xfffffff009f6ed4c: e00314aa  mov	x0, x20
0xfffffff009f6ed50: 08469297  bl	#0xfffffff008400570
0xfffffff009f6ed54: e0020035  cbnz	w0, #0xfffffff009f6edb0
0xfffffff009f6ed58: a0eefeb0  adrp	x0, #0xfffffff007d43000
0xfffffff009f6ed5c: 00603591  add	x0, x0, #0xd58
0xfffffff009f6ed60: e59d8f97  bl	#0xfffffff0083564f4
0xfffffff009f6ed64: 607200f9  str	x0, [x19, #0xe0]
0xfffffff009f6ed68: 400200b4  cbz	x0, #0xfffffff009f6edb0
0xfffffff009f6ed6c: e00313aa  mov	x0, x19
0xfffffff009f6ed70: e10314aa  mov	x1, x20
0xfffffff009f6ed74: e20317aa  mov	x2, x23
0xfffffff009f6ed78: e30316aa  mov	x3, x22
0xfffffff009f6ed7c: e40315aa  mov	x4, x21
0xfffffff009f6ed80: 79dfff97  bl	#0xfffffff009f66b64
0xfffffff009f6ed84: f50300aa  mov	x21, x0
0xfffffff009f6ed88: 80000034  cbz	w0, #0xfffffff009f6ed98
0xfffffff009f6ed8c: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff009f6ed90: 140900f9  str	x20, [x8, #0x10]
0xfffffff009f6ed94: 1f0100f9  str	xzr, [x8]
0xfffffff009f6ed98: 687240f9  ldr	x8, [x19, #0xe0]
0xfffffff009f6ed9c: 1f1100b9  str	wzr, [x8, #0x10]
0xfffffff009f6eda0: 00610091  add	x0, x8, #0x18
0xfffffff009f6eda4: 01508052  mov	w1, #0x280
0xfffffff009f6eda8: 66777797  bl	#0xfffffff007d4cb40
0xfffffff009f6edac: 02000014  b	#0xfffffff009f6edb4
0xfffffff009f6edb0: 15008052  mov	w21, #0
0xfffffff009f6edb4: e00315aa  mov	x0, x21
0xfffffff009f6edb8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009f6edbc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009f6edc0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009f6edc4: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009f6edc8: ff0f5fd6  retab	
0xfffffff009f6edcc: 7f2303d5  pacibsp	
0xfffffff009f6edd0: ff4301d1  sub	sp, sp, #0x50
0xfffffff009f6edd4: f85f01a9  stp	x24, x23, [sp, #0x10]
