; Candidate 14870
; ADRP+ADD at VM 0xfffffff0099d8f34 (fileoff 0x29d4f34): page=0x1fdc16000 add_imm=0xeb3

0xfffffff0099d8eb4: 68758052  mov	w8, #0x3ab
0xfffffff0099d8eb8: a9e0feb0  adrp	x9, #0xfffffff0075ed000
0xfffffff0099d8ebc: 29c93991  add	x9, x9, #0xe72
0xfffffff0099d8ec0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0099d8ec4: f30300f9  str	x19, [sp]
0xfffffff0099d8ec8: a0e0fed0  adrp	x0, #0xfffffff0075ee000
0xfffffff0099d8ecc: 002c2291  add	x0, x0, #0x88b
0xfffffff0099d8ed0: 8fedaa97  bl	#0xfffffff00849450c
0xfffffff0099d8ed4: 7f2303d5  pacibsp	
0xfffffff0099d8ed8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099d8edc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0099d8ee0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099d8ee4: fdc30091  add	x29, sp, #0x30
0xfffffff0099d8ee8: 53dcfe97  bl	#0xfffffff009990034
0xfffffff0099d8eec: 487a8052  mov	w8, #0x3d2
0xfffffff0099d8ef0: a9e0feb0  adrp	x9, #0xfffffff0075ed000
0xfffffff0099d8ef4: 29c93991  add	x9, x9, #0xe72
0xfffffff0099d8ef8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0099d8efc: f30300f9  str	x19, [sp]
0xfffffff0099d8f00: a0e0fed0  adrp	x0, #0xfffffff0075ee000
0xfffffff0099d8f04: 001c2491  add	x0, x0, #0x907
0xfffffff0099d8f08: 81edaa97  bl	#0xfffffff00849450c
0xfffffff0099d8f0c: 7f2303d5  pacibsp	
0xfffffff0099d8f10: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099d8f14: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099d8f18: fd830091  add	x29, sp, #0x20
0xfffffff0099d8f1c: 4ad68052  mov	w10, #0x6b2
0xfffffff0099d8f20: a8e0feb0  adrp	x8, #0xfffffff0075ed000
0xfffffff0099d8f24: 08c93991  add	x8, x8, #0xe72
0xfffffff0099d8f28: 091c4092  and	x9, x0, #0xff
0xfffffff0099d8f2c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0099d8f30: e90300f9  str	x9, [sp]
0xfffffff0099d8f34: a0e0fed0  adrp	x0, #0xfffffff0075ee000
0xfffffff0099d8f38: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff0099d8f3c: 74edaa97  bl	#0xfffffff00849450c
0xfffffff0099d8f40: 7f2303d5  pacibsp	
0xfffffff0099d8f44: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099d8f48: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0099d8f4c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099d8f50: fdc30091  add	x29, sp, #0x30
0xfffffff0099d8f54: f30301aa  mov	x19, x1
0xfffffff0099d8f58: f40300aa  mov	x20, x0
0xfffffff0099d8f5c: 21008052  mov	w1, #1
0xfffffff0099d8f60: 578fff97  bl	#0xfffffff0099bccbc
0xfffffff0099d8f64: 883642f9  ldr	x8, [x20, #0x468]
0xfffffff0099d8f68: 690240b9  ldr	w9, [x19]
0xfffffff0099d8f6c: 2aa38152  mov	w10, #0xd19
0xfffffff0099d8f70: abe0feb0  adrp	x11, #0xfffffff0075ed000
0xfffffff0099d8f74: 6bc93991  add	x11, x11, #0xe72
0xfffffff0099d8f78: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff0099d8f7c: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d8f80: a0e0fef0  adrp	x0, #0xfffffff0075ef000
0xfffffff0099d8f84: 00003691  add	x0, x0, #0xd80
0xfffffff0099d8f88: 61edaa97  bl	#0xfffffff00849450c
0xfffffff0099d8f8c: 7f2303d5  pacibsp	
0xfffffff0099d8f90: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099d8f94: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0099d8f98: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099d8f9c: fdc30091  add	x29, sp, #0x30
0xfffffff0099d8fa0: 25dcfe97  bl	#0xfffffff009990034
0xfffffff0099d8fa4: a8a18152  mov	w8, #0xd0d
0xfffffff0099d8fa8: a9e0feb0  adrp	x9, #0xfffffff0075ed000
0xfffffff0099d8fac: 29c93991  add	x9, x9, #0xe72
0xfffffff0099d8fb0: e9a300a9  stp	x9, x8, [sp, #8]
