; Candidate 15565
; ADRP+ADD at VM 0xfffffff009c37f9c (fileoff 0x2c33f9c): page=0x1fe0b7000 add_imm=0xeb8

0xfffffff009c37f1c: 10a22791  add	x16, x16, #0x9e8
0xfffffff009c37f20: 10420091  add	x16, x16, #0x10
0xfffffff009c37f24: f10300aa  mov	x17, x0
0xfffffff009c37f28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c37f2c: 300ac1da  pacda	x16, x17
0xfffffff009c37f30: 100000f9  str	x16, [x0]
0xfffffff009c37f34: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c37f38: ff0f5fd6  retab	
0xfffffff009c37f3c: 5f2403d5  bti	c
0xfffffff009c37f40: 00309d17  b	#0xfffffff008383f40
0xfffffff009c37f44: 5f2403d5  bti	c
0xfffffff009c37f48: fe2f9d17  b	#0xfffffff008383f40
0xfffffff009c37f4c: 7f2303d5  pacibsp	
0xfffffff009c37f50: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c37f54: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c37f58: fd430091  add	x29, sp, #0x10
0xfffffff009c37f5c: f30300aa  mov	x19, x0
0xfffffff009c37f60: f82f9d97  bl	#0xfffffff008383f40
0xfffffff009c37f64: a005fff0  adrp	x0, #0xfffffff007cee000
0xfffffff009c37f68: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009c37f6c: e10313aa  mov	x1, x19
0xfffffff009c37f70: 02118052  mov	w2, #0x88
0xfffffff009c37f74: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c37f78: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c37f7c: ff2303d5  autibsp	
0xfffffff009c37f80: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009c37f84: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009c37f8c
0xfffffff009c37f88: 208e38d4  brk	#0xc471
0xfffffff009c37f8c: c4bd9a17  b	#0xfffffff0082e769c
0xfffffff009c37f90: 5f2403d5  bti	c
0xfffffff009c37f94: e20301aa  mov	x2, x1
0xfffffff009c37f98: e10300aa  mov	x1, x0
0xfffffff009c37f9c: a005fff0  adrp	x0, #0xfffffff007cee000
0xfffffff009c37fa0: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009c37fa4: bebd9a17  b	#0xfffffff0082e769c
0xfffffff009c37fa8: 5f2403d5  bti	c
0xfffffff009c37fac: 003c00f0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c37fb0: 00802f91  add	x0, x0, #0xbe0
0xfffffff009c37fb4: c0035fd6  ret	
0xfffffff009c37fb8: 7f2303d5  pacibsp	
0xfffffff009c37fbc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c37fc0: fd030091  mov	x29, sp
0xfffffff009c37fc4: 61d0fed0  adrp	x1, #0xfffffff007645000
0xfffffff009c37fc8: 21dc1991  add	x1, x1, #0x677
0xfffffff009c37fcc: 4205ffb0  adrp	x2, #0xfffffff007ce0000
0xfffffff009c37fd0: 428446f9  ldr	x2, [x2, #0xd08]
0xfffffff009c37fd4: 03118052  mov	w3, #0x88
0xfffffff009c37fd8: d8ae9a97  bl	#0xfffffff0082e3b38
0xfffffff009c37fdc: 9005ffb0  adrp	x16, #0xfffffff007ce8000
0xfffffff009c37fe0: 10023d91  add	x16, x16, #0xf40
0xfffffff009c37fe4: 10420091  add	x16, x16, #0x10
0xfffffff009c37fe8: f10300aa  mov	x17, x0
0xfffffff009c37fec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c37ff0: 300ac1da  pacda	x16, x17
0xfffffff009c37ff4: 100000f9  str	x16, [x0]
0xfffffff009c37ff8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c37ffc: ff0f5fd6  retab	
0xfffffff009c38000: 5f2403d5  bti	c
0xfffffff009c38004: 000080d2  mov	x0, #0
0xfffffff009c38008: c0035fd6  ret	
0xfffffff009c3800c: 5f2403d5  bti	c
0xfffffff009c38010: e10300aa  mov	x1, x0
0xfffffff009c38014: a005ffd0  adrp	x0, #0xfffffff007cee000
0xfffffff009c38018: 00e03a91  add	x0, x0, #0xeb8
