; Candidate 8207
; ADRP+ADD at VM 0xfffffff00889c53c (fileoff 0x189853c): page=0x1fe94d000 add_imm=0xe80

0xfffffff00889c4bc: 0c6146b9  ldr	w12, [x8, #0x660]
0xfffffff00889c4c0: 08a946b9  ldr	w8, [x8, #0x6a8]
0xfffffff00889c4c4: 6d0240b9  ldr	w13, [x19]
0xfffffff00889c4c8: ec2306a9  stp	x12, x8, [sp, #0x60]
0xfffffff00889c4cc: ea2f05a9  stp	x10, x11, [sp, #0x50]
0xfffffff00889c4d0: f52704a9  stp	x21, x9, [sp, #0x40]
0xfffffff00889c4d4: f33703a9  stp	x19, x13, [sp, #0x30]
0xfffffff00889c4d8: fc5f02a9  stp	x28, x23, [sp, #0x20]
0xfffffff00889c4dc: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff00889c4e0: f95b00a9  stp	x25, x22, [sp]
0xfffffff00889c4e4: a04cff90  adrp	x0, #0xfffffff007230000
0xfffffff00889c4e8: 00201791  add	x0, x0, #0x5c8
0xfffffff00889c4ec: dd6bd497  bl	#0xfffffff007db7460
0xfffffff00889c4f0: 1a000014  b	#0xfffffff00889c558
0xfffffff00889c4f4: 7a02148b  add	x26, x19, x20
0xfffffff00889c4f8: 2d5f0094  bl	#0xfffffff0088b41ac
0xfffffff00889c4fc: f90300aa  mov	x25, x0
0xfffffff00889c500: 00018052  mov	w0, #8
0xfffffff00889c504: d37cff97  bl	#0xfffffff00887b850
0xfffffff00889c508: 486b42f9  ldr	x8, [x26, #0x4d0]
0xfffffff00889c50c: 49cb44b9  ldr	w9, [x26, #0x4c8]
0xfffffff00889c510: 4ac344b9  ldr	w10, [x26, #0x4c0]
0xfffffff00889c514: 4b6346b9  ldr	w11, [x26, #0x660]
0xfffffff00889c518: 4cab46b9  ldr	w12, [x26, #0x6a8]
0xfffffff00889c51c: 6d0240b9  ldr	w13, [x19]
0xfffffff00889c520: eb3306a9  stp	x11, x12, [sp, #0x60]
0xfffffff00889c524: e92b05a9  stp	x9, x10, [sp, #0x50]
0xfffffff00889c528: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff00889c52c: f33703a9  stp	x19, x13, [sp, #0x30]
0xfffffff00889c530: fc5f02a9  stp	x28, x23, [sp, #0x20]
0xfffffff00889c534: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff00889c538: f95b00a9  stp	x25, x22, [sp]
0xfffffff00889c53c: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889c540: 00003a91  add	x0, x0, #0xe80
0xfffffff00889c544: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889c548: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889c54c: 02008052  mov	w2, #0
0xfffffff00889c550: e30318aa  mov	x3, x24
0xfffffff00889c554: f75aea97  bl	#0xfffffff008333130
0xfffffff00889c558: 6802148b  add	x8, x19, x20
0xfffffff00889c55c: 09c144b9  ldr	w9, [x8, #0x4c0]
0xfffffff00889c560: e9030034  cbz	w9, #0xfffffff00889c5dc
0xfffffff00889c564: b5060091  add	x21, x21, #1
0xfffffff00889c568: 94220991  add	x20, x20, #0x248
0xfffffff00889c56c: bf6600f1  cmp	x21, #0x19
0xfffffff00889c570: 61f8ff54  b.ne	#0xfffffff00889c47c
0xfffffff00889c574: a00f8052  mov	w0, #0x7d
0xfffffff00889c578: 81008052  mov	w1, #4
0xfffffff00889c57c: 957cff97  bl	#0xfffffff00887b7d0
0xfffffff00889c580: e0110034  cbz	w0, #0xfffffff00889c7bc
0xfffffff00889c584: a00f8052  mov	w0, #0x7d
0xfffffff00889c588: a47cff97  bl	#0xfffffff00887b818
0xfffffff00889c58c: f60300aa  mov	x22, x0
0xfffffff00889c590: 075f0094  bl	#0xfffffff0088b41ac
0xfffffff00889c594: f50300aa  mov	x21, x0
0xfffffff00889c598: 80008052  mov	w0, #4
0xfffffff00889c59c: ad7cff97  bl	#0xfffffff00887b850
0xfffffff00889c5a0: 360e0034  cbz	w22, #0xfffffff00889c764
0xfffffff00889c5a4: 680240b9  ldr	w8, [x19]
0xfffffff00889c5a8: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889c5ac: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889c5b0: 09511691  add	x9, x8, #0x594
0xfffffff00889c5b4: a8278052  mov	w8, #0x13d
0xfffffff00889c5b8: e8a702a9  stp	x8, x9, [sp, #0x28]
