; Candidate 1389
; ADRP+ADD at VM 0xfffffff00838f878 (fileoff 0x138b878): page=0x1e89000 add_imm=0xda0

0xfffffff00838f7f8: fd430091  add	x29, sp, #0x10
0xfffffff00838f7fc: 40f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838f800: 00403591  add	x0, x0, #0xd50
0xfffffff00838f804: 8168ff90  adrp	x1, #0xfffffff00709f000
0xfffffff00838f808: 214c1391  add	x1, x1, #0x4d3
0xfffffff00838f80c: 53f400f0  adrp	x19, #0xfffffff00a21a000
0xfffffff00838f810: 73622191  add	x19, x19, #0x858
0xfffffff00838f814: e20313aa  mov	x2, x19
0xfffffff00838f818: 03048052  mov	w3, #0x20
0xfffffff00838f81c: c750fd97  bl	#0xfffffff0082e3b38
0xfffffff00838f820: 10adffb0  adrp	x16, #0xfffffff007930000
0xfffffff00838f824: 10a22891  add	x16, x16, #0xa28
0xfffffff00838f828: 10420091  add	x16, x16, #0x10
0xfffffff00838f82c: f10300aa  mov	x17, x0
0xfffffff00838f830: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00838f834: 300ac1da  pacda	x16, x17
0xfffffff00838f838: 100000f9  str	x16, [x0]
0xfffffff00838f83c: 40f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838f840: 00e03591  add	x0, x0, #0xd78
0xfffffff00838f844: 8168ff90  adrp	x1, #0xfffffff00709f000
0xfffffff00838f848: 21742291  add	x1, x1, #0x89d
0xfffffff00838f84c: 42f400d0  adrp	x2, #0xfffffff00a219000
0xfffffff00838f850: 42e00491  add	x2, x2, #0x138
0xfffffff00838f854: 03118052  mov	w3, #0x88
0xfffffff00838f858: b850fd97  bl	#0xfffffff0082e3b38
0xfffffff00838f85c: 10adffb0  adrp	x16, #0xfffffff007930000
0xfffffff00838f860: 10422d91  add	x16, x16, #0xb50
0xfffffff00838f864: 10420091  add	x16, x16, #0x10
0xfffffff00838f868: f10300aa  mov	x17, x0
0xfffffff00838f86c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00838f870: 300ac1da  pacda	x16, x17
0xfffffff00838f874: 100000f9  str	x16, [x0]
0xfffffff00838f878: 40f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838f87c: 00803691  add	x0, x0, #0xda0
0xfffffff00838f880: 8168ff90  adrp	x1, #0xfffffff00709f000
0xfffffff00838f884: 21302391  add	x1, x1, #0x8cc
0xfffffff00838f888: 54f400f0  adrp	x20, #0xfffffff00a21a000
0xfffffff00838f88c: 94821091  add	x20, x20, #0x420
0xfffffff00838f890: e20314aa  mov	x2, x20
0xfffffff00838f894: 030c8052  mov	w3, #0x60
0xfffffff00838f898: a850fd97  bl	#0xfffffff0082e3b38
0xfffffff00838f89c: 10adffb0  adrp	x16, #0xfffffff007930000
0xfffffff00838f8a0: 10823391  add	x16, x16, #0xce0
0xfffffff00838f8a4: 10420091  add	x16, x16, #0x10
0xfffffff00838f8a8: f10300aa  mov	x17, x0
0xfffffff00838f8ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00838f8b0: 300ac1da  pacda	x16, x17
0xfffffff00838f8b4: 100000f9  str	x16, [x0]
0xfffffff00838f8b8: 40f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838f8bc: 00203791  add	x0, x0, #0xdc8
0xfffffff00838f8c0: 8168ff90  adrp	x1, #0xfffffff00709f000
0xfffffff00838f8c4: 21cc2391  add	x1, x1, #0x8f3
0xfffffff00838f8c8: e20314aa  mov	x2, x20
0xfffffff00838f8cc: 03168052  mov	w3, #0xb0
0xfffffff00838f8d0: 9a50fd97  bl	#0xfffffff0082e3b38
0xfffffff00838f8d4: 10adffb0  adrp	x16, #0xfffffff007930000
0xfffffff00838f8d8: 10c23991  add	x16, x16, #0xe70
0xfffffff00838f8dc: 10420091  add	x16, x16, #0x10
0xfffffff00838f8e0: f10300aa  mov	x17, x0
0xfffffff00838f8e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00838f8e8: 300ac1da  pacda	x16, x17
0xfffffff00838f8ec: 100000f9  str	x16, [x0]
0xfffffff00838f8f0: 40f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838f8f4: 00c03791  add	x0, x0, #0xdf0
