; Candidate 8222
; ADRP+ADD at VM 0xfffffff00889d268 (fileoff 0x1899268): page=0x1fe94c000 add_imm=0xe80

0xfffffff00889d1e8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889d1ec: a80f8052  mov	w8, #0x7d
0xfffffff00889d1f0: 804cfff0  adrp	x0, #0xfffffff007230000
0xfffffff00889d1f4: 008c1c91  add	x0, x0, #0x723
0xfffffff00889d1f8: f62300a9  stp	x22, x8, [sp]
0xfffffff00889d1fc: 9968d497  bl	#0xfffffff007db7460
0xfffffff00889d200: 750400b4  cbz	x21, #0xfffffff00889d28c
0xfffffff00889d204: e00313aa  mov	x0, x19
0xfffffff00889d208: e10314aa  mov	x1, x20
0xfffffff00889d20c: 40ffff97  bl	#0xfffffff00889cf0c
0xfffffff00889d210: 800700b4  cbz	x0, #0xfffffff00889d300
0xfffffff00889d214: 01e00091  add	x1, x0, #0x38
0xfffffff00889d218: e00315aa  mov	x0, x21
0xfffffff00889d21c: 02228052  mov	w2, #0x110
0xfffffff00889d220: dcbdd297  bl	#0xfffffff007d4c990
0xfffffff00889d224: 16008052  mov	w22, #0
0xfffffff00889d228: 8b000014  b	#0xfffffff00889d454
0xfffffff00889d22c: e05b0094  bl	#0xfffffff0088b41ac
0xfffffff00889d230: f60300aa  mov	x22, x0
0xfffffff00889d234: 00018052  mov	w0, #8
0xfffffff00889d238: 8679ff97  bl	#0xfffffff00887b850
0xfffffff00889d23c: 680240b9  ldr	w8, [x19]
0xfffffff00889d240: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889d244: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889d248: 884cfff0  adrp	x8, #0xfffffff007230000
0xfffffff00889d24c: 093d1d91  add	x9, x8, #0x74f
0xfffffff00889d250: a84cff90  adrp	x8, #0xfffffff007231000
0xfffffff00889d254: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889d258: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889d25c: a80f8052  mov	w8, #0x7d
0xfffffff00889d260: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889d264: f60300f9  str	x22, [sp]
0xfffffff00889d268: 604aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00889d26c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889d270: 418bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00889d274: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889d278: 034efff0  adrp	x3, #0xfffffff007260000
0xfffffff00889d27c: 63742191  add	x3, x3, #0x85d
0xfffffff00889d280: 02008052  mov	w2, #0
0xfffffff00889d284: ab57ea97  bl	#0xfffffff008333130
0xfffffff00889d288: f5fbffb5  cbnz	x21, #0xfffffff00889d204
0xfffffff00889d28c: a00f8052  mov	w0, #0x7d
0xfffffff00889d290: 81008052  mov	w1, #4
0xfffffff00889d294: 4f79ff97  bl	#0xfffffff00887b7d0
0xfffffff00889d298: c00d0034  cbz	w0, #0xfffffff00889d450
0xfffffff00889d29c: a00f8052  mov	w0, #0x7d
0xfffffff00889d2a0: 5e79ff97  bl	#0xfffffff00887b818
0xfffffff00889d2a4: f70300aa  mov	x23, x0
0xfffffff00889d2a8: c15b0094  bl	#0xfffffff0088b41ac
0xfffffff00889d2ac: f60300aa  mov	x22, x0
0xfffffff00889d2b0: 80008052  mov	w0, #4
0xfffffff00889d2b4: 6779ff97  bl	#0xfffffff00887b850
0xfffffff00889d2b8: 17060034  cbz	w23, #0xfffffff00889d378
0xfffffff00889d2bc: 680240b9  ldr	w8, [x19]
0xfffffff00889d2c0: f4ff04a9  stp	x20, xzr, [sp, #0x48]
0xfffffff00889d2c4: 894cfff0  adrp	x9, #0xfffffff007230000
0xfffffff00889d2c8: 2a991e91  add	x10, x9, #0x7a6
0xfffffff00889d2cc: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889d2d0: c83d8052  mov	w8, #0x1ee
0xfffffff00889d2d4: 894cfff0  adrp	x9, #0xfffffff007230000
0xfffffff00889d2d8: 293d1d91  add	x9, x9, #0x74f
0xfffffff00889d2dc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889d2e0: a84cff90  adrp	x8, #0xfffffff007231000
0xfffffff00889d2e4: 08e93191  add	x8, x8, #0xc7a
