; Candidate 10718
; ADRP+ADD at VM 0xfffffff008de4254 (fileoff 0x1de0254): page=0x1fe5e0000 add_imm=0xe15

0xfffffff008de41d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de41d8: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de41dc: 00503591  add	x0, x0, #0xd54
0xfffffff008de41e0: 90cbd597  bl	#0xfffffff008357020
0xfffffff008de41e4: e00313aa  mov	x0, x19
0xfffffff008de41e8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008de41ec: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008de41f0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008de41f4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008de41f8: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008de41fc: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008de4200: ff830291  add	sp, sp, #0xa0
0xfffffff008de4204: ff0f5fd6  retab	
0xfffffff008de4208: 88ca8052  mov	w8, #0x654
0xfffffff008de420c: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4210: 29490d91  add	x9, x9, #0x352
0xfffffff008de4214: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4218: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de421c: 08493991  add	x8, x8, #0xe52
0xfffffff008de4220: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4224: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de4228: 09000014  b	#0xfffffff008de424c
0xfffffff008de422c: a8ca8052  mov	w8, #0x655
0xfffffff008de4230: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4234: 29490d91  add	x9, x9, #0x352
0xfffffff008de4238: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de423c: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4240: 08493991  add	x8, x8, #0xe52
0xfffffff008de4244: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4248: 4add1491  add	x10, x10, #0x537
0xfffffff008de424c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de4250: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de4254: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4258: 00543891  add	x0, x0, #0xe15
0xfffffff008de425c: 71cbd597  bl	#0xfffffff008357020
0xfffffff008de4260: c8088052  mov	w8, #0x46
0xfffffff008de4264: 53008012  mov	w19, #-3
0xfffffff008de4268: d5ffff17  b	#0xfffffff008de41bc
0xfffffff008de426c: c8ca8052  mov	w8, #0x656
0xfffffff008de4270: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4274: 29490d91  add	x9, x9, #0x352
0xfffffff008de4278: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de427c: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4280: 08493991  add	x8, x8, #0xe52
0xfffffff008de4284: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de4288: 4a710e91  add	x10, x10, #0x39c
0xfffffff008de428c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de4290: ea0300f9  str	x10, [sp]
0xfffffff008de4294: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4298: 00543891  add	x0, x0, #0xe15
0xfffffff008de429c: 61cbd597  bl	#0xfffffff008357020
0xfffffff008de42a0: c8088052  mov	w8, #0x46
0xfffffff008de42a4: 53008012  mov	w19, #-3
0xfffffff008de42a8: 26000014  b	#0xfffffff008de4340
0xfffffff008de42ac: f40300aa  mov	x20, x0
0xfffffff008de42b0: 887e4093  sxtw	x8, w20
0xfffffff008de42b4: 49cb8052  mov	w9, #0x65a
0xfffffff008de42b8: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de42bc: 4a490d91  add	x10, x10, #0x352
0xfffffff008de42c0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de42c4: 092fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de42c8: 29493991  add	x9, x9, #0xe52
0xfffffff008de42cc: 0b2fff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de42d0: 6bf13a91  add	x11, x11, #0xebc
