; Candidate 7346
; ADRP+ADD at VM 0xfffffff008869090 (fileoff 0x1865090): page=0x1fe980000 add_imm=0xe80

0xfffffff008869010: 17020034  cbz	w23, #0xfffffff008869050
0xfffffff008869014: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869018: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886901c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008869020: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869024: 09a12691  add	x9, x8, #0x9a8
0xfffffff008869028: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886902c: 08811191  add	x8, x8, #0x460
0xfffffff008869030: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008869034: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008869038: 680c8052  mov	w8, #0x63
0xfffffff00886903c: 404dffb0  adrp	x0, #0xfffffff007212000
0xfffffff008869040: 00701b91  add	x0, x0, #0x6dc
0xfffffff008869044: f62300a9  stp	x22, x8, [sp]
0xfffffff008869048: 0639d597  bl	#0xfffffff007db7460
0xfffffff00886904c: 19000014  b	#0xfffffff0088690b0
0xfffffff008869050: 572c0194  bl	#0xfffffff0088b41ac
0xfffffff008869054: f60300aa  mov	x22, x0
0xfffffff008869058: c0008052  mov	w0, #6
0xfffffff00886905c: fd490094  bl	#0xfffffff00887b850
0xfffffff008869060: e80315aa  mov	x8, x21
0xfffffff008869064: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008869068: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00886906c: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008869070: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869074: 0aa12691  add	x10, x8, #0x9a8
0xfffffff008869078: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886907c: 08811191  add	x8, x8, #0x460
0xfffffff008869080: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008869084: 680c8052  mov	w8, #0x63
0xfffffff008869088: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886908c: f60300f9  str	x22, [sp]
0xfffffff008869090: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008869094: 00003a91  add	x0, x0, #0xe80
0xfffffff008869098: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886909c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088690a0: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff0088690a4: 634c1d91  add	x3, x3, #0x753
0xfffffff0088690a8: 02008052  mov	w2, #0
0xfffffff0088690ac: 2128eb97  bl	#0xfffffff008333130
0xfffffff0088690b0: e00315aa  mov	x0, x21
0xfffffff0088690b4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088690b8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088690bc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088690c0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088690c4: ff430291  add	sp, sp, #0x90
0xfffffff0088690c8: ff0f5fd6  retab	
0xfffffff0088690cc: 7f2303d5  pacibsp	
0xfffffff0088690d0: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088690d4: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0088690d8: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088690dc: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088690e0: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088690e4: fd430291  add	x29, sp, #0x90
0xfffffff0088690e8: f50302aa  mov	x21, x2
0xfffffff0088690ec: f40301aa  mov	x20, x1
0xfffffff0088690f0: f30300aa  mov	x19, x0
0xfffffff0088690f4: 600c8052  mov	w0, #0x63
0xfffffff0088690f8: e1008052  mov	w1, #7
0xfffffff0088690fc: b5490094  bl	#0xfffffff00887b7d0
0xfffffff008869100: 00060034  cbz	w0, #0xfffffff0088691c0
0xfffffff008869104: 600c8052  mov	w0, #0x63
0xfffffff008869108: c4490094  bl	#0xfffffff00887b818
0xfffffff00886910c: f70300aa  mov	x23, x0
