; Candidate 14356
; ADRP+ADD at VM 0xfffffff00976ac64 (fileoff 0x2766c64): page=0xc21000 add_imm=0xea8

0xfffffff00976abe4: 100040f9  ldr	x16, [x0]
0xfffffff00976abe8: f10300aa  mov	x17, x0
0xfffffff00976abec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976abf0: 301ac1da  autda	x16, x17
0xfffffff00976abf4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976abf8: 1002118b  add	x16, x16, x17
0xfffffff00976abfc: 080240f9  ldr	x8, [x16]
0xfffffff00976ac00: e90310aa  mov	x9, x16
0xfffffff00976ac04: 010080d2  mov	x1, #0
0xfffffff00976ac08: f10309aa  mov	x17, x9
0xfffffff00976ac0c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976ac10: 11093fd7  blraa	x8, x17
0xfffffff00976ac14: b5035af8  ldur	x21, [x29, #-0x60]
0xfffffff00976ac18: e00315aa  mov	x0, x21
0xfffffff00976ac1c: 90f7fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976ac20: e00315aa  mov	x0, x21
0xfffffff00976ac24: 8ef7fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976ac28: f90318aa  mov	x25, x24
0xfffffff00976ac2c: c00100b5  cbnz	x0, #0xfffffff00976ac64
0xfffffff00976ac30: b00240f9  ldr	x16, [x21]
0xfffffff00976ac34: f10315aa  mov	x17, x21
0xfffffff00976ac38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976ac3c: 301ac1da  autda	x16, x17
0xfffffff00976ac40: 114380d2  mov	x17, #0x218
0xfffffff00976ac44: 1002118b  add	x16, x16, x17
0xfffffff00976ac48: 080240f9  ldr	x8, [x16]
0xfffffff00976ac4c: e90310aa  mov	x9, x16
0xfffffff00976ac50: e00315aa  mov	x0, x21
0xfffffff00976ac54: 010080d2  mov	x1, #0
0xfffffff00976ac58: f10309aa  mov	x17, x9
0xfffffff00976ac5c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976ac60: 11093fd7  blraa	x8, x17
0xfffffff00976ac64: 006100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00976ac68: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976ac6c: 3be7ad97  bl	#0xfffffff0082e4958
0xfffffff00976ac70: fa0300aa  mov	x26, x0
0xfffffff00976ac74: e00315aa  mov	x0, x21
0xfffffff00976ac78: 79f7fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976ac7c: f60300aa  mov	x22, x0
0xfffffff00976ac80: b88359b8  ldur	w24, [x29, #-0x68]
0xfffffff00976ac84: e00100b5  cbnz	x0, #0xfffffff00976acc0
0xfffffff00976ac88: b00240f9  ldr	x16, [x21]
0xfffffff00976ac8c: f10315aa  mov	x17, x21
0xfffffff00976ac90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976ac94: 301ac1da  autda	x16, x17
0xfffffff00976ac98: 113d80d2  mov	x17, #0x1e8
0xfffffff00976ac9c: 1002118b  add	x16, x16, x17
0xfffffff00976aca0: 080240f9  ldr	x8, [x16]
0xfffffff00976aca4: e90310aa  mov	x9, x16
0xfffffff00976aca8: e00315aa  mov	x0, x21
0xfffffff00976acac: 010080d2  mov	x1, #0
0xfffffff00976acb0: f10309aa  mov	x17, x9
0xfffffff00976acb4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976acb8: 11093fd7  blraa	x8, x17
0xfffffff00976acbc: f60300aa  mov	x22, x0
0xfffffff00976acc0: e00315aa  mov	x0, x21
0xfffffff00976acc4: 66f7fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976acc8: 1f0000f1  cmp	x0, #0
0xfffffff00976accc: 08f1fef0  adrp	x8, #0xfffffff00758d000
0xfffffff00976acd0: 08c93491  add	x8, x8, #0xd32
0xfffffff00976acd4: 1701999a  csel	x23, x8, x25, eq
0xfffffff00976acd8: e00315aa  mov	x0, x21
0xfffffff00976acdc: 60f7fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976ace0: e80300aa  mov	x8, x0
