; Candidate 8094
; ADRP+ADD at VM 0xfffffff008894600 (fileoff 0x1890600): page=0x1fe955000 add_imm=0xe80

0xfffffff008894580: 76010034  cbz	w22, #0xfffffff0088945ac
0xfffffff008894584: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008894588: 080140f9  ldr	x8, [x8]
0xfffffff00889458c: f92b00f9  str	x25, [sp, #0x50]
0xfffffff008894590: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff008894594: e96304a9  stp	x9, x24, [sp, #0x40]
0xfffffff008894598: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00889459c: e84bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088945a0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088945a4: 89f78052  mov	w9, #0x7bc
0xfffffff0088945a8: e1fdff17  b	#0xfffffff008893d2c
0xfffffff0088945ac: 007f0094  bl	#0xfffffff0088b41ac
0xfffffff0088945b0: f50300aa  mov	x21, x0
0xfffffff0088945b4: 80008052  mov	w0, #4
0xfffffff0088945b8: a69cff97  bl	#0xfffffff00887b850
0xfffffff0088945bc: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088945c0: 080140f9  ldr	x8, [x8]
0xfffffff0088945c4: f92b00f9  str	x25, [sp, #0x50]
0xfffffff0088945c8: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088945cc: e96304a9  stp	x9, x24, [sp, #0x40]
0xfffffff0088945d0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088945d4: e84bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088945d8: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088945dc: 89f78052  mov	w9, #0x7bc
0xfffffff0088945e0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088945e4: c84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff0088945e8: 08a91891  add	x8, x8, #0x62a
0xfffffff0088945ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088945f0: 88098052  mov	w8, #0x4c
0xfffffff0088945f4: 434efff0  adrp	x3, #0xfffffff00725f000
0xfffffff0088945f8: 63e80391  add	x3, x3, #0xfa
0xfffffff0088945fc: f52300a9  stp	x21, x8, [sp]
0xfffffff008894600: a04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008894604: 00003a91  add	x0, x0, #0xe80
0xfffffff008894608: a18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889460c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008894610: 02008052  mov	w2, #0
0xfffffff008894614: c77aea97  bl	#0xfffffff008333130
0xfffffff008894618: e7fdff17  b	#0xfffffff008893db4
0xfffffff00889461c: 7f2303d5  pacibsp	
0xfffffff008894620: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008894624: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008894628: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00889462c: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008894630: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008894634: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008894638: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00889463c: fd430291  add	x29, sp, #0x90
0xfffffff008894640: f50301aa  mov	x21, x1
0xfffffff008894644: f30300aa  mov	x19, x0
0xfffffff008894648: e00f00b4  cbz	x0, #0xfffffff008894844
0xfffffff00889464c: d50f00b4  cbz	x21, #0xfffffff008894844
0xfffffff008894650: f40302aa  mov	x20, x2
0xfffffff008894654: 080080d2  mov	x8, #0
0xfffffff008894658: 2a008052  mov	w10, #1
0xfffffff00889465c: 16228052  mov	w22, #0x110
0xfffffff008894660: 17118052  mov	w23, #0x88
0xfffffff008894664: 090080d2  mov	x9, #0
0xfffffff008894668: f8030aaa  mov	x24, x10
0xfffffff00889466c: 1955169b  madd	x25, x8, x22, x21
0xfffffff008894670: 28008052  mov	w8, #1
0xfffffff008894674: fa0308aa  mov	x26, x8
0xfffffff008894678: 3b65179b  madd	x27, x9, x23, x25
0xfffffff00889467c: 1c058052  mov	w28, #0x28
