; Candidate 5090
; ADRP+ADD at VM 0xfffffff0087d841c (fileoff 0x17d441c): page=0x1fea11000 add_imm=0xe80

0xfffffff0087d839c: a8168052  mov	w8, #0xb5
0xfffffff0087d83a0: c951ffd0  adrp	x9, #0xfffffff007212000
0xfffffff0087d83a4: 29810391  add	x9, x9, #0xe0
0xfffffff0087d83a8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087d83ac: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d83b0: 081d0291  add	x8, x8, #0x87
0xfffffff0087d83b4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d83b8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d83bc: 280a8052  mov	w8, #0x51
0xfffffff0087d83c0: c051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087d83c4: 00a00391  add	x0, x0, #0xe8
0xfffffff0087d83c8: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d83cc: 257cd797  bl	#0xfffffff007db7460
0xfffffff0087d83d0: 29000014  b	#0xfffffff0087d8474
0xfffffff0087d83d4: 766f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d83d8: f60300aa  mov	x22, x0
0xfffffff0087d83dc: 80008052  mov	w0, #4
0xfffffff0087d83e0: 1c8d0294  bl	#0xfffffff00887b850
0xfffffff0087d83e4: 08818052  mov	w8, #0x408
0xfffffff0087d83e8: fa2304a9  stp	x26, x8, [sp, #0x40]
0xfffffff0087d83ec: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d83f0: 08cd0591  add	x8, x8, #0x173
0xfffffff0087d83f4: e86703a9  stp	x8, x25, [sp, #0x30]
0xfffffff0087d83f8: c8178052  mov	w8, #0xbe
0xfffffff0087d83fc: c951ffd0  adrp	x9, #0xfffffff007212000
0xfffffff0087d8400: 29810391  add	x9, x9, #0xe0
0xfffffff0087d8404: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d8408: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d840c: 081d0291  add	x8, x8, #0x87
0xfffffff0087d8410: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d8414: 280a8052  mov	w8, #0x51
0xfffffff0087d8418: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d841c: 8050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d8420: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d8424: 8191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d8428: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d842c: 0353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d8430: 630c2e91  add	x3, x3, #0xb83
0xfffffff0087d8434: 02008052  mov	w2, #0
0xfffffff0087d8438: 3e6bed97  bl	#0xfffffff008333130
0xfffffff0087d843c: 750100b4  cbz	x21, #0xfffffff0087d8468
0xfffffff0087d8440: b00240f9  ldr	x16, [x21]
0xfffffff0087d8444: f10315aa  mov	x17, x21
0xfffffff0087d8448: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d844c: 301ac1da  autda	x16, x17
0xfffffff0087d8450: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087d8454: e90310aa  mov	x9, x16
0xfffffff0087d8458: e00315aa  mov	x0, x21
0xfffffff0087d845c: f10309aa  mov	x17, x9
0xfffffff0087d8460: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087d8464: 11093fd7  blraa	x8, x17
0xfffffff0087d8468: 930100b4  cbz	x19, #0xfffffff0087d8498
0xfffffff0087d846c: f70313aa  mov	x23, x19
0xfffffff0087d8470: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff0087d8474: 700240f9  ldr	x16, [x19]
0xfffffff0087d8478: f01ac1da  autda	x16, x23
0xfffffff0087d847c: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0087d8480: e90310aa  mov	x9, x16
0xfffffff0087d8484: e00313aa  mov	x0, x19
0xfffffff0087d8488: 01008052  mov	w1, #0
0xfffffff0087d848c: f10309aa  mov	x17, x9
0xfffffff0087d8490: b150f2f2  movk	x17, #0x9285, lsl #48
0xfffffff0087d8494: 11093fd7  blraa	x8, x17
0xfffffff0087d8498: e00314aa  mov	x0, x20
