; Candidate 1854
; ADRP+ADD at VM 0xfffffff008535d78 (fileoff 0x1531d78): page=0x1febac000 add_imm=0xe02

0xfffffff008535cf8: 012d8052  mov	w1, #0x168
0xfffffff008535cfc: 4fc6f697  bl	#0xfffffff0082e7638
0xfffffff008535d00: f30300aa  mov	x19, x0
0xfffffff008535d04: 14ed0090  adrp	x20, #0xfffffff00a2d5000
0xfffffff008535d08: 94a21e91  add	x20, x20, #0x7a8
0xfffffff008535d0c: e10314aa  mov	x1, x20
0xfffffff008535d10: 44c44c94  bl	#0xfffffff009866e20
0xfffffff008535d14: 30a3ffd0  adrp	x16, #0xfffffff00799b000
0xfffffff008535d18: 10420191  add	x16, x16, #0x50
0xfffffff008535d1c: 10420091  add	x16, x16, #0x10
0xfffffff008535d20: f10300aa  mov	x17, x0
0xfffffff008535d24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008535d28: 300ac1da  pacda	x16, x17
0xfffffff008535d2c: 100000f9  str	x16, [x0]
0xfffffff008535d30: e00314aa  mov	x0, x20
0xfffffff008535d34: 00bdf697  bl	#0xfffffff0082e5134
0xfffffff008535d38: e00313aa  mov	x0, x19
0xfffffff008535d3c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008535d40: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008535d44: ff0f5fd6  retab	
0xfffffff008535d48: 5f2403d5  bti	c
0xfffffff008535d4c: 6abaf617  b	#0xfffffff0082e46f4
0xfffffff008535d50: 5f2403d5  bti	c
0xfffffff008535d54: 68baf617  b	#0xfffffff0082e46f4
0xfffffff008535d58: 7f2303d5  pacibsp	
0xfffffff008535d5c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008535d60: fd030091  mov	x29, sp
0xfffffff008535d64: 605dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008535d68: 00603791  add	x0, x0, #0xdd8
0xfffffff008535d6c: 33cdf797  bl	#0xfffffff008329238
0xfffffff008535d70: 08ed0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008535d74: 00bd03f9  str	x0, [x8, #0x778]
0xfffffff008535d78: 605dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008535d7c: 00083891  add	x0, x0, #0xe02
0xfffffff008535d80: 2ecdf797  bl	#0xfffffff008329238
0xfffffff008535d84: 08ed0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008535d88: 00c103f9  str	x0, [x8, #0x780]
0xfffffff008535d8c: 605dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008535d90: 00883891  add	x0, x0, #0xe22
0xfffffff008535d94: 29cdf797  bl	#0xfffffff008329238
0xfffffff008535d98: 08ed0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008535d9c: 00c503f9  str	x0, [x8, #0x788]
0xfffffff008535da0: 605dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008535da4: 00e43891  add	x0, x0, #0xe39
0xfffffff008535da8: 24cdf797  bl	#0xfffffff008329238
0xfffffff008535dac: 08ed0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008535db0: 00c903f9  str	x0, [x8, #0x790]
0xfffffff008535db4: 605dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008535db8: 004c3991  add	x0, x0, #0xe53
0xfffffff008535dbc: 1fcdf797  bl	#0xfffffff008329238
0xfffffff008535dc0: 08ed0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008535dc4: 00cd03f9  str	x0, [x8, #0x798]
0xfffffff008535dc8: 605dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008535dcc: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008535dd0: 1acdf797  bl	#0xfffffff008329238
0xfffffff008535dd4: 08ed0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008535dd8: 00d103f9  str	x0, [x8, #0x7a0]
0xfffffff008535ddc: 00ed0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff008535de0: 00a01e91  add	x0, x0, #0x7a8
0xfffffff008535de4: 415dff90  adrp	x1, #0xfffffff0070dd000
0xfffffff008535de8: 21a82791  add	x1, x1, #0x9ea
0xfffffff008535dec: 02ed0090  adrp	x2, #0xfffffff00a2d5000
0xfffffff008535df0: 42401f91  add	x2, x2, #0x7d0
0xfffffff008535df4: 032d8052  mov	w3, #0x168
