; Candidate 14265
; ADRP+ADD at VM 0xfffffff00975b96c (fileoff 0x275796c): page=0xc30000 add_imm=0xea8

0xfffffff00975b8ec: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff00975b8f0: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff00975b8f4: ff830491  add	sp, sp, #0x120
0xfffffff00975b8f8: ff0f5fd6  retab	
0xfffffff00975b8fc: 800100b5  cbnz	x0, #0xfffffff00975b92c
0xfffffff00975b900: 900240f9  ldr	x16, [x20]
0xfffffff00975b904: f01ac1da  autda	x16, x23
0xfffffff00975b908: 113d80d2  mov	x17, #0x1e8
0xfffffff00975b90c: 1002118b  add	x16, x16, x17
0xfffffff00975b910: 080240f9  ldr	x8, [x16]
0xfffffff00975b914: e90310aa  mov	x9, x16
0xfffffff00975b918: e00314aa  mov	x0, x20
0xfffffff00975b91c: 010080d2  mov	x1, #0
0xfffffff00975b920: f10309aa  mov	x17, x9
0xfffffff00975b924: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975b928: 11093fd7  blraa	x8, x17
0xfffffff00975b92c: e00314aa  mov	x0, x20
0xfffffff00975b930: 4b34fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b934: e00314aa  mov	x0, x20
0xfffffff00975b938: 4934fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b93c: 800100b5  cbnz	x0, #0xfffffff00975b96c
0xfffffff00975b940: 900240f9  ldr	x16, [x20]
0xfffffff00975b944: f01ac1da  autda	x16, x23
0xfffffff00975b948: 114380d2  mov	x17, #0x218
0xfffffff00975b94c: 1002118b  add	x16, x16, x17
0xfffffff00975b950: 080240f9  ldr	x8, [x16]
0xfffffff00975b954: e90310aa  mov	x9, x16
0xfffffff00975b958: e00314aa  mov	x0, x20
0xfffffff00975b95c: 010080d2  mov	x1, #0
0xfffffff00975b960: f10309aa  mov	x17, x9
0xfffffff00975b964: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975b968: 11093fd7  blraa	x8, x17
0xfffffff00975b96c: 80610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00975b970: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975b974: f923ae97  bl	#0xfffffff0082e4958
0xfffffff00975b978: f80300aa  mov	x24, x0
0xfffffff00975b97c: e00314aa  mov	x0, x20
0xfffffff00975b980: 3734fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b984: f90300aa  mov	x25, x0
0xfffffff00975b988: a00100b5  cbnz	x0, #0xfffffff00975b9bc
0xfffffff00975b98c: 900240f9  ldr	x16, [x20]
0xfffffff00975b990: f01ac1da  autda	x16, x23
0xfffffff00975b994: 113d80d2  mov	x17, #0x1e8
0xfffffff00975b998: 1002118b  add	x16, x16, x17
0xfffffff00975b99c: 080240f9  ldr	x8, [x16]
0xfffffff00975b9a0: e90310aa  mov	x9, x16
0xfffffff00975b9a4: e00314aa  mov	x0, x20
0xfffffff00975b9a8: 010080d2  mov	x1, #0
0xfffffff00975b9ac: f10309aa  mov	x17, x9
0xfffffff00975b9b0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975b9b4: 11093fd7  blraa	x8, x17
0xfffffff00975b9b8: f90300aa  mov	x25, x0
0xfffffff00975b9bc: e00314aa  mov	x0, x20
0xfffffff00975b9c0: 2734fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b9c4: 1f0000f1  cmp	x0, #0
0xfffffff00975b9c8: 96f1fed0  adrp	x22, #0xfffffff00758d000
0xfffffff00975b9cc: d6c63491  add	x22, x22, #0xd31
0xfffffff00975b9d0: 88f1fed0  adrp	x8, #0xfffffff00758d000
0xfffffff00975b9d4: 08c93491  add	x8, x8, #0xd32
0xfffffff00975b9d8: 1301969a  csel	x19, x8, x22, eq
0xfffffff00975b9dc: e00314aa  mov	x0, x20
0xfffffff00975b9e0: 1f34fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b9e4: e80300aa  mov	x8, x0
0xfffffff00975b9e8: e00316aa  mov	x0, x22
