; Candidate 6385
; ADRP+ADD at VM 0xfffffff008828a7c (fileoff 0x1824a7c): page=0x1fe9c1000 add_imm=0xe80

0xfffffff0088289fc: e903142a  mov	w9, w20
0xfffffff008828a00: e9d703a9  stp	x9, x21, [sp, #0x38]
0xfffffff008828a04: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008828a08: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828a0c: 095d2591  add	x9, x8, #0x957
0xfffffff008828a10: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828a14: 08653291  add	x8, x8, #0xc99
0xfffffff008828a18: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008828a1c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008828a20: e80a8052  mov	w8, #0x57
0xfffffff008828a24: c04fffb0  adrp	x0, #0xfffffff007221000
0xfffffff008828a28: 00342691  add	x0, x0, #0x98d
0xfffffff008828a2c: f62300a9  stp	x22, x8, [sp]
0xfffffff008828a30: 8c3ad697  bl	#0xfffffff007db7460
0xfffffff008828a34: 1a000014  b	#0xfffffff008828a9c
0xfffffff008828a38: dd2d0294  bl	#0xfffffff0088b41ac
0xfffffff008828a3c: f60300aa  mov	x22, x0
0xfffffff008828a40: c0008052  mov	w0, #6
0xfffffff008828a44: 834b0194  bl	#0xfffffff00887b850
0xfffffff008828a48: e80315aa  mov	x8, x21
0xfffffff008828a4c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008828a50: e82300f9  str	x8, [sp, #0x40]
0xfffffff008828a54: e803142a  mov	w8, w20
0xfffffff008828a58: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008828a5c: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828a60: 085d2591  add	x8, x8, #0x957
0xfffffff008828a64: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008828a68: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828a6c: 08653291  add	x8, x8, #0xc99
0xfffffff008828a70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008828a74: e80a8052  mov	w8, #0x57
0xfffffff008828a78: f62300a9  stp	x22, x8, [sp]
0xfffffff008828a7c: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008828a80: 00003a91  add	x0, x0, #0xe80
0xfffffff008828a84: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008828a88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008828a8c: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff008828a90: 63302791  add	x3, x3, #0x9cc
0xfffffff008828a94: 02008052  mov	w2, #0
0xfffffff008828a98: a629ec97  bl	#0xfffffff008333130
0xfffffff008828a9c: e00315aa  mov	x0, x21
0xfffffff008828aa0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008828aa4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008828aa8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008828aac: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008828ab0: ff830291  add	sp, sp, #0xa0
0xfffffff008828ab4: ff0f5fd6  retab	
0xfffffff008828ab8: bd2d0294  bl	#0xfffffff0088b41ac
0xfffffff008828abc: f60300aa  mov	x22, x0
0xfffffff008828ac0: c0008052  mov	w0, #6
0xfffffff008828ac4: 634b0194  bl	#0xfffffff00887b850
0xfffffff008828ac8: e80315aa  mov	x8, x21
0xfffffff008828acc: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008828ad0: 6a3e46b9  ldr	w10, [x19, #0x63c]
0xfffffff008828ad4: e82b00f9  str	x8, [sp, #0x50]
0xfffffff008828ad8: e80314aa  mov	x8, x20
0xfffffff008828adc: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff008828ae0: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008828ae4: 88858052  mov	w8, #0x42c
0xfffffff008828ae8: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008828aec: 295d2591  add	x9, x9, #0x957
0xfffffff008828af0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008828af4: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828af8: 08653291  add	x8, x8, #0xc99
