; Candidate 7462
; ADRP+ADD at VM 0xfffffff00886ed60 (fileoff 0x186ad60): page=0x1fe9a5000 add_imm=0xe0f

0xfffffff00886ece0: e00314aa  mov	x0, x20
0xfffffff00886ece4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00886ece8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00886ecec: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00886ecf0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00886ecf4: ff030291  add	sp, sp, #0x80
0xfffffff00886ecf8: ff0f5fd6  retab	
0xfffffff00886ecfc: 7f2303d5  pacibsp	
0xfffffff00886ed00: ff8301d1  sub	sp, sp, #0x60
0xfffffff00886ed04: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00886ed08: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00886ed0c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00886ed10: fd430191  add	x29, sp, #0x50
0xfffffff00886ed14: f30300aa  mov	x19, x0
0xfffffff00886ed18: 600b8052  mov	w0, #0x5b
0xfffffff00886ed1c: 01018052  mov	w1, #8
0xfffffff00886ed20: ac320094  bl	#0xfffffff00887b7d0
0xfffffff00886ed24: a0040034  cbz	w0, #0xfffffff00886edb8
0xfffffff00886ed28: 600b8052  mov	w0, #0x5b
0xfffffff00886ed2c: bb320094  bl	#0xfffffff00887b818
0xfffffff00886ed30: f50300aa  mov	x21, x0
0xfffffff00886ed34: 1e150194  bl	#0xfffffff0088b41ac
0xfffffff00886ed38: f40300aa  mov	x20, x0
0xfffffff00886ed3c: 00018052  mov	w0, #8
0xfffffff00886ed40: c4320094  bl	#0xfffffff00887b850
0xfffffff00886ed44: 75010034  cbz	w21, #0xfffffff00886ed70
0xfffffff00886ed48: e84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff00886ed4c: 086d1e91  add	x8, x8, #0x79b
0xfffffff00886ed50: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886ed54: 680b8052  mov	w8, #0x5b
0xfffffff00886ed58: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886ed5c: f40300f9  str	x20, [sp]
0xfffffff00886ed60: 204dffb0  adrp	x0, #0xfffffff007213000
0xfffffff00886ed64: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886ed68: be21d597  bl	#0xfffffff007db7460
0xfffffff00886ed6c: 13000014  b	#0xfffffff00886edb8
0xfffffff00886ed70: 0f150194  bl	#0xfffffff0088b41ac
0xfffffff00886ed74: f40300aa  mov	x20, x0
0xfffffff00886ed78: 00018052  mov	w0, #8
0xfffffff00886ed7c: b5320094  bl	#0xfffffff00887b850
0xfffffff00886ed80: e84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff00886ed84: 086d1e91  add	x8, x8, #0x79b
0xfffffff00886ed88: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886ed8c: 680b8052  mov	w8, #0x5b
0xfffffff00886ed90: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886ed94: f40300f9  str	x20, [sp]
0xfffffff00886ed98: c04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886ed9c: 00003a91  add	x0, x0, #0xe80
0xfffffff00886eda0: c18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00886eda4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886eda8: 434fffd0  adrp	x3, #0xfffffff007258000
0xfffffff00886edac: 63f82491  add	x3, x3, #0x93e
0xfffffff00886edb0: 02008052  mov	w2, #0
0xfffffff00886edb4: df10eb97  bl	#0xfffffff008333130
0xfffffff00886edb8: e00313aa  mov	x0, x19
0xfffffff00886edbc: 01009052  mov	w1, #0x8000
0xfffffff00886edc0: e102a072  movk	w1, #0x17, lsl #16
0xfffffff00886edc4: 02048052  mov	w2, #0x20
0xfffffff00886edc8: c202a072  movk	w2, #0x16, lsl #16
0xfffffff00886edcc: 03488852  mov	w3, #0x4240
0xfffffff00886edd0: e301a072  movk	w3, #0xf, lsl #16
0xfffffff00886edd4: 231b0094  bl	#0xfffffff008875a60
0xfffffff00886edd8: f40300aa  mov	x20, x0
0xfffffff00886eddc: 600b8052  mov	w0, #0x5b
