; Candidate 10274
; ADRP+ADD at VM 0xfffffff008cd0460 (fileoff 0x1ccc460): page=0x1616000 add_imm=0xe00

0xfffffff008cd03e0: 08210091  add	x8, x8, #8
0xfffffff008cd03e4: 891a8052  mov	w9, #0xd4
0xfffffff008cd03e8: e82700a9  stp	x8, x9, [sp]
0xfffffff008cd03ec: a034ffb0  adrp	x0, #0xfffffff007365000
0xfffffff008cd03f0: 00883f91  add	x0, x0, #0xfe2
0xfffffff008cd03f4: 08000014  b	#0xfffffff008cd0414
0xfffffff008cd03f8: c81a8052  mov	w8, #0xd6
0xfffffff008cd03fc: a934ffd0  adrp	x9, #0xfffffff007366000
0xfffffff008cd0400: 29210091  add	x9, x9, #8
0xfffffff008cd0404: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008cd0408: e00300f9  str	x0, [sp]
0xfffffff008cd040c: a034ffd0  adrp	x0, #0xfffffff007366000
0xfffffff008cd0410: 00d80191  add	x0, x0, #0x76
0xfffffff008cd0414: 031bda97  bl	#0xfffffff008357020
0xfffffff008cd0418: 13008052  mov	w19, #0
0xfffffff008cd041c: a834ffd0  adrp	x8, #0xfffffff007366000
0xfffffff008cd0420: 082d0391  add	x8, x8, #0xcb
0xfffffff008cd0424: e0ffff17  b	#0xfffffff008cd03a4
0xfffffff008cd0428: 5f2403d5  bti	c
0xfffffff008cd042c: b250d817  b	#0xfffffff0082e46f4
0xfffffff008cd0430: 7f2303d5  pacibsp	
0xfffffff008cd0434: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008cd0438: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008cd043c: fd430091  add	x29, sp, #0x10
0xfffffff008cd0440: a034ffb0  adrp	x0, #0xfffffff007365000
0xfffffff008cd0444: 00e03d91  add	x0, x0, #0xf78
0xfffffff008cd0448: b334ffb0  adrp	x19, #0xfffffff007365000
0xfffffff008cd044c: 73223e91  add	x19, x19, #0xf88
0xfffffff008cd0450: e10313aa  mov	x1, x19
0xfffffff008cd0454: 338bd997  bl	#0xfffffff008333120
0xfffffff008cd0458: a8b000d0  adrp	x8, #0xfffffff00a2e6000
0xfffffff008cd045c: 00fd06f9  str	x0, [x8, #0xdf8]
0xfffffff008cd0460: a0b000d0  adrp	x0, #0xfffffff00a2e6000
0xfffffff008cd0464: 00003891  add	x0, x0, #0xe00
0xfffffff008cd0468: 426ffff0  adrp	x2, #0xfffffff007abb000
0xfffffff008cd046c: 42f041f9  ldr	x2, [x2, #0x3e0]
0xfffffff008cd0470: e10313aa  mov	x1, x19
0xfffffff008cd0474: 03158052  mov	w3, #0xa8
0xfffffff008cd0478: b04dd897  bl	#0xfffffff0082e3b38
0xfffffff008cd047c: 506ffff0  adrp	x16, #0xfffffff007abb000
0xfffffff008cd0480: 10a22591  add	x16, x16, #0x968
0xfffffff008cd0484: 10420091  add	x16, x16, #0x10
0xfffffff008cd0488: f10300aa  mov	x17, x0
0xfffffff008cd048c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cd0490: 300ac1da  pacda	x16, x17
0xfffffff008cd0494: 100000f9  str	x16, [x0]
0xfffffff008cd0498: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008cd049c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008cd04a0: ff0f5fd6  retab	
0xfffffff008cd04a4: 5f2403d5  bti	c
0xfffffff008cd04a8: a0b000d0  adrp	x0, #0xfffffff00a2e6000
0xfffffff008cd04ac: 00003891  add	x0, x0, #0xe00
0xfffffff008cd04b0: 9150d817  b	#0xfffffff0082e46f4
0xfffffff008cd04b4: 5f2403d5  bti	c
0xfffffff008cd04b8: a8b000d0  adrp	x8, #0xfffffff00a2e6000
0xfffffff008cd04bc: 08a13791  add	x8, x8, #0xde8
0xfffffff008cd04c0: 100140f9  ldr	x16, [x8]
0xfffffff008cd04c4: 700000b4  cbz	x16, #0xfffffff008cd04d0
0xfffffff008cd04c8: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008cd04cc: 110a1fd7  braa	x16, x17
0xfffffff008cd04d0: 00008052  mov	w0, #0
0xfffffff008cd04d4: c0035fd6  ret	
0xfffffff008cd04d8: 5f2403d5  bti	c
0xfffffff008cd04dc: a8b000d0  adrp	x8, #0xfffffff00a2e6000
