; Candidate 7143
; ADRP+ADD at VM 0xfffffff00885a6e0 (fileoff 0x18566e0): page=0x1fe98f000 add_imm=0xe80

0xfffffff00885a660: e00316aa  mov	x0, x22
0xfffffff00885a664: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00885a668: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00885a66c: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00885a670: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00885a674: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00885a678: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00885a67c: ff830391  add	sp, sp, #0xe0
0xfffffff00885a680: ff0f5fd6  retab	
0xfffffff00885a684: ca660194  bl	#0xfffffff0088b41ac
0xfffffff00885a688: f70300aa  mov	x23, x0
0xfffffff00885a68c: 80008052  mov	w0, #4
0xfffffff00885a690: 70840094  bl	#0xfffffff00887b850
0xfffffff00885a694: e80316aa  mov	x8, x22
0xfffffff00885a698: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885a69c: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff00885a6a0: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff00885a6a4: fb2306a9  stp	x27, x8, [sp, #0x60]
0xfffffff00885a6a8: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff00885a6ac: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff00885a6b0: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00885a6b4: 88618152  mov	w8, #0xb0c
0xfffffff00885a6b8: 694effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885a6bc: 29f10291  add	x9, x9, #0xbc
0xfffffff00885a6c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885a6c4: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885a6c8: 08811191  add	x8, x8, #0x460
0xfffffff00885a6cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885a6d0: 880c8052  mov	w8, #0x64
0xfffffff00885a6d4: c34fffd0  adrp	x3, #0xfffffff007254000
0xfffffff00885a6d8: 63682b91  add	x3, x3, #0xada
0xfffffff00885a6dc: f72300a9  stp	x23, x8, [sp]
0xfffffff00885a6e0: 604cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885a6e4: 00003a91  add	x0, x0, #0xe80
0xfffffff00885a6e8: 618dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885a6ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885a6f0: 02008052  mov	w2, #0
0xfffffff00885a6f4: 8f62eb97  bl	#0xfffffff008333130
0xfffffff00885a6f8: e00314aa  mov	x0, x20
0xfffffff00885a6fc: e10315aa  mov	x1, x21
0xfffffff00885a700: df021031  cmn	w22, #0x400
0xfffffff00885a704: 61000054  b.ne	#0xfffffff00885a710
0xfffffff00885a708: 02008052  mov	w2, #0
0xfffffff00885a70c: 02000014  b	#0xfffffff00885a714
0xfffffff00885a710: 02008012  mov	w2, #-1
0xfffffff00885a714: 6a7afe97  bl	#0xfffffff0087f90bc
0xfffffff00885a718: 480340b9  ldr	w8, [x26]
0xfffffff00885a71c: 1f050071  cmp	w8, #1
0xfffffff00885a720: e0000054  b.eq	#0xfffffff00885a73c
0xfffffff00885a724: 68f3ff35  cbnz	w8, #0xfffffff00885a590
0xfffffff00885a728: 282f4491  add	x8, x25, #0x10b, lsl #12
0xfffffff00885a72c: 08812391  add	x8, x8, #0x8e0
0xfffffff00885a730: 000140f9  ldr	x0, [x8]
0xfffffff00885a734: aa730194  bl	#0xfffffff0088b75dc
0xfffffff00885a738: 96ffff17  b	#0xfffffff00885a590
0xfffffff00885a73c: 28cf4491  add	x8, x25, #0x133, lsl #12
0xfffffff00885a740: 08c11791  add	x8, x8, #0x5f0
0xfffffff00885a744: 000140f9  ldr	x0, [x8]
0xfffffff00885a748: af8f0194  bl	#0xfffffff0088be604
0xfffffff00885a74c: 91ffff17  b	#0xfffffff00885a590
0xfffffff00885a750: 7f2303d5  pacibsp	
0xfffffff00885a754: ff4302d1  sub	sp, sp, #0x90
0xfffffff00885a758: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00885a75c: f65706a9  stp	x22, x21, [sp, #0x60]
